"","entire_name","ctr_cd","ctr_ty","org","zipcode","age_category","age_category_percent"
"1","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"age_2_11_allc2",0
"2","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"age_12_17_allc2",0
"3","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"age_2_allc2",0
"4","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"age_18_34_allc2",25
"5","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"age_35_49_allc2",50
"6","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"age_50_64_allc2",25
"7","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"age_65_69_allc2",0
"8","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"age_70_allc2",0
"9","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"age_2_11_allc2",0
"10","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"age_12_17_allc2",0
"11","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"age_2_allc2",0
"12","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"age_18_34_allc2",0
"13","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"age_35_49_allc2",50
"14","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"age_50_64_allc2",50
"15","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"age_65_69_allc2",0
"16","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"age_70_allc2",0
"17","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"age_2_11_allc2",0
"18","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"age_12_17_allc2",0
"19","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"age_2_allc2",0
"20","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"age_18_34_allc2",33.333333333
"21","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"age_35_49_allc2",66.666666667
"22","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"age_50_64_allc2",0
"23","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"age_65_69_allc2",0
"24","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"age_70_allc2",0
"25","Stanford Health Care (CASU)","CASU","TX1","HL",94305,"age_2_11_allc2",0
"26","Stanford Health Care (CASU)","CASU","TX1","HL",94305,"age_12_17_allc2",0
"27","Stanford Health Care (CASU)","CASU","TX1","HL",94305,"age_2_allc2",0
"28","Stanford Health Care (CASU)","CASU","TX1","HL",94305,"age_18_34_allc2",30
"29","Stanford Health Care (CASU)","CASU","TX1","HL",94305,"age_35_49_allc2",50
"30","Stanford Health Care (CASU)","CASU","TX1","HL",94305,"age_50_64_allc2",20
"31","Stanford Health Care (CASU)","CASU","TX1","HL",94305,"age_65_69_allc2",0
"32","Stanford Health Care (CASU)","CASU","TX1","HL",94305,"age_70_allc2",0
"33","University of California San Diego Medical Center (CASD)","CASD","TX1","HL",92037,"age_2_11_allc2",0
"34","University of California San Diego Medical Center (CASD)","CASD","TX1","HL",92037,"age_12_17_allc2",0
"35","University of California San Diego Medical Center (CASD)","CASD","TX1","HL",92037,"age_2_allc2",0
"36","University of California San Diego Medical Center (CASD)","CASD","TX1","HL",92037,"age_18_34_allc2",0
"37","University of California San Diego Medical Center (CASD)","CASD","TX1","HL",92037,"age_35_49_allc2",100
"38","University of California San Diego Medical Center (CASD)","CASD","TX1","HL",92037,"age_50_64_allc2",0
"39","University of California San Diego Medical Center (CASD)","CASD","TX1","HL",92037,"age_65_69_allc2",0
"40","University of California San Diego Medical Center (CASD)","CASD","TX1","HL",92037,"age_70_allc2",0
"41","University of California San Francisco Medical Center (CASF)","CASF","TX1","HL",94118,"age_2_11_allc2",0
"42","University of California San Francisco Medical Center (CASF)","CASF","TX1","HL",94118,"age_12_17_allc2",0
"43","University of California San Francisco Medical Center (CASF)","CASF","TX1","HL",94118,"age_2_allc2",0
"44","University of California San Francisco Medical Center (CASF)","CASF","TX1","HL",94118,"age_18_34_allc2",50
"45","University of California San Francisco Medical Center (CASF)","CASF","TX1","HL",94118,"age_35_49_allc2",0
"46","University of California San Francisco Medical Center (CASF)","CASF","TX1","HL",94118,"age_50_64_allc2",50
"47","University of California San Francisco Medical Center (CASF)","CASF","TX1","HL",94118,"age_65_69_allc2",0
"48","University of California San Francisco Medical Center (CASF)","CASF","TX1","HL",94118,"age_70_allc2",0
"49","UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","HL",75390,"age_2_11_allc2",0
"50","UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","HL",75390,"age_12_17_allc2",0
"51","UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","HL",75390,"age_2_allc2",0
"52","UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","HL",75390,"age_18_34_allc2",0
"53","UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","HL",75390,"age_35_49_allc2",33.333333333
"54","UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","HL",75390,"age_50_64_allc2",66.666666667
"55","UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","HL",75390,"age_65_69_allc2",0
"56","UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","HL",75390,"age_70_allc2",0
