"","entire_name","ctr_cd","ctr_ty","org","zipcode","race_category","race_category_percent"
"1","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"asian_allc2",0
"2","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"african_american_allc2",50
"3","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"hispanic_latino_allc2",50
"4","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"white_allc2",0
"5","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"race_other_allc2",0
"6","Houston Methodist Hospital (TXMH)","TXMH","TX1","HL",77030,"race_unknown_allc2",0
"7","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"asian_allc2",0
"8","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"african_american_allc2",0
"9","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"hispanic_latino_allc2",100
"10","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"white_allc2",0
"11","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"race_other_allc2",0
"12","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","HL",33136,"race_unknown_allc2",0
"13","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"asian_allc2",0
"14","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"african_american_allc2",16.666666667
"15","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"hispanic_latino_allc2",33.333333333
"16","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"white_allc2",50
"17","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"race_other_allc2",0
"18","Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","HL",55902,"race_unknown_allc2",0
"19","Stanford Health Care (CASU)","CASU","TX1","HL",94305,"asian_allc2",10
"20","Stanford Health Care (CASU)","CASU","TX1","HL",94305,"african_american_allc2",0
"21","Stanford Health Care (CASU)","CASU","TX1","HL",94305,"hispanic_latino_allc2",10
