"","entire_name","ctr_cd","ctr_ty","zipcode","age_category","age_category_percent"
"1","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_2_11_allc2",0
"2","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_12_17_allc2",0
"3","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_2_allc2",0
"4","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_18_34_allc2",0
"5","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_35_49_allc2",25
"6","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_50_64_allc2",37.5
"7","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_65_69_allc2",37.5
"8","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_70_allc2",0
"9","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_2_11_allc2",0
"10","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_12_17_allc2",0
"11","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_2_allc2",0
"12","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_18_34_allc2",9.2592592593
"13","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_35_49_allc2",24.074074074
"14","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_50_64_allc2",55.555555556
"15","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_65_69_allc2",11.111111111
"16","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_70_allc2",0
"17","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",19803,"age_2_11_allc2",0
"18","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",19803,"age_12_17_allc2",100
"19","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",19803,"age_2_allc2",0
"20","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",19803,"age_18_34_allc2",0
"21","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",19803,"age_35_49_allc2",0
