"","entire_name","ctr_cd","ctr_ty","release_date","org","newlistings_center_time1","newlistings_center_time2","newlistings_center_all","newlistings_regional","newlistings_usa","endlistings_center_time1","endlistings_center_time2","endlistings_center_all","endlistings_regional","endlistings_usa","deteriorated_center_time1","deteriorated_center_time2","deteriorated_center_all","deteriorated_regional","deteriorated_usa","died_center_time1","died_center_time2","died_center_all","died_regional","died_usa","other_center_time1","other_center_time2","other_center_all","other_regional","other_usa","recovered_center_time1","recovered_center_time2","recovered_center_all","recovered_regional","recovered_usa","transfer_center_time1","transfer_center_time2","transfer_center_all","transfer_regional","transfer_usa","deceased_donor_center_time1","deceased_donor_center_time2","deceased_donor_center_all","deceased_donor_regional","deceased_donor_usa","living_donor_center_time1","living_donor_center_time2","living_donor_center_all","living_donor_regional","living_donor_usa","transplant_other_center_time1","transplant_other_center_time2","transplant_other_center_all","transplant_other_regional","transplant_other_center_usa","start_waitlist_center_time1","start_waitlist_center_time2","start_waitlist_center_all","start_waitlist_regional","start_waitlist_usa","newlistings_percent_mortality","newlistings_percent_deteriorated","newlistings_percent_transfer","newlistings_percent_living_donor","newlistings_percent_deceased_donor","newlistings_percent_recovered","living_deceased_graft_ratio","zipcode","lat","lng","center_type_na","release_date_na","organ_na","age_2_11_allc2","age_2_11_newc2","age_12_17_allc2","age_12_17_newc2","age_2_allc2","age_2_newc2","age_18_34_allc2","age_18_34_newc2","age_35_49_allc2","age_35_49_newc2","age_50_64_allc2","age_50_64_newc2","age_65_69_allc2","age_65_69_newc2","age_70_allc2","age_70_newc2","all_allc2","all_newc2","blood_type_ab_allc2","blood_type_ab_newc2","blood_type_a_allc2","blood_type_a_newc2","blood_type_b_allc2","blood_type_b_newc2","blood_type_o_allc2","blood_type_o_newc2","blood_type_unknown_allc2","blood_type_unknown_newc2","female_allc2","female_newc2","male_allc2","male_newc2","gender_unknown_allc2","gender_unknown_newc2","cardiomyopathy_allc2","cardiomyopathy_newc2","congenital_heart_disease_allc2","congenital_heart_disease_newc2","coronary_artery_disease_allc2","coronary_artery_disease_newc2","primary_disease_missing_allc2","primary_disease_missing_newc2","primary_disease_other_allc2","primary_disease_other_newc2","retransplant_graft_failure_allc2","retransplant_graft_failure_newc2","valvular_heart_disease_allc2","valvular_heart_disease_newc2","functional_bowel_problem_allc2","functional_bowel_problem_newc2","primary_disease_missing_allc2_2","primary_disease_missing_newc2_2","primary_disease_other_allc2_2","primary_disease_other_newc2_2","retransplant_graft_failure_allc2_2","retransplant_graft_failure_newc2_2","short_gut_syndrome_allc2","short_gut_syndrome_newc2","diabetes_allc2","diabetes_newc2","glomerular_diseases_allc2","glomerular_diseases_newc2","hypertensive_nephrosclerosis_allc2","hypertensive_nephrosclerosis_newc2","primary_disease_missing_allc2_3","primary_disease_missing_newc2_3","neoplasms_allc2","neoplasms_newc2","primary_disease_other_allc2_3","primary_disease_other_newc2_3","polycystic_kidneys_allc2","polycystic_kidneys_newc2","renovascular_vascular_diseases_allc2","renovascular_vascular_diseases_newc2","retransplant_graft_failure_allc2_3","retransplant_graft_failure_newc2_3","tubular_and_interstitial_diseases_allc2","tubular_and_interstitial_diseases_newc2","acute_hepatic_necrosis_allc2","acute_hepatic_necrosis_newc2","biliary_atresia_allc2","biliary_atresia_newc2","cholestatic_liver_disease_cirrhosis_allc2","cholestatic_liver_disease_cirrhosis_newc2","malignant_neoplasms_allc2","malignant_neoplasms_newc2","metabolic_diseases_allc2","metabolic_diseases_newc2","primary_disease_missing_allc2_4","primary_disease_missing_newc2_4","non_cholestatic_cirrhosis_allc2","non_cholestatic_cirrhosis_newc2","primary_disease_other_allc2_4","primary_disease_other_newc2_4","congenital_disease_allc2","congenital_disease_newc2","cystic_fibrosis_allc2","cystic_fibrosis_newc2","emphysema_copd_allc2","emphysema_copd_newc2","idiopathic_pulmonary_fibrosis_allc2","idiopathic_pulmonary_fibrosis_newc2","primary_disease_missing_allc2_5","primary_disease_missing_newc2_5","primary_disease_other_allc2_5","primary_disease_other_newc2_5","idiopathic_pulmonary_arterial_hypertension_allc2","idiopathic_pulmonary_arterial_hypertension_newc2","retransplant_graft_failure_allc2_4","retransplant_graft_failure_newc2_4","meld_11_14_allc2","meld_11_14_newc2","meld_15_20_allc2","meld_15_20_newc2","meld_21_30_allc2","meld_21_30_newc2","meld_31_40_allc2","meld_31_40_newc2","meld_6_10_allc2","meld_6_10_newc2","on_waitlist_allc2","on_waitlist_newc2","peld_11_14_allc2","peld_11_14_newc2","peld_15_20_allc2","peld_15_20_newc2","peld_21_30_allc2","peld_21_30_newc2","peld_31_allc2","peld_31_newc2","peld_10_allc2","peld_10_newc2","pra_10_79_allc2","pra_10_79_newc2","pra_80_allc2","pra_80_newc2","pra_0_9_allc2","pra_0_9_newc2","pra_unknown_allc2","pra_unknown_newc2","previous_tx_no_allc2","previous_tx_no_newc2","previous_tx_unknown_allc2","previous_tx_unknown_newc2","previous_tx_yes_allc2","previous_tx_yes_newc2","diabetes_onset_20_years_allc2","diabetes_onset_20_years_newc2","diabetes_onset_20_25_allc2","diabetes_onset_20_25_newc2","diabetes_onset_25_30_allc2","diabetes_onset_25_30_newc2","diabetes_onset_30_allc2","diabetes_onset_30_newc2","diabetes_onset_unknown_allc2","diabetes_onset_unknown_newc2","asian_allc2","asian_newc2","african_american_allc2","african_american_newc2","hispanic_latino_allc2","hispanic_latino_newc2","race_other_allc2","race_other_newc2","race_unknown_allc2","race_unknown_newc2","white_allc2","white_newc2","status_1a_allc2","status_1a_newc2","status_1b_allc2","status_1b_newc2","old_status_1_allc2","old_status_1_newc2","status_2a_allc2","status_2a_newc2","status_2b_allc2","status_2b_newc2","status_2_allc2","status_2_newc2","status_3_allc2","status_3_newc2","temporarily_inactive_allc2","temporarily_inactive_newc2","congenital_familial_metabolic_allc2","congenital_familial_metabolic_newc2","na","na_2","na_3","na_4","na_5","na_6","na_7","na_8","na_9","na_10","na_11","na_12"
"1","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",44046.7916666667,"HR",18,19,271.42857143,93.832599119,123.19143379,7,8,114.28571429,94.713656388,98.250195874,0,1,14.285714286,5.2863436123,7.8610603291,0,0,0,4.845814978,5.8500914077,1,1,14.285714286,5.5066079295,9.2452337425,2,0,0,1.5418502203,5.3016453382,0,0,0,1.5418502203,2.9250457038,15,16,228.57142857,78.193832599,92.765735179,0,0,0,0,0,0,0,0,2.2026431718,0.9924262209,7,7,100,100,100,0,5.2631578948144,0,0,84.2105263148199,0,0,55407,44.94,-93.25,"TX1","44046.791666666664","HR","0","0","0","0","0","0","0","15.789473684","25","10.526315789","37.5","31.578947368","37.5","36.842105263","0","5.2631578947","100","100","0","0","50","42.105263158","0","10.526315789","50","47.368421053","0","0","0","21.052631579","100","78.947368421","0","0","37.5","47.368421053","0","5.2631578947","37.5","36.842105263","0","0","0","0","25","10.526315789","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8","19","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","75","89.473684211","0","0","25","10.526315789","-","-","-","-","-","-","-","-","-","-","12.5","10.526315789","12.5","15.789473684","12.5","5.2631578947","0","0","0","0","62.5","68.421052632","12.5","0","12.5","0","-","-","-","-","-","-","0","0","-","-","0","0","0","0","0","10.526315789","0","10.526315789","75","78.947368421","0","0","0","0","-","-"
"2","Advocate Christ Medical Center (ILCH)","ILCH","TX1",44046.7916666667,"HR",36,39,66.101694915,93.832599119,123.19143379,59,54,91.525423729,94.713656388,98.250195874,13,6,10.169491525,5.2863436123,7.8610603291,1,0,0,4.845814978,5.8500914077,11,6,10.169491525,5.5066079295,9.2452337425,0,0,0,1.5418502203,5.3016453382,0,1,1.6949152542,1.5418502203,2.9250457038,28,29,49.152542373,78.193832599,92.765735179,0,0,0,0,0,0,2,3.3898305085,2.2026431718,0.9924262209,76,59,100,100,100,0,15.3846153840335,2.56410256405602,0,74.3589743594399,0,0,60453,41.71,-87.76,"TX1","44046.791666666664","HR","0","0","0","0","0","0","9.2592592593","5.1282051282","24.074074074","20.512820513","55.555555556","64.102564103","11.111111111","10.256410256","0","0","100","100","1.8518518519","2.5641025641","33.333333333","33.333333333","14.814814815","15.384615385","50","48.717948718","0","0","20.37037037","33.333333333","79.62962963","66.666666667","0","0","61.111111111","61.538461538","3.7037037037","2.5641025641","33.333333333","33.333333333","0","0","0","0","1.8518518519","0","0","2.5641025641","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","54","39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","96.296296296","97.435897436","0","0","3.7037037037","2.5641025641","-","-","-","-","-","-","-","-","-","-","1.8518518519","7.6923076923","42.592592593","33.333333333","14.814814815","17.948717949","0","0","0","0","40.740740741","41.025641026","0","0","29.62962963","0","-","-","-","-","-","-","22.222222222","0","-","-","0","0","0","2.5641025641","5.5555555556","23.076923077","1.8518518519","2.5641025641","20.37037037","35.897435897","1.8518518519","2.5641025641","18.518518519","33.333333333","-","-"
"3","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",44046.7916666667,"HR",3,5,500,132.96398892,123.19143379,1,1,100,104.70914127,98.250195874,2,1,100,9.6952908587,7.8610603291,0,0,0,4.7091412742,5.8500914077,0,0,0,10.249307479,9.2452337425,0,0,0,7.4792243767,5.3016453382,0,0,0,3.0470914127,2.9250457038,1,4,400,93.074792244,92.765735179,0,0,0,0,0,0,0,0,0,0.9924262209,1,1,100,100,100,0,20,0,0,80,0,0,19803,39.8,-75.53,"TX1","44046.791666666664","HR","0","20","100","40","0","40","0","0","0","0","0","0","0","0","0","0","100","100","0","0","0","40","0","20","100","40","0","0","0","100","100","0","0","0","100","80","0","20","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","40","0","0","0","0","100","60","0","60","0","40","-","-","-","-","-","-","100","0","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-"
"4","Allegheny General Hospital (PAAG)","PAAG","TX1",44046.7916666667,"HR",26,35,166.66666667,132.96398892,123.19143379,21,26,123.80952381,104.70914127,98.250195874,8,0,0,9.6952908587,7.8610603291,0,1,4.7619047619,4.7091412742,5.8500914077,4,5,23.80952381,10.249307479,9.2452337425,8,1,4.7619047619,7.4792243767,5.3016453382,0,1,4.7619047619,3.0470914127,2.9250457038,24,22,104.76190476,93.074792244,92.765735179,0,0,0,0,0,0,0,0,0,0.9924262209,39,21,100,100,100,2.85714285708286,0,2.85714285708286,0,62.8571428547429,2.85714285708286,0,15212,40.47,-80.01,"TX1","44046.791666666664","HR","0","0","0","0","0","0","7.6923076923","5.7142857143","15.384615385","20","53.846153846","42.857142857","23.076923077","31.428571429","0","0","100","100","3.8461538462","2.8571428571","26.923076923","42.857142857","7.6923076923","17.142857143","61.538461538","37.142857143","0","0","7.6923076923","14.285714286","92.307692308","85.714285714","0","0","57.692307692","74.285714286","0","0","42.307692308","25.714285714","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26","35","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","3.8461538462","8.5714285714","0","0","0","0","0","0","96.153846154","91.428571429","0","0","15.384615385","0","-","-","-","-","-","-","23.076923077","0","-","-","3.8461538462","2.8571428571","0","5.7142857143","0","11.428571429","0","2.8571428571","11.538461538","31.428571429","0","0","46.153846154","45.714285714","-","-"
"5","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1",44046.7916666667,"HR",40,44,176,93.832599119,123.19143379,25,32,128,94.713656388,98.250195874,1,0,0,5.2863436123,7.8610603291,1,3,12,4.845814978,5.8500914077,0,0,0,5.5066079295,9.2452337425,0,0,0,1.5418502203,5.3016453382,0,0,0,1.5418502203,2.9250457038,25,34,136,78.193832599,92.765735179,0,0,0,0,0,0,0,0,2.2026431718,0.9924262209,12,25,100,100,100,6.81818181818182,0,0,0,77.2727272727273,0,0,60611,41.91,-87.61,"TX1","44046.791666666664","HR","46.875","34.090909091","9.375","13.636363636","31.25","40.909090909","12.5","11.363636364","0","0","0","0","0","0","0","0","100","100","3.125","6.8181818182","31.25","34.090909091","25","20.454545455","40.625","38.636363636","0","0","46.875","50","53.125","50","0","0","28.125","27.272727273","59.375","65.909090909","3.125","2.2727272727","0","0","0","0","9.375","4.5454545455","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32","44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","90.625","95.454545455","0","0","9.375","4.5454545455","-","-","-","-","-","-","-","-","-","-","3.125","6.8181818182","12.5","25","21.875","22.727272727","3.125","2.2727272727","0","0","59.375","43.181818182","59.375","75","12.5","6.8181818182","-","-","-","-","-","-","21.875","6.8181818182","-","-","0","2.2727272727","0","2.2727272727","0","0","0","0","6.25","6.8181818182","0","0","0","0","-","-"
"6","Arkansas Children's Hospital (ARCH)","ARCH","TX1",44046.7916666667,"HR",7,10,500,109.95762712,123.19143379,2,4,200,89.618644068,98.250195874,0,2,100,11.228813559,7.8610603291,1,0,0,7.6271186441,5.8500914077,0,0,0,11.016949153,9.2452337425,1,0,0,5.9322033898,5.3016453382,0,0,0,1.2711864407,2.9250457038,4,6,300,83.050847458,92.765735179,0,0,0,0,0,0,0,0,0.2118644068,0.9924262209,1,2,100,100,100,0,20,0,0,60,0,0,72202,34.76,-92.29,"TX1","44046.791666666664","HR","25","20","50","40","25","30","0","10","0","0","0","0","0","0","0","0","100","100","0","0","25","30","0","10","75","60","0","0","50","40","50","60","0","0","25","30","75","60","0","0","0","0","0","0","0","10","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","90","0","0","0","10","-","-","-","-","-","-","-","-","-","-","0","10","25","10","0","20","0","0","0","0","75","60","100","90","0","0","-","-","-","-","-","-","0","0","-","-","0","0","0","0","0","0","0","10","0","0","0","0","0","0","-","-"
"7","Aurora St. Luke's Medical Center (WISL)","WISL","TX1",44046.7916666667,"HR",51,33,80.487804878,93.832599119,123.19143379,41,44,107.31707317,94.713656388,98.250195874,1,3,7.3170731707,5.2863436123,7.8610603291,2,0,0,4.845814978,5.8500914077,2,4,9.756097561,5.5066079295,9.2452337425,2,0,0,1.5418502203,5.3016453382,0,0,0,1.5418502203,2.9250457038,26,23,56.097560976,78.193832599,92.765735179,0,0,0,0,0,0,0,0,2.2026431718,0.9924262209,23,41,100,100,100,0,9.09090909087521,0,0,69.6969696974968,0,0,53215,43.01,-87.94,"TX1","44046.791666666664","HR","0","0","0","0","0","0","11.363636364","12.121212121","15.909090909","21.212121212","54.545454545","42.424242424","18.181818182","21.212121212","0","3.0303030303","100","100","0","3.0303030303","36.363636364","39.393939394","9.0909090909","9.0909090909","54.545454545","48.484848485","0","0","13.636363636","21.212121212","86.363636364","78.787878788","0","0","65.909090909","69.696969697","0","0","29.545454545","24.242424242","0","0","2.2727272727","3.0303030303","0","3.0303030303","2.2727272727","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","44","33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","96.96969697","0","0","0","3.0303030303","-","-","-","-","-","-","-","-","-","-","2.2727272727","3.0303030303","20.454545455","18.181818182","4.5454545455","6.0606060606","0","0","0","0","72.727272727","72.727272727","0","0","29.545454545","0","-","-","-","-","-","-","4.5454545455","0","-","-","20.454545455","6.0606060606","0","0","6.8181818182","30.303030303","2.2727272727","6.0606060606","22.727272727","36.363636364","0","0","13.636363636","21.212121212","-","-"
"8","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1",44046.7916666667,"HR",21,18,257.14285714,141.27310062,123.19143379,7,6,85.714285714,87.26899384,98.250195874,1,3,42.857142857,8.8295687885,7.8610603291,1,1,14.285714286,5.1334702259,5.8500914077,6,6,85.714285714,10.882956879,9.2452337425,2,1,14.285714286,5.954825462,5.3016453382,1,0,0,2.2587268994,2.9250457038,16,8,114.28571429,119.09650924,92.765735179,0,0,0,0,0,0,0,0,1.8480492813,0.9924262209,13,7,100,100,100,5.55555555572839,16.6666666667963,0,0,44.4444444466049,5.55555555572839,0,85719,32.25,-110.95,"TX1","44046.791666666664","HR","0","0","0","0","0","0","0","22.222222222","16.666666667","16.666666667","83.333333333","50","0","11.111111111","0","0","100","100","0","5.5555555556","33.333333333","22.222222222","0","5.5555555556","66.666666667","66.666666667","0","0","33.333333333","27.777777778","66.666666667","72.222222222","0","0","50","38.888888889","0","0","0","5.5555555556","0","0","50","55.555555556","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6","18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","33.333333333","22.222222222","0","33.333333333","0","0","0","0","66.666666667","44.444444444","0","0","0","0","-","-","-","-","-","-","0","0","-","-","16.666666667","16.666666667","0","0","0","0","16.666666667","16.666666667","16.666666667","16.666666667","0","5.5555555556","50","44.444444444","-","-"
"9","Baptist Medical Center (ARBH)","ARBH","TX1",44046.7916666667,"HR",25,14,36.842105263,109.95762712,123.19143379,38,30,78.947368421,89.618644068,98.250195874,3,8,21.052631579,11.228813559,7.8610603291,0,0,0,7.6271186441,5.8500914077,4,0,0,11.016949153,9.2452337425,1,0,0,5.9322033898,5.3016453382,0,1,2.6315789474,1.2711864407,2.9250457038,9,12,31.578947368,83.050847458,92.765735179,0,0,0,0,0,0,1,2.6315789474,0.2118644068,0.9924262209,30,38,100,100,100,0,57.1428571432449,7.14285714297347,0,85.7142857135102,0,0,NA,NA,NA,"TX1","44046.791666666664","HR","0","0","0","0","0","0","20","7.1428571429","33.333333333","42.857142857","33.333333333","28.571428571","13.333333333","21.428571429","0","0","100","100","0","0","23.333333333","42.857142857","6.6666666667","0","70","57.142857143","0","0","16.666666667","35.714285714","83.333333333","64.285714286","0","0","60","71.428571429","3.3333333333","7.1428571429","36.666666667","21.428571429","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","43.333333333","35.714285714","0","0","0","0","0","0","56.666666667","64.285714286","6.6666666667","0","53.333333333","0","-","-","-","-","-","-","10","0","-","-","6.6666666667","0","0","0","0","35.714285714","0","21.428571429","23.333333333","42.857142857","0","0","0","0","-","-"
"10","Baptist Memorial Hospital (TNBM)","TNBM","TX1",44046.7916666667,"HR",30,23,109.52380952,169.00726392,123.19143379,21,25,119.04761905,111.38014528,98.250195874,4,1,4.7619047619,8.7167070218,7.8610603291,2,1,4.7619047619,7.0217917676,5.8500914077,1,2,9.5238095238,9.9273607748,9.2452337425,2,2,9.5238095238,5.0847457627,5.3016453382,0,0,0,6.5375302663,2.9250457038,13,13,61.904761905,118.88619855,92.765735179,0,0,0,0,0,0,0,0,1.4527845036,0.9924262209,13,21,100,100,100,4.3478260871034,4.3478260871034,0,0,56.5217391326182,8.69565217420681,0,NA,NA,NA,"TX1","44046.791666666664","HR","0","0","0","0","0","0","0","4.347826087","48","43.47826087","52","47.826086957","0","4.347826087","0","0","100","100","0","4.347826087","20","30.434782609","12","13.043478261","68","52.173913043","0","0","32","30.434782609","68","69.565217391","0","0","56","65.217391304","0","0","44","34.782608696","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25","23","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","64","60.869565217","0","0","0","0","0","0","36","39.130434783","0","0","16","0","-","-","-","-","-","-","16","0","-","-","0","0","0","0","0","13.043478261","0","0","28","34.782608696","0","0","40","52.173913043","-","-"
