"","entire_name","ctr_cd","ctr_ty","release_date","org","newlistings_center_time1","newlistings_center_time2","newlistings_center_all","newlistings_regional","newlistings_usa","endlistings_center_time1","endlistings_center_time2","endlistings_center_all","endlistings_regional","endlistings_usa","deteriorated_center_time1","deteriorated_center_time2","deteriorated_center_all","deteriorated_regional","deteriorated_usa","died_center_time1","died_center_time2","died_center_all","died_regional","died_usa","other_center_time1","other_center_time2","other_center_all","other_regional","other_usa","recovered_center_time1","recovered_center_time2","recovered_center_all","recovered_regional","recovered_usa","transfer_center_time1","transfer_center_time2","transfer_center_all","transfer_regional","transfer_usa","deceased_donor_center_time1","deceased_donor_center_time2","deceased_donor_center_all","deceased_donor_regional","deceased_donor_usa","living_donor_center_time1","living_donor_center_time2","living_donor_center_all","living_donor_regional","living_donor_usa","transplant_other_center_time1","transplant_other_center_time2","transplant_other_center_all","transplant_other_regional","transplant_other_center_usa","start_waitlist_center_time1","start_waitlist_center_time2","start_waitlist_center_all","start_waitlist_regional","start_waitlist_usa","newlistings_percent_mortality","newlistings_percent_deteriorated","newlistings_percent_transfer","newlistings_percent_living_donor","newlistings_percent_deceased_donor","newlistings_percent_recovered","living_deceased_graft_ratio","zipcode","lat","lng","center_type_na","release_date_na","organ_na","age_2_11_allc2","age_2_11_newc2","age_12_17_allc2","age_12_17_newc2","age_2_allc2","age_2_newc2","age_18_34_allc2","age_18_34_newc2","age_35_49_allc2","age_35_49_newc2","age_50_64_allc2","age_50_64_newc2","age_65_69_allc2","age_65_69_newc2","age_70_allc2","age_70_newc2","all_allc2","all_newc2","blood_type_ab_allc2","blood_type_ab_newc2","blood_type_a_allc2","blood_type_a_newc2","blood_type_b_allc2","blood_type_b_newc2","blood_type_o_allc2","blood_type_o_newc2","blood_type_unknown_allc2","blood_type_unknown_newc2","female_allc2","female_newc2","male_allc2","male_newc2","gender_unknown_allc2","gender_unknown_newc2","cardiomyopathy_allc2","cardiomyopathy_newc2","congenital_heart_disease_allc2","congenital_heart_disease_newc2","coronary_artery_disease_allc2","coronary_artery_disease_newc2","primary_disease_missing_allc2","primary_disease_missing_newc2","primary_disease_other_allc2","primary_disease_other_newc2","retransplant_graft_failure_allc2","retransplant_graft_failure_newc2","valvular_heart_disease_allc2","valvular_heart_disease_newc2","functional_bowel_problem_allc2","functional_bowel_problem_newc2","primary_disease_missing_allc2_2","primary_disease_missing_newc2_2","primary_disease_other_allc2_2","primary_disease_other_newc2_2","retransplant_graft_failure_allc2_2","retransplant_graft_failure_newc2_2","short_gut_syndrome_allc2","short_gut_syndrome_newc2","diabetes_allc2","diabetes_newc2","glomerular_diseases_allc2","glomerular_diseases_newc2","hypertensive_nephrosclerosis_allc2","hypertensive_nephrosclerosis_newc2","primary_disease_missing_allc2_3","primary_disease_missing_newc2_3","neoplasms_allc2","neoplasms_newc2","primary_disease_other_allc2_3","primary_disease_other_newc2_3","polycystic_kidneys_allc2","polycystic_kidneys_newc2","renovascular_vascular_diseases_allc2","renovascular_vascular_diseases_newc2","retransplant_graft_failure_allc2_3","retransplant_graft_failure_newc2_3","tubular_and_interstitial_diseases_allc2","tubular_and_interstitial_diseases_newc2","acute_hepatic_necrosis_allc2","acute_hepatic_necrosis_newc2","biliary_atresia_allc2","biliary_atresia_newc2","cholestatic_liver_disease_cirrhosis_allc2","cholestatic_liver_disease_cirrhosis_newc2","malignant_neoplasms_allc2","malignant_neoplasms_newc2","metabolic_diseases_allc2","metabolic_diseases_newc2","primary_disease_missing_allc2_4","primary_disease_missing_newc2_4","non_cholestatic_cirrhosis_allc2","non_cholestatic_cirrhosis_newc2","primary_disease_other_allc2_4","primary_disease_other_newc2_4","congenital_disease_allc2","congenital_disease_newc2","cystic_fibrosis_allc2","cystic_fibrosis_newc2","emphysema_copd_allc2","emphysema_copd_newc2","idiopathic_pulmonary_fibrosis_allc2","idiopathic_pulmonary_fibrosis_newc2","primary_disease_missing_allc2_5","primary_disease_missing_newc2_5","primary_disease_other_allc2_5","primary_disease_other_newc2_5","idiopathic_pulmonary_arterial_hypertension_allc2","idiopathic_pulmonary_arterial_hypertension_newc2","retransplant_graft_failure_allc2_4","retransplant_graft_failure_newc2_4","meld_11_14_allc2","meld_11_14_newc2","meld_15_20_allc2","meld_15_20_newc2","meld_21_30_allc2","meld_21_30_newc2","meld_31_40_allc2","meld_31_40_newc2","meld_6_10_allc2","meld_6_10_newc2","on_waitlist_allc2","on_waitlist_newc2","peld_11_14_allc2","peld_11_14_newc2","peld_15_20_allc2","peld_15_20_newc2","peld_21_30_allc2","peld_21_30_newc2","peld_31_allc2","peld_31_newc2","peld_10_allc2","peld_10_newc2","pra_10_79_allc2","pra_10_79_newc2","pra_80_allc2","pra_80_newc2","pra_0_9_allc2","pra_0_9_newc2","pra_unknown_allc2","pra_unknown_newc2","previous_tx_no_allc2","previous_tx_no_newc2","previous_tx_unknown_allc2","previous_tx_unknown_newc2","previous_tx_yes_allc2","previous_tx_yes_newc2","diabetes_onset_20_years_allc2","diabetes_onset_20_years_newc2","diabetes_onset_20_25_allc2","diabetes_onset_20_25_newc2","diabetes_onset_25_30_allc2","diabetes_onset_25_30_newc2","diabetes_onset_30_allc2","diabetes_onset_30_newc2","diabetes_onset_unknown_allc2","diabetes_onset_unknown_newc2","asian_allc2","asian_newc2","african_american_allc2","african_american_newc2","hispanic_latino_allc2","hispanic_latino_newc2","race_other_allc2","race_other_newc2","race_unknown_allc2","race_unknown_newc2","white_allc2","white_newc2","status_1a_allc2","status_1a_newc2","status_1b_allc2","status_1b_newc2","old_status_1_allc2","old_status_1_newc2","status_2a_allc2","status_2a_newc2","status_2b_allc2","status_2b_newc2","status_2_allc2","status_2_newc2","status_3_allc2","status_3_newc2","temporarily_inactive_allc2","temporarily_inactive_newc2","congenital_familial_metabolic_allc2","congenital_familial_metabolic_newc2"
"1","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1",44046.7916666667,"IN",0,2,50,66.666666667,41.869918699,4,5,125,83.333333333,91.869918699,0,0,0,0,2.0325203252,0,0,0,0,5.6910569106,0,0,0,33.333333333,2.4390243902,0,0,0,0,5.2845528455,0,0,0,0,0.8130081301,1,1,25,50,32.926829268,0,0,0,0,0,0,0,0,0,0.8130081301,5,4,100,100,100,0,0,0,0,50,0,0,60611,41.91,-87.61,"TX1","44046.791666666664","IN","60","100","20","0","20","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0","40","50","20","0","40","50","0","0","60","100","40","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","40","0","0","0","0","0","0","0","60","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","80","100","0","0","20","0","-","-","-","-","-","-","-","-","-","-","0","0","20","0","40","50","0","0","0","0","40","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2","Boston Children's Hospital (MACH)","MACH","TX1",44046.7916666667,"IN",0,1,50,50,41.869918699,2,2,100,100,91.869918699,0,0,0,0,2.0325203252,0,1,50,50,5.6910569106,0,0,0,0,2.4390243902,0,0,0,0,5.2845528455,0,0,0,0,0.8130081301,0,0,0,0,32.926829268,0,0,0,0,0,0,0,0,0,0.8130081301,2,2,100,100,100,100,0,0,0,0,0,NA,2115,NA,NA,"TX1","44046.791666666664","IN","50","0","0","100","50","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0","0","0","0","0","100","100","0","0","100","0","0","100","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","50","100","0","0","50","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","100","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3","Children's Hospital Medical Center (OHCM)","OHCM","TX1",44046.7916666667,"IN",4,2,22.222222222,81.818181818,41.869918699,9,8,88.888888889,100,91.869918699,0,0,0,6.0606060606,2.0325203252,0,0,0,0,5.6910569106,0,0,0,3.0303030303,2.4390243902,0,1,11.111111111,6.0606060606,5.2845528455,0,0,0,0,0.8130081301,3,1,11.111111111,63.636363636,32.926829268,0,0,0,0,0,0,1,11.111111111,3.0303030303,0.8130081301,8,9,100,100,100,0,0,0,0,50,50,0,45229,39.15,-84.49,"TX1","44046.791666666664","IN","75","100","0","0","25","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0","37.5","0","12.5","50","50","50","0","0","62.5","50","37.5","50","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12.5","100","0","0","0","0","0","0","87.5","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","37.5","50","0","0","0","0","0","0","62.5","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4","Duke University Hospital (NCDU)","NCDU","TX1",44046.7916666667,"IN",5,3,75,75,41.869918699,4,5,125,125,91.869918699,0,0,0,0,2.0325203252,0,0,0,0,5.6910569106,0,0,0,0,2.4390243902,0,0,0,0,5.2845528455,0,0,0,0,0.8130081301,4,2,50,50,32.926829268,0,0,0,0,0,0,0,0,0,0.8130081301,3,4,100,100,100,0,0,0,0,66.6666666666667,0,0,27710,NA,NA,"TX1","44046.791666666664","IN","20","0","40","33.333333333","20","0","0","33.333333333","20","33.333333333","0","0","0","0","0","0","100","100","0","0","60","33.333333333","20","0","20","66.666666667","0","0","60","33.333333333","40","66.666666667","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20","0","0","0","0","33.333333333","0","0","80","66.666666667","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","66.666666667","0","0","0","33.333333333","-","-","-","-","-","-","-","-","-","-","0","0","40","0","0","0","0","0","0","0","60","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","Georgetown University Medical Center (DCGU)","DCGU","TX1",44046.7916666667,"IN",20,18,90,24.347826087,41.869918699,20,12,60,92.173913043,91.869918699,0,0,0,0.8695652174,2.0325203252,2,2,10,2.6086956522,5.6910569106,2,1,5,0.8695652174,2.4390243902,2,6,30,6.9565217391,5.2845528455,1,0,0,0,0.8130081301,18,17,85,20,32.926829268,0,0,0,0,0,1,0,0,0.8695652174,0.8130081301,26,20,100,100,100,11.1111111111111,0,0,0,94.4444444444444,33.3333333333333,0,20007,38.92,-77.08,"TX1","44046.791666666664","IN","33.333333333","11.111111111","0","0","8.3333333333","27.777777778","8.3333333333","16.666666667","41.666666667","33.333333333","8.3333333333","11.111111111","0","0","0","0","100","100","0","5.5555555556","25","55.555555556","8.3333333333","0","66.666666667","38.888888889","0","0","33.333333333","50","66.666666667","50","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16.666666667","11.111111111","0","0","25","11.111111111","0","0","58.333333333","77.777777778","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","12","18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","91.666666667","88.888888889","0","0","8.3333333333","11.111111111","-","-","-","-","-","-","-","-","-","-","0","0","33.333333333","22.222222222","8.3333333333","0","0","5.5555555556","0","0","58.333333333","72.222222222","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6","Henry Ford Hospital (MIHF)","MIHF","TX1",44046.7916666667,"IN",3,4,400,81.818181818,41.869918699,1,1,100,100,91.869918699,0,1,100,6.0606060606,2.0325203252,0,0,0,0,5.6910569106,0,0,0,3.0303030303,2.4390243902,0,0,0,6.0606060606,5.2845528455,0,0,0,0,0.8130081301,3,3,300,63.636363636,32.926829268,0,0,0,0,0,0,0,0,3.0303030303,0.8130081301,1,1,100,100,100,0,25,0,0,75,0,0,48202,42.38,-83.08,"TX1","44046.791666666664","IN","0","0","0","0","0","0","0","0","100","25","0","50","0","25","0","0","100","100","0","0","0","0","0","25","100","75","0","0","100","75","0","25","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","100","50","0","0","0","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","0","25","0","25","0","0","0","0","100","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7","Indiana University Health (INIM)","INIM","TX1",44046.7916666667,"IN",8,11,220,81.818181818,41.869918699,5,9,180,100,91.869918699,0,1,20,6.0606060606,2.0325203252,0,0,0,0,5.6910569106,1,0,0,3.0303030303,2.4390243902,0,1,20,6.0606060606,5.2845528455,0,0,0,0,0.8130081301,8,5,100,63.636363636,32.926829268,0,0,0,0,0,0,0,0,3.0303030303,0.8130081301,6,5,100,100,100,0,9.09090909090909,0,0,45.4545454545455,9.09090909090909,0,46202,39.79,-86.15,"TX1","44046.791666666664","IN","11.111111111","9.0909090909","0","0","0","0","11.111111111","18.181818182","33.333333333","36.363636364","44.444444444","36.363636364","0","0","0","0","100","100","0","9.0909090909","44.444444444","45.454545455","0","9.0909090909","55.555555556","36.363636364","0","0","55.555555556","63.636363636","44.444444444","36.363636364","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","11.111111111","9.0909090909","0","9.0909090909","44.444444444","36.363636364","0","0","44.444444444","45.454545455","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","77.777777778","63.636363636","0","0","22.222222222","36.363636364","-","-","-","-","-","-","-","-","-","-","0","0","22.222222222","9.0909090909","0","0","0","0","0","0","77.777777778","90.909090909","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1",44046.7916666667,"IN",18,15,150,150,41.869918699,10,8,80,80,91.869918699,1,1,10,10,2.0325203252,2,2,20,20,5.6910569106,0,1,10,10,2.4390243902,1,1,10,10,5.2845528455,1,0,0,0,0.8130081301,20,12,120,120,32.926829268,0,0,0,0,0,0,0,0,0,0.8130081301,17,10,100,100,100,13.3333333333333,6.66666666666667,0,0,80,6.66666666666667,0,33136,25.79,-80.21,"TX1","44046.791666666664","IN","62.5","33.333333333","0","6.6666666667","0","0","12.5","6.6666666667","25","13.333333333","0","33.333333333","0","6.6666666667","0","0","100","100","0","6.6666666667","50","40","0","0","50","53.333333333","0","0","75","46.666666667","25","53.333333333","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25","6.6666666667","0","0","37.5","60","0","0","37.5","33.333333333","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","86.666666667","0","0","0","13.333333333","-","-","-","-","-","-","-","-","-","-","0","0","12.5","13.333333333","25","33.333333333","0","0","0","0","62.5","53.333333333","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9","Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1",44046.7916666667,"IN",0,2,100,30,41.869918699,2,3,150,103.33333333,91.869918699,0,0,0,0,2.0325203252,0,0,0,16.666666667,5.6910569106,0,0,0,0,2.4390243902,0,1,50,3.3333333333,5.2845528455,0,0,0,0,0.8130081301,2,0,0,6.6666666667,32.926829268,0,0,0,0,0,0,0,0,0,0.8130081301,4,2,100,100,100,0,0,0,0,0,50,NA,94304,37.42,-122.16,"TX1","44046.791666666664","IN","66.666666667","50","0","0","33.333333333","50","0","0","0","0","0","0","0","0","0","0","100","100","0","0","33.333333333","50","0","0","66.666666667","50","0","0","33.333333333","0","66.666666667","100","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","33.333333333","50","0","0","66.666666667","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","0","0","33.333333333","50","0","0","0","0","66.666666667","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10","Mount Sinai Medical Center (NYMS)","NYMS","TX1",44046.7916666667,"IN",15,8,72.727272727,75,41.869918699,11,6,54.545454545,66.666666667,91.869918699,0,1,9.0909090909,8.3333333333,2.0325203252,1,2,18.181818182,16.666666667,5.6910569106,1,0,0,0,2.4390243902,1,0,0,0,5.2845528455,0,0,0,0,0.8130081301,9,10,90.909090909,83.333333333,32.926829268,0,0,0,0,0,0,0,0,0,0.8130081301,8,11,100,100,100,25.0000000003438,12.5000000000344,0,0,125.000000000344,0,0,10029,40.79,-73.95,"TX1","44046.791666666664","IN","16.666666667","37.5","0","0","0","0","50","37.5","16.666666667","12.5","16.666666667","12.5","0","0","0","0","100","100","0","12.5","33.333333333","12.5","33.333333333","25","33.333333333","50","0","0","50","25","50","75","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33.333333333","25","0","0","33.333333333","12.5","0","0","33.333333333","62.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","50","62.5","0","0","50","37.5","-","-","-","-","-","-","-","-","-","-","0","0","33.333333333","37.5","0","25","0","0","0","0","66.666666667","37.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
