"","entire_name","ctr_cd","ctr_ty","org","zipcode","race_category","race_category_percent"
"1","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","IN",60611,"asian_allc2",0
"2","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","IN",60611,"african_american_allc2",20
"3","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","IN",60611,"hispanic_latino_allc2",40
"4","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","IN",60611,"white_allc2",40
"5","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","IN",60611,"race_other_allc2",0
"6","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","IN",60611,"race_unknown_allc2",0
"7","Boston Children's Hospital (MACH)","MACH","TX1","IN",2115,"asian_allc2",0
"8","Boston Children's Hospital (MACH)","MACH","TX1","IN",2115,"african_american_allc2",0
"9","Boston Children's Hospital (MACH)","MACH","TX1","IN",2115,"hispanic_latino_allc2",0
"10","Boston Children's Hospital (MACH)","MACH","TX1","IN",2115,"white_allc2",100
"11","Boston Children's Hospital (MACH)","MACH","TX1","IN",2115,"race_other_allc2",0
"12","Boston Children's Hospital (MACH)","MACH","TX1","IN",2115,"race_unknown_allc2",0
"13","Children's Hospital Medical Center (OHCM)","OHCM","TX1","IN",45229,"asian_allc2",0
"14","Children's Hospital Medical Center (OHCM)","OHCM","TX1","IN",45229,"african_american_allc2",37.5
"15","Children's Hospital Medical Center (OHCM)","OHCM","TX1","IN",45229,"hispanic_latino_allc2",0
"16","Children's Hospital Medical Center (OHCM)","OHCM","TX1","IN",45229,"white_allc2",62.5
"17","Children's Hospital Medical Center (OHCM)","OHCM","TX1","IN",45229,"race_other_allc2",0
"18","Children's Hospital Medical Center (OHCM)","OHCM","TX1","IN",45229,"race_unknown_allc2",0
"19","Duke University Hospital (NCDU)","NCDU","TX1","IN",27710,"asian_allc2",0
"20","Duke University Hospital (NCDU)","NCDU","TX1","IN",27710,"african_american_allc2",40
"21","Duke University Hospital (NCDU)","NCDU","TX1","IN",27710,"hispanic_latino_allc2",0
"22","Duke University Hospital (NCDU)","NCDU","TX1","IN",27710,"white_allc2",60
"23","Duke University Hospital (NCDU)","NCDU","TX1","IN",27710,"race_other_allc2",0
"24","Duke University Hospital (NCDU)","NCDU","TX1","IN",27710,"race_unknown_allc2",0
