"","entire_name","ctr_cd","ctr_ty","zipcode","age_category","age_category_percent"
"1","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_2_11_allc2",0
"2","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_12_17_allc2",0
"3","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_2_allc2",0
"4","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_18_34_allc2",7.9268292683
"5","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_35_49_allc2",25
"6","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_50_64_allc2",41.463414634
"7","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_65_69_allc2",15.243902439
"8","Abbott Northwestern Hospital (MNAN)","MNAN","TX1",55407,"age_70_allc2",10.365853659
"9","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_2_11_allc2",0
"10","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_12_17_allc2",0
"11","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_2_allc2",0
"12","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_18_34_allc2",8.4745762712
"13","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_35_49_allc2",24.576271186
"14","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_50_64_allc2",45.338983051
"15","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_65_69_allc2",14.830508475
"16","Advocate Christ Medical Center (ILCH)","ILCH","TX1",60453,"age_70_allc2",6.7796610169
"17","Albany Medical Center Hospital (NYAM)","NYAM","TX1",12208,"age_2_11_allc2",0
"18","Albany Medical Center Hospital (NYAM)","NYAM","TX1",12208,"age_12_17_allc2",5.2083333333
"19","Albany Medical Center Hospital (NYAM)","NYAM","TX1",12208,"age_2_allc2",0
"20","Albany Medical Center Hospital (NYAM)","NYAM","TX1",12208,"age_18_34_allc2",10.416666667
"21","Albany Medical Center Hospital (NYAM)","NYAM","TX1",12208,"age_35_49_allc2",21.875
