"","entire_name","ctr_cd","ctr_ty","org","zipcode","race_category","race_category_percent"
"1","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","KI",55407,"asian_allc2",19.512195122
"2","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","KI",55407,"african_american_allc2",14.024390244
"3","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","KI",55407,"hispanic_latino_allc2",1.2195121951
"4","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","KI",55407,"white_allc2",64.024390244
"5","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","KI",55407,"race_other_allc2",1.2195121951
"6","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","KI",55407,"race_unknown_allc2",0
"7","Advocate Christ Medical Center (ILCH)","ILCH","TX1","KI",60453,"asian_allc2",5.0847457627
"8","Advocate Christ Medical Center (ILCH)","ILCH","TX1","KI",60453,"african_american_allc2",47.457627119
"9","Advocate Christ Medical Center (ILCH)","ILCH","TX1","KI",60453,"hispanic_latino_allc2",18.644067797
"10","Advocate Christ Medical Center (ILCH)","ILCH","TX1","KI",60453,"white_allc2",28.813559322
"11","Advocate Christ Medical Center (ILCH)","ILCH","TX1","KI",60453,"race_other_allc2",0
"12","Advocate Christ Medical Center (ILCH)","ILCH","TX1","KI",60453,"race_unknown_allc2",0
"13","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KI",12208,"asian_allc2",3.125
"14","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KI",12208,"african_american_allc2",9.8958333333
"15","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KI",12208,"hispanic_latino_allc2",2.6041666667
"16","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KI",12208,"white_allc2",82.291666667
"17","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KI",12208,"race_other_allc2",2.0833333333
"18","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KI",12208,"race_unknown_allc2",0
"19","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KI",19141,"asian_allc2",12.710280374
"20","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KI",19141,"african_american_allc2",65.046728972
"21","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KI",19141,"hispanic_latino_allc2",8.785046729
"22","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KI",19141,"white_allc2",11.775700935
"23","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KI",19141,"race_other_allc2",1.6822429907
"24","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KI",19141,"race_unknown_allc2",0
"25","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","KI",19803,"asian_allc2",0
"26","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","KI",19803,"african_american_allc2",33.333333333
"27","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","KI",19803,"hispanic_latino_allc2",33.333333333
"28","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","KI",19803,"white_allc2",33.333333333
"29","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","KI",19803,"race_other_allc2",0
"30","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","KI",19803,"race_unknown_allc2",0
"31","Allegheny General Hospital (PAAG)","PAAG","TX1","KI",15212,"asian_allc2",1.9933554817
"32","Allegheny General Hospital (PAAG)","PAAG","TX1","KI",15212,"african_american_allc2",20.598006645
"33","Allegheny General Hospital (PAAG)","PAAG","TX1","KI",15212,"hispanic_latino_allc2",1.3289036545
"34","Allegheny General Hospital (PAAG)","PAAG","TX1","KI",15212,"white_allc2",75.747508306
"35","Allegheny General Hospital (PAAG)","PAAG","TX1","KI",15212,"race_other_allc2",0.3322259136
"36","Allegheny General Hospital (PAAG)","PAAG","TX1","KI",15212,"race_unknown_allc2",0
"37","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","KI",60611,"asian_allc2",9.5238095238
"38","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","KI",60611,"african_american_allc2",21.428571429
"39","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","KI",60611,"hispanic_latino_allc2",42.857142857
"40","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","KI",60611,"white_allc2",26.19047619
"41","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","KI",60611,"race_other_allc2",0
"42","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","KI",60611,"race_unknown_allc2",0
"43","Arkansas Children's Hospital (ARCH)","ARCH","TX1","KI",72202,"asian_allc2",0
"44","Arkansas Children's Hospital (ARCH)","ARCH","TX1","KI",72202,"african_american_allc2",0
"45","Arkansas Children's Hospital (ARCH)","ARCH","TX1","KI",72202,"hispanic_latino_allc2",0
"46","Arkansas Children's Hospital (ARCH)","ARCH","TX1","KI",72202,"white_allc2",75
"47","Arkansas Children's Hospital (ARCH)","ARCH","TX1","KI",72202,"race_other_allc2",25
"48","Arkansas Children's Hospital (ARCH)","ARCH","TX1","KI",72202,"race_unknown_allc2",0
"49","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KI",30912,"asian_allc2",1.0856453559
"50","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KI",30912,"african_american_allc2",70.687575392
"51","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KI",30912,"hispanic_latino_allc2",3.015681544
"52","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KI",30912,"white_allc2",24.487334138
"53","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KI",30912,"race_other_allc2",0.7237635706
"54","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KI",30912,"race_unknown_allc2",0
"55","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KI",53215,"asian_allc2",7.6086956522
"56","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KI",53215,"african_american_allc2",34.239130435
"57","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KI",53215,"hispanic_latino_allc2",17.934782609
"58","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KI",53215,"white_allc2",40.217391304
"59","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KI",53215,"race_other_allc2",0
"60","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KI",53215,"race_unknown_allc2",0
"61","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KI",919,"asian_allc2",0
"62","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KI",919,"african_american_allc2",0.3115264798
"63","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KI",919,"hispanic_latino_allc2",99.37694704
"64","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KI",919,"white_allc2",0.3115264798
"65","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KI",919,"race_other_allc2",0
"66","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KI",919,"race_unknown_allc2",0
"67","Avera McKennan Hospital (SDMK)","SDMK","TX1","KI",57105,"asian_allc2",3.056768559
"68","Avera McKennan Hospital (SDMK)","SDMK","TX1","KI",57105,"african_american_allc2",2.1834061135
"69","Avera McKennan Hospital (SDMK)","SDMK","TX1","KI",57105,"hispanic_latino_allc2",6.5502183406
"70","Avera McKennan Hospital (SDMK)","SDMK","TX1","KI",57105,"white_allc2",56.331877729
"71","Avera McKennan Hospital (SDMK)","SDMK","TX1","KI",57105,"race_other_allc2",31.877729258
"72","Avera McKennan Hospital (SDMK)","SDMK","TX1","KI",57105,"race_unknown_allc2",0
"73","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KI",85719,"asian_allc2",11.382113821
"74","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KI",85719,"african_american_allc2",6.5040650407
"75","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KI",85719,"hispanic_latino_allc2",41.463414634
"76","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KI",85719,"white_allc2",34.959349593
"77","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KI",85719,"race_other_allc2",5.6910569106
"78","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KI",85719,"race_unknown_allc2",0
"79","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KI",85006,"asian_allc2",5.2
"80","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KI",85006,"african_american_allc2",9.8
"81","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KI",85006,"hispanic_latino_allc2",39.6
"82","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KI",85006,"white_allc2",26.8
"83","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KI",85006,"race_other_allc2",18.6
"84","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KI",85006,"race_unknown_allc2",0
"85","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","KI",63110,"asian_allc2",3.0789825971
"86","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","KI",63110,"african_american_allc2",32.797858099
"87","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","KI",63110,"hispanic_latino_allc2",1.8741633199
"88","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","KI",63110,"white_allc2",62.115127175
"89","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","KI",63110,"race_other_allc2",0.1338688086
"90","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","KI",63110,"race_unknown_allc2",0
"91","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","KI",76104,"asian_allc2",7.5639599555
"92","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","KI",76104,"african_american_allc2",33.259176863
"93","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","KI",76104,"hispanic_latino_allc2",26.473859844
"94","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","KI",76104,"white_allc2",31.70189099
"95","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","KI",76104,"race_other_allc2",1.0011123471
"96","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","KI",76104,"race_unknown_allc2",0
"97","Baylor University Medical Center (TXTX)","TXTX","TX1","KI",75246,"asian_allc2",7.0366699703
"98","Baylor University Medical Center (TXTX)","TXTX","TX1","KI",75246,"african_american_allc2",35.084241824
"99","Baylor University Medical Center (TXTX)","TXTX","TX1","KI",75246,"hispanic_latino_allc2",23.686818632
"100","Baylor University Medical Center (TXTX)","TXTX","TX1","KI",75246,"white_allc2",33.49851338
"101","Baylor University Medical Center (TXTX)","TXTX","TX1","KI",75246,"race_other_allc2",0.6937561943
