"","entire_name","ctr_cd","ctr_ty","org","zipcode","gender_category","gender_category_percent"
"1","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","KI",55407,"female_allc2",42.682926829
"2","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","KI",55407,"male_allc2",57.317073171
"3","Advocate Christ Medical Center (ILCH)","ILCH","TX1","KI",60453,"female_allc2",30.084745763
"4","Advocate Christ Medical Center (ILCH)","ILCH","TX1","KI",60453,"male_allc2",69.915254237
"5","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KI",12208,"female_allc2",34.895833333
"6","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KI",12208,"male_allc2",65.104166667
"7","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KI",19141,"female_allc2",39.626168224
"8","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KI",19141,"male_allc2",60.373831776
"9","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","KI",19803,"female_allc2",16.666666667
"10","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","KI",19803,"male_allc2",83.333333333
"11","Allegheny General Hospital (PAAG)","PAAG","TX1","KI",15212,"female_allc2",33.554817276
"12","Allegheny General Hospital (PAAG)","PAAG","TX1","KI",15212,"male_allc2",66.445182724
"13","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","KI",60611,"female_allc2",30.952380952
"14","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","KI",60611,"male_allc2",69.047619048
"15","Arkansas Children's Hospital (ARCH)","ARCH","TX1","KI",72202,"female_allc2",0
"16","Arkansas Children's Hospital (ARCH)","ARCH","TX1","KI",72202,"male_allc2",100
"17","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KI",30912,"female_allc2",45.838359469
"18","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KI",30912,"male_allc2",54.161640531
"19","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KI",53215,"female_allc2",38.043478261
"20","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KI",53215,"male_allc2",61.956521739
"21","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KI",919,"female_allc2",40.498442368
"22","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KI",919,"male_allc2",59.501557632
"23","Avera McKennan Hospital (SDMK)","SDMK","TX1","KI",57105,"female_allc2",41.92139738
"24","Avera McKennan Hospital (SDMK)","SDMK","TX1","KI",57105,"male_allc2",58.07860262
"25","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KI",85719,"female_allc2",43.089430894
"26","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KI",85719,"male_allc2",56.910569106
