"","entire_name","ctr_cd","ctr_ty","org","zipcode","race_category","race_category_percent"
"1","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KP",12208,"asian_allc2",0
"2","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KP",12208,"african_american_allc2",14.285714286
"3","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KP",12208,"hispanic_latino_allc2",0
"4","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KP",12208,"white_allc2",85.714285714
"5","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KP",12208,"race_other_allc2",0
"6","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KP",12208,"race_unknown_allc2",0
"7","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KP",19141,"asian_allc2",0
"8","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KP",19141,"african_american_allc2",66.666666667
"9","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KP",19141,"hispanic_latino_allc2",13.333333333
"10","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KP",19141,"white_allc2",13.333333333
"11","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KP",19141,"race_other_allc2",6.6666666667
"12","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KP",19141,"race_unknown_allc2",0
"13","Allegheny General Hospital (PAAG)","PAAG","TX1","KP",15212,"asian_allc2",0
"14","Allegheny General Hospital (PAAG)","PAAG","TX1","KP",15212,"african_american_allc2",0
"15","Allegheny General Hospital (PAAG)","PAAG","TX1","KP",15212,"hispanic_latino_allc2",0
"16","Allegheny General Hospital (PAAG)","PAAG","TX1","KP",15212,"white_allc2",100
"17","Allegheny General Hospital (PAAG)","PAAG","TX1","KP",15212,"race_other_allc2",0
"18","Allegheny General Hospital (PAAG)","PAAG","TX1","KP",15212,"race_unknown_allc2",0
"19","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KP",30912,"asian_allc2",0
"20","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KP",30912,"african_american_allc2",54.545454545
"21","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KP",30912,"hispanic_latino_allc2",0
"22","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KP",30912,"white_allc2",45.454545455
"23","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KP",30912,"race_other_allc2",0
"24","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KP",30912,"race_unknown_allc2",0
"25","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KP",53215,"asian_allc2",0
"26","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KP",53215,"african_american_allc2",16.666666667
"27","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KP",53215,"hispanic_latino_allc2",0
"28","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KP",53215,"white_allc2",66.666666667
"29","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KP",53215,"race_other_allc2",16.666666667
"30","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KP",53215,"race_unknown_allc2",0
"31","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KP",919,"asian_allc2",0
"32","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KP",919,"african_american_allc2",0
"33","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KP",919,"hispanic_latino_allc2",100
"34","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KP",919,"white_allc2",0
"35","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KP",919,"race_other_allc2",0
"36","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KP",919,"race_unknown_allc2",0
"37","Avera McKennan Hospital (SDMK)","SDMK","TX1","KP",57105,"asian_allc2",14.285714286
"38","Avera McKennan Hospital (SDMK)","SDMK","TX1","KP",57105,"african_american_allc2",0
"39","Avera McKennan Hospital (SDMK)","SDMK","TX1","KP",57105,"hispanic_latino_allc2",0
"40","Avera McKennan Hospital (SDMK)","SDMK","TX1","KP",57105,"white_allc2",57.142857143
"41","Avera McKennan Hospital (SDMK)","SDMK","TX1","KP",57105,"race_other_allc2",28.571428571
"42","Avera McKennan Hospital (SDMK)","SDMK","TX1","KP",57105,"race_unknown_allc2",0
"43","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KP",85719,"asian_allc2",0
"44","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KP",85719,"african_american_allc2",0
"45","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KP",85719,"hispanic_latino_allc2",0
"46","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KP",85719,"white_allc2",100
"47","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KP",85719,"race_other_allc2",0
"48","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KP",85719,"race_unknown_allc2",0
"49","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KP",85006,"asian_allc2",0
"50","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KP",85006,"african_american_allc2",25
"51","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KP",85006,"hispanic_latino_allc2",50
"52","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KP",85006,"white_allc2",25
"53","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KP",85006,"race_other_allc2",0
