"","entire_name","ctr_cd","ctr_ty","org","zipcode","gender_category","gender_category_percent"
"1","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KP",12208,"female_allc2",14.285714286
"2","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KP",12208,"male_allc2",85.714285714
"3","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KP",19141,"female_allc2",33.333333333
"4","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KP",19141,"male_allc2",66.666666667
"5","Allegheny General Hospital (PAAG)","PAAG","TX1","KP",15212,"female_allc2",0
"6","Allegheny General Hospital (PAAG)","PAAG","TX1","KP",15212,"male_allc2",100
"7","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KP",30912,"female_allc2",81.818181818
"8","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KP",30912,"male_allc2",18.181818182
"9","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KP",53215,"female_allc2",33.333333333
"10","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KP",53215,"male_allc2",66.666666667
"11","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KP",919,"female_allc2",25
"12","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KP",919,"male_allc2",75
"13","Avera McKennan Hospital (SDMK)","SDMK","TX1","KP",57105,"female_allc2",14.285714286
"14","Avera McKennan Hospital (SDMK)","SDMK","TX1","KP",57105,"male_allc2",85.714285714
"15","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KP",85719,"female_allc2",100
"16","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KP",85719,"male_allc2",0
"17","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KP",85006,"female_allc2",50
"18","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KP",85006,"male_allc2",50
"19","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","KP",63110,"female_allc2",28.571428571
"20","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","KP",63110,"male_allc2",71.428571429
"21","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","KP",76104,"female_allc2",36.842105263
"22","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","KP",76104,"male_allc2",63.157894737
"23","Baylor University Medical Center (TXTX)","TXTX","TX1","KP",75246,"female_allc2",35.294117647
"24","Baylor University Medical Center (TXTX)","TXTX","TX1","KP",75246,"male_allc2",64.705882353
"25","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","KP",2215,"female_allc2",48.275862069
"26","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","KP",2215,"male_allc2",51.724137931
"27","Brigham and Women's Hospital (MAPB)","MAPB","TX1","KP",2115,"female_allc2",30
"28","Brigham and Women's Hospital (MAPB)","MAPB","TX1","KP",2115,"male_allc2",70
"29","California Pacific Medical Center (CAPM)","CAPM","TX1","KP",94114,"female_allc2",48
"30","California Pacific Medical Center (CAPM)","CAPM","TX1","KP",94114,"male_allc2",52
"31","Carolinas Medical Center (NCCM)","NCCM","TX1","KP",28203,"female_allc2",66.666666667
"32","Carolinas Medical Center (NCCM)","NCCM","TX1","KP",28203,"male_allc2",33.333333333
"33","Cedars-Sinai Medical Center (CACS)","CACS","TX1","KP",90211,"female_allc2",57.142857143
"34","Cedars-Sinai Medical Center (CACS)","CACS","TX1","KP",90211,"male_allc2",42.857142857
