"","entire_name","ctr_cd","ctr_ty","org","zipcode","age_category","age_category_percent"
"1","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"age_2_11_allc2",0
"2","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"age_12_17_allc2",0
"3","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"age_2_allc2",0
"4","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"age_18_34_allc2",2.7027027027
"5","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"age_35_49_allc2",16.216216216
"6","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"age_50_64_allc2",54.054054054
"7","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"age_65_69_allc2",24.324324324
"8","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"age_70_allc2",2.7027027027
"9","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"age_2_11_allc2",14.285714286
"10","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"age_12_17_allc2",14.285714286
"11","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"age_2_allc2",71.428571429
"12","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"age_18_34_allc2",0
"13","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"age_35_49_allc2",0
"14","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"age_50_64_allc2",0
"15","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"age_65_69_allc2",0
"16","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"age_70_allc2",0
"17","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"age_2_11_allc2",0
"18","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"age_12_17_allc2",0
"19","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"age_2_allc2",0
"20","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"age_18_34_allc2",2.7027027027
"21","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"age_35_49_allc2",13.513513514
"22","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"age_50_64_allc2",62.162162162
"23","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"age_65_69_allc2",21.621621622
"24","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"age_70_allc2",0
"25","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"age_2_11_allc2",0
"26","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"age_12_17_allc2",66.666666667
"27","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"age_2_allc2",33.333333333
"28","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"age_18_34_allc2",0
"29","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"age_35_49_allc2",0
"30","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"age_50_64_allc2",0
"31","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"age_65_69_allc2",0
"32","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"age_70_allc2",0
"33","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"age_2_11_allc2",0
"34","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"age_12_17_allc2",0
"35","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"age_2_allc2",0
"36","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"age_18_34_allc2",0
"37","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"age_35_49_allc2",24.528301887
"38","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"age_50_64_allc2",58.490566038
"39","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"age_65_69_allc2",16.981132075
"40","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"age_70_allc2",0
"41","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"age_2_11_allc2",0
"42","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"age_12_17_allc2",0
"43","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"age_2_allc2",0
"44","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"age_18_34_allc2",5.8823529412
"45","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"age_35_49_allc2",29.411764706
"46","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"age_50_64_allc2",41.176470588
"47","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"age_65_69_allc2",23.529411765
"48","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"age_70_allc2",0
"49","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"age_2_11_allc2",0
"50","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"age_12_17_allc2",0
"51","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"age_2_allc2",0
"52","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"age_18_34_allc2",2.380952381
"53","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"age_35_49_allc2",26.19047619
"54","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"age_50_64_allc2",52.380952381
"55","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"age_65_69_allc2",14.285714286
"56","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"age_70_allc2",4.7619047619
"57","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"age_2_11_allc2",0
"58","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"age_12_17_allc2",0
"59","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"age_2_allc2",0
"60","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"age_18_34_allc2",0
"61","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"age_35_49_allc2",9.0909090909
"62","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"age_50_64_allc2",72.727272727
"63","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"age_65_69_allc2",18.181818182
"64","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"age_70_allc2",0
"65","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"age_2_11_allc2",0
"66","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"age_12_17_allc2",0
"67","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"age_2_allc2",0
"68","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"age_18_34_allc2",0
"69","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"age_35_49_allc2",17.24137931
"70","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"age_50_64_allc2",62.068965517
"71","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"age_65_69_allc2",17.24137931
"72","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"age_70_allc2",3.4482758621
"73","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LI",63110,"age_2_11_allc2",0
"74","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LI",63110,"age_12_17_allc2",0
"75","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LI",63110,"age_2_allc2",0
"76","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LI",63110,"age_18_34_allc2",15.217391304
"77","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LI",63110,"age_35_49_allc2",6.5217391304
"78","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LI",63110,"age_50_64_allc2",47.826086957
"79","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LI",63110,"age_65_69_allc2",21.739130435
"80","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LI",63110,"age_70_allc2",8.6956521739
"81","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","LI",76104,"age_2_11_allc2",0
"82","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","LI",76104,"age_12_17_allc2",0
"83","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","LI",76104,"age_2_allc2",0
"84","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","LI",76104,"age_18_34_allc2",1.7543859649
"85","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","LI",76104,"age_35_49_allc2",22.807017544
"86","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","LI",76104,"age_50_64_allc2",63.157894737
"87","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","LI",76104,"age_65_69_allc2",10.526315789
"88","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","LI",76104,"age_70_allc2",1.7543859649
"89","Baylor University Medical Center (TXTX)","TXTX","TX1","LI",75246,"age_2_11_allc2",0
"90","Baylor University Medical Center (TXTX)","TXTX","TX1","LI",75246,"age_12_17_allc2",0
"91","Baylor University Medical Center (TXTX)","TXTX","TX1","LI",75246,"age_2_allc2",0
"92","Baylor University Medical Center (TXTX)","TXTX","TX1","LI",75246,"age_18_34_allc2",1.8518518519
"93","Baylor University Medical Center (TXTX)","TXTX","TX1","LI",75246,"age_35_49_allc2",20.37037037
"94","Baylor University Medical Center (TXTX)","TXTX","TX1","LI",75246,"age_50_64_allc2",62.962962963
"95","Baylor University Medical Center (TXTX)","TXTX","TX1","LI",75246,"age_65_69_allc2",12.962962963
"96","Baylor University Medical Center (TXTX)","TXTX","TX1","LI",75246,"age_70_allc2",1.8518518519
"97","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","LI",2215,"age_2_11_allc2",0
"98","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","LI",2215,"age_12_17_allc2",0
"99","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","LI",2215,"age_2_allc2",0
"100","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","LI",2215,"age_18_34_allc2",7.3770491803
"101","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","LI",2215,"age_35_49_allc2",15.573770492
"102","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","LI",2215,"age_50_64_allc2",61.475409836
"103","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","LI",2215,"age_65_69_allc2",13.93442623
"104","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","LI",2215,"age_70_allc2",1.6393442623
"105","Boston Children's Hospital (MACH)","MACH","TX1","LI",2115,"age_2_11_allc2",22.222222222
"106","Boston Children's Hospital (MACH)","MACH","TX1","LI",2115,"age_12_17_allc2",44.444444444
"107","Boston Children's Hospital (MACH)","MACH","TX1","LI",2115,"age_2_allc2",33.333333333
"108","Boston Children's Hospital (MACH)","MACH","TX1","LI",2115,"age_18_34_allc2",0
"109","Boston Children's Hospital (MACH)","MACH","TX1","LI",2115,"age_35_49_allc2",0
"110","Boston Children's Hospital (MACH)","MACH","TX1","LI",2115,"age_50_64_allc2",0
"111","Boston Children's Hospital (MACH)","MACH","TX1","LI",2115,"age_65_69_allc2",0
"112","Boston Children's Hospital (MACH)","MACH","TX1","LI",2115,"age_70_allc2",0
"113","California Pacific Medical Center (CAPM)","CAPM","TX1","LI",94114,"age_2_11_allc2",0
"114","California Pacific Medical Center (CAPM)","CAPM","TX1","LI",94114,"age_12_17_allc2",0
"115","California Pacific Medical Center (CAPM)","CAPM","TX1","LI",94114,"age_2_allc2",0
"116","California Pacific Medical Center (CAPM)","CAPM","TX1","LI",94114,"age_18_34_allc2",4.4642857143
"117","California Pacific Medical Center (CAPM)","CAPM","TX1","LI",94114,"age_35_49_allc2",23.660714286
"118","California Pacific Medical Center (CAPM)","CAPM","TX1","LI",94114,"age_50_64_allc2",57.142857143
"119","California Pacific Medical Center (CAPM)","CAPM","TX1","LI",94114,"age_65_69_allc2",12.053571429
"120","California Pacific Medical Center (CAPM)","CAPM","TX1","LI",94114,"age_70_allc2",2.6785714286
"121","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","LI",63104,"age_2_11_allc2",33.333333333
"122","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","LI",63104,"age_12_17_allc2",0
"123","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","LI",63104,"age_2_allc2",66.666666667
"124","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","LI",63104,"age_18_34_allc2",0
"125","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","LI",63104,"age_35_49_allc2",0
"126","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","LI",63104,"age_50_64_allc2",0
"127","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","LI",63104,"age_65_69_allc2",0
"128","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","LI",63104,"age_70_allc2",0
"129","Carolinas Medical Center (NCCM)","NCCM","TX1","LI",28203,"age_2_11_allc2",0.9523809524
"130","Carolinas Medical Center (NCCM)","NCCM","TX1","LI",28203,"age_12_17_allc2",0
"131","Carolinas Medical Center (NCCM)","NCCM","TX1","LI",28203,"age_2_allc2",0
"132","Carolinas Medical Center (NCCM)","NCCM","TX1","LI",28203,"age_18_34_allc2",4.7619047619
"133","Carolinas Medical Center (NCCM)","NCCM","TX1","LI",28203,"age_35_49_allc2",26.666666667
"134","Carolinas Medical Center (NCCM)","NCCM","TX1","LI",28203,"age_50_64_allc2",47.619047619
"135","Carolinas Medical Center (NCCM)","NCCM","TX1","LI",28203,"age_65_69_allc2",16.19047619
"136","Carolinas Medical Center (NCCM)","NCCM","TX1","LI",28203,"age_70_allc2",3.8095238095
"137","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LI",90211,"age_2_11_allc2",0
"138","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LI",90211,"age_12_17_allc2",0
"139","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LI",90211,"age_2_allc2",0
"140","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LI",90211,"age_18_34_allc2",3.2786885246
"141","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LI",90211,"age_35_49_allc2",22.950819672
"142","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LI",90211,"age_50_64_allc2",51.639344262
"143","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LI",90211,"age_65_69_allc2",13.114754098
"144","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LI",90211,"age_70_allc2",9.0163934426
"145","Centura Porter Adventist Hospital (COPM)","COPM","TX1","LI",80210,"age_2_11_allc2",0
"146","Centura Porter Adventist Hospital (COPM)","COPM","TX1","LI",80210,"age_12_17_allc2",0
"147","Centura Porter Adventist Hospital (COPM)","COPM","TX1","LI",80210,"age_2_allc2",0
"148","Centura Porter Adventist Hospital (COPM)","COPM","TX1","LI",80210,"age_18_34_allc2",15.384615385
"149","Centura Porter Adventist Hospital (COPM)","COPM","TX1","LI",80210,"age_35_49_allc2",7.6923076923
"150","Centura Porter Adventist Hospital (COPM)","COPM","TX1","LI",80210,"age_50_64_allc2",69.230769231
"151","Centura Porter Adventist Hospital (COPM)","COPM","TX1","LI",80210,"age_65_69_allc2",7.6923076923
"152","Centura Porter Adventist Hospital (COPM)","COPM","TX1","LI",80210,"age_70_allc2",0
"153","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LI",77030,"age_2_11_allc2",0
"154","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LI",77030,"age_12_17_allc2",0.4347826087
"155","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LI",77030,"age_2_allc2",0
"156","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LI",77030,"age_18_34_allc2",9.1304347826
"157","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LI",77030,"age_35_49_allc2",23.47826087
"158","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LI",77030,"age_50_64_allc2",52.608695652
"159","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LI",77030,"age_65_69_allc2",11.739130435
"160","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LI",77030,"age_70_allc2",2.6086956522
"161","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","LI",30322,"age_2_11_allc2",14.285714286
"162","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","LI",30322,"age_12_17_allc2",28.571428571
"163","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","LI",30322,"age_2_allc2",42.857142857
"164","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","LI",30322,"age_18_34_allc2",14.285714286
"165","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","LI",30322,"age_35_49_allc2",0
"166","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","LI",30322,"age_50_64_allc2",0
"167","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","LI",30322,"age_65_69_allc2",0
"168","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","LI",30322,"age_70_allc2",0
"169","Children's Hospital Colorado (COCH)","COCH","TX1","LI",80045,"age_2_11_allc2",50
"170","Children's Hospital Colorado (COCH)","COCH","TX1","LI",80045,"age_12_17_allc2",0
"171","Children's Hospital Colorado (COCH)","COCH","TX1","LI",80045,"age_2_allc2",50
"172","Children's Hospital Colorado (COCH)","COCH","TX1","LI",80045,"age_18_34_allc2",0
"173","Children's Hospital Colorado (COCH)","COCH","TX1","LI",80045,"age_35_49_allc2",0
"174","Children's Hospital Colorado (COCH)","COCH","TX1","LI",80045,"age_50_64_allc2",0
"175","Children's Hospital Colorado (COCH)","COCH","TX1","LI",80045,"age_65_69_allc2",0
"176","Children's Hospital Colorado (COCH)","COCH","TX1","LI",80045,"age_70_allc2",0
"177","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LI",45229,"age_2_11_allc2",13.793103448
"178","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LI",45229,"age_12_17_allc2",51.724137931
"179","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LI",45229,"age_2_allc2",24.137931034
"180","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LI",45229,"age_18_34_allc2",10.344827586
"181","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LI",45229,"age_35_49_allc2",0
"182","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LI",45229,"age_50_64_allc2",0
"183","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LI",45229,"age_65_69_allc2",0
"184","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LI",45229,"age_70_allc2",0
"185","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LI",19104,"age_2_11_allc2",25
"186","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LI",19104,"age_12_17_allc2",25
"187","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LI",19104,"age_2_allc2",50
"188","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LI",19104,"age_18_34_allc2",0
"189","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LI",19104,"age_35_49_allc2",0
"190","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LI",19104,"age_50_64_allc2",0
"191","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LI",19104,"age_65_69_allc2",0
"192","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LI",19104,"age_70_allc2",0
"193","Children's Hospital of Wisconsin (WICH)","WICH","TX1","LI",53226,"age_2_11_allc2",17.647058824
"194","Children's Hospital of Wisconsin (WICH)","WICH","TX1","LI",53226,"age_12_17_allc2",29.411764706
"195","Children's Hospital of Wisconsin (WICH)","WICH","TX1","LI",53226,"age_2_allc2",29.411764706
"196","Children's Hospital of Wisconsin (WICH)","WICH","TX1","LI",53226,"age_18_34_allc2",23.529411765
"197","Children's Hospital of Wisconsin (WICH)","WICH","TX1","LI",53226,"age_35_49_allc2",0
"198","Children's Hospital of Wisconsin (WICH)","WICH","TX1","LI",53226,"age_50_64_allc2",0
"199","Children's Hospital of Wisconsin (WICH)","WICH","TX1","LI",53226,"age_65_69_allc2",0
"200","Children's Hospital of Wisconsin (WICH)","WICH","TX1","LI",53226,"age_70_allc2",0
"201","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","LI",75235,"age_2_11_allc2",17.24137931
"202","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","LI",75235,"age_12_17_allc2",20.689655172
"203","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","LI",75235,"age_2_allc2",58.620689655
"204","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","LI",75235,"age_18_34_allc2",3.4482758621
"205","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","LI",75235,"age_35_49_allc2",0
"206","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","LI",75235,"age_50_64_allc2",0
"207","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","LI",75235,"age_65_69_allc2",0
"208","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","LI",75235,"age_70_allc2",0
"209","Children's Mercy Hospital (MOCM)","MOCM","TX1","LI",64108,"age_2_11_allc2",50
"210","Children's Mercy Hospital (MOCM)","MOCM","TX1","LI",64108,"age_12_17_allc2",50
"211","Children's Mercy Hospital (MOCM)","MOCM","TX1","LI",64108,"age_2_allc2",0
"212","Children's Mercy Hospital (MOCM)","MOCM","TX1","LI",64108,"age_18_34_allc2",0
"213","Children's Mercy Hospital (MOCM)","MOCM","TX1","LI",64108,"age_35_49_allc2",0
"214","Children's Mercy Hospital (MOCM)","MOCM","TX1","LI",64108,"age_50_64_allc2",0
"215","Children's Mercy Hospital (MOCM)","MOCM","TX1","LI",64108,"age_65_69_allc2",0
"216","Children's Mercy Hospital (MOCM)","MOCM","TX1","LI",64108,"age_70_allc2",0
"217","Children's of Alabama (ALCH)","ALCH","TX1","LI",35233,"age_2_11_allc2",75
"218","Children's of Alabama (ALCH)","ALCH","TX1","LI",35233,"age_12_17_allc2",0
"219","Children's of Alabama (ALCH)","ALCH","TX1","LI",35233,"age_2_allc2",25
"220","Children's of Alabama (ALCH)","ALCH","TX1","LI",35233,"age_18_34_allc2",0
"221","Children's of Alabama (ALCH)","ALCH","TX1","LI",35233,"age_35_49_allc2",0
"222","Children's of Alabama (ALCH)","ALCH","TX1","LI",35233,"age_50_64_allc2",0
"223","Children's of Alabama (ALCH)","ALCH","TX1","LI",35233,"age_65_69_allc2",0
"224","Children's of Alabama (ALCH)","ALCH","TX1","LI",35233,"age_70_allc2",0
"225","Childrens Hospital Los Angeles (CACL)","CACL","TX1","LI",90027,"age_2_11_allc2",52.631578947
"226","Childrens Hospital Los Angeles (CACL)","CACL","TX1","LI",90027,"age_12_17_allc2",21.052631579
"227","Childrens Hospital Los Angeles (CACL)","CACL","TX1","LI",90027,"age_2_allc2",26.315789474
"228","Childrens Hospital Los Angeles (CACL)","CACL","TX1","LI",90027,"age_18_34_allc2",0
"229","Childrens Hospital Los Angeles (CACL)","CACL","TX1","LI",90027,"age_35_49_allc2",0
"230","Childrens Hospital Los Angeles (CACL)","CACL","TX1","LI",90027,"age_50_64_allc2",0
"231","Childrens Hospital Los Angeles (CACL)","CACL","TX1","LI",90027,"age_65_69_allc2",0
"232","Childrens Hospital Los Angeles (CACL)","CACL","TX1","LI",90027,"age_70_allc2",0
"233","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","LI",33331,"age_2_11_allc2",0
"234","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","LI",33331,"age_12_17_allc2",0
"235","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","LI",33331,"age_2_allc2",0
"236","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","LI",33331,"age_18_34_allc2",4.1666666667
"237","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","LI",33331,"age_35_49_allc2",8.3333333333
"238","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","LI",33331,"age_50_64_allc2",64.583333333
"239","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","LI",33331,"age_65_69_allc2",20.833333333
"240","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","LI",33331,"age_70_allc2",2.0833333333
"241","Duke University Hospital (NCDU)","NCDU","TX1","LI",27710,"age_2_11_allc2",4.1666666667
"242","Duke University Hospital (NCDU)","NCDU","TX1","LI",27710,"age_12_17_allc2",6.25
"243","Duke University Hospital (NCDU)","NCDU","TX1","LI",27710,"age_2_allc2",2.0833333333
"244","Duke University Hospital (NCDU)","NCDU","TX1","LI",27710,"age_18_34_allc2",2.0833333333
"245","Duke University Hospital (NCDU)","NCDU","TX1","LI",27710,"age_35_49_allc2",4.1666666667
"246","Duke University Hospital (NCDU)","NCDU","TX1","LI",27710,"age_50_64_allc2",47.916666667
"247","Duke University Hospital (NCDU)","NCDU","TX1","LI",27710,"age_65_69_allc2",27.083333333
"248","Duke University Hospital (NCDU)","NCDU","TX1","LI",27710,"age_70_allc2",6.25
"249","Emory University Hospital (GAEM)","GAEM","TX1","LI",30322,"age_2_11_allc2",0
"250","Emory University Hospital (GAEM)","GAEM","TX1","LI",30322,"age_12_17_allc2",0
"251","Emory University Hospital (GAEM)","GAEM","TX1","LI",30322,"age_2_allc2",0
