"","entire_name","ctr_cd","ctr_ty","org","zipcode","blood_type_category","blood_type_category_percent"
"1","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"blood_type_ab_allc2",0
"2","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"blood_type_a_allc2",40.540540541
"3","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"blood_type_b_allc2",13.513513514
"4","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"blood_type_o_allc2",45.945945946
"5","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"blood_type_unknown_allc2",0
"6","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"blood_type_ab_allc2",0
"7","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"blood_type_a_allc2",28.571428571
"8","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"blood_type_b_allc2",0
"9","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"blood_type_o_allc2",71.428571429
"10","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"blood_type_unknown_allc2",0
"11","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"blood_type_ab_allc2",2.7027027027
"12","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"blood_type_a_allc2",43.243243243
"13","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"blood_type_b_allc2",8.1081081081
"14","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"blood_type_o_allc2",45.945945946
"15","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"blood_type_unknown_allc2",0
"16","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"blood_type_ab_allc2",0
"17","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"blood_type_a_allc2",33.333333333
"18","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"blood_type_b_allc2",66.666666667
"19","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"blood_type_o_allc2",0
"20","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"blood_type_unknown_allc2",0
"21","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"blood_type_ab_allc2",1.8867924528
"22","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"blood_type_a_allc2",43.396226415
"23","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"blood_type_b_allc2",11.320754717
"24","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"blood_type_o_allc2",43.396226415
"25","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"blood_type_unknown_allc2",0
"26","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"blood_type_ab_allc2",0
"27","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"blood_type_a_allc2",52.941176471
"28","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"blood_type_b_allc2",5.8823529412
"29","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"blood_type_o_allc2",41.176470588
"30","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"blood_type_unknown_allc2",0
"31","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"blood_type_ab_allc2",0
"32","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"blood_type_a_allc2",47.619047619
