"","entire_name","ctr_cd","ctr_ty","release_date","org","newlistings_center_time1","newlistings_center_time2","newlistings_center_all","newlistings_regional","newlistings_usa","endlistings_center_time1","endlistings_center_time2","endlistings_center_all","endlistings_regional","endlistings_usa","deteriorated_center_time1","deteriorated_center_time2","deteriorated_center_all","deteriorated_regional","deteriorated_usa","died_center_time1","died_center_time2","died_center_all","died_regional","died_usa","other_center_time1","other_center_time2","other_center_all","other_regional","other_usa","recovered_center_time1","recovered_center_time2","recovered_center_all","recovered_regional","recovered_usa","transfer_center_time1","transfer_center_time2","transfer_center_all","transfer_regional","transfer_usa","deceased_donor_center_time1","deceased_donor_center_time2","deceased_donor_center_all","deceased_donor_regional","deceased_donor_usa","living_donor_center_time1","living_donor_center_time2","living_donor_center_all","living_donor_regional","living_donor_usa","transplant_other_center_time1","transplant_other_center_time2","transplant_other_center_all","transplant_other_regional","transplant_other_center_usa","start_waitlist_center_time1","start_waitlist_center_time2","start_waitlist_center_all","start_waitlist_regional","start_waitlist_usa","newlistings_percent_mortality","newlistings_percent_deteriorated","newlistings_percent_transfer","newlistings_percent_living_donor","newlistings_percent_deceased_donor","newlistings_percent_recovered","living_deceased_graft_ratio","zipcode","lat","lng","center_type_na","release_date_na","organ_na","age_2_11_allc2","age_2_11_newc2","age_12_17_allc2","age_12_17_newc2","age_2_allc2","age_2_newc2","age_18_34_allc2","age_18_34_newc2","age_35_49_allc2","age_35_49_newc2","age_50_64_allc2","age_50_64_newc2","age_65_69_allc2","age_65_69_newc2","age_70_allc2","age_70_newc2","all_allc2","all_newc2","blood_type_ab_allc2","blood_type_ab_newc2","blood_type_a_allc2","blood_type_a_newc2","blood_type_b_allc2","blood_type_b_newc2","blood_type_o_allc2","blood_type_o_newc2","blood_type_unknown_allc2","blood_type_unknown_newc2","female_allc2","female_newc2","male_allc2","male_newc2","gender_unknown_allc2","gender_unknown_newc2","cardiomyopathy_allc2","cardiomyopathy_newc2","congenital_heart_disease_allc2","congenital_heart_disease_newc2","coronary_artery_disease_allc2","coronary_artery_disease_newc2","primary_disease_missing_allc2","primary_disease_missing_newc2","primary_disease_other_allc2","primary_disease_other_newc2","retransplant_graft_failure_allc2","retransplant_graft_failure_newc2","valvular_heart_disease_allc2","valvular_heart_disease_newc2","functional_bowel_problem_allc2","functional_bowel_problem_newc2","primary_disease_missing_allc2_2","primary_disease_missing_newc2_2","primary_disease_other_allc2_2","primary_disease_other_newc2_2","retransplant_graft_failure_allc2_2","retransplant_graft_failure_newc2_2","short_gut_syndrome_allc2","short_gut_syndrome_newc2","diabetes_allc2","diabetes_newc2","glomerular_diseases_allc2","glomerular_diseases_newc2","hypertensive_nephrosclerosis_allc2","hypertensive_nephrosclerosis_newc2","primary_disease_missing_allc2_3","primary_disease_missing_newc2_3","neoplasms_allc2","neoplasms_newc2","primary_disease_other_allc2_3","primary_disease_other_newc2_3","polycystic_kidneys_allc2","polycystic_kidneys_newc2","renovascular_vascular_diseases_allc2","renovascular_vascular_diseases_newc2","retransplant_graft_failure_allc2_3","retransplant_graft_failure_newc2_3","tubular_and_interstitial_diseases_allc2","tubular_and_interstitial_diseases_newc2","acute_hepatic_necrosis_allc2","acute_hepatic_necrosis_newc2","biliary_atresia_allc2","biliary_atresia_newc2","cholestatic_liver_disease_cirrhosis_allc2","cholestatic_liver_disease_cirrhosis_newc2","malignant_neoplasms_allc2","malignant_neoplasms_newc2","metabolic_diseases_allc2","metabolic_diseases_newc2","primary_disease_missing_allc2_4","primary_disease_missing_newc2_4","non_cholestatic_cirrhosis_allc2","non_cholestatic_cirrhosis_newc2","primary_disease_other_allc2_4","primary_disease_other_newc2_4","congenital_disease_allc2","congenital_disease_newc2","cystic_fibrosis_allc2","cystic_fibrosis_newc2","emphysema_copd_allc2","emphysema_copd_newc2","idiopathic_pulmonary_fibrosis_allc2","idiopathic_pulmonary_fibrosis_newc2","primary_disease_missing_allc2_5","primary_disease_missing_newc2_5","primary_disease_other_allc2_5","primary_disease_other_newc2_5","idiopathic_pulmonary_arterial_hypertension_allc2","idiopathic_pulmonary_arterial_hypertension_newc2","retransplant_graft_failure_allc2_4","retransplant_graft_failure_newc2_4","meld_11_14_allc2","meld_11_14_newc2","meld_15_20_allc2","meld_15_20_newc2","meld_21_30_allc2","meld_21_30_newc2","meld_31_40_allc2","meld_31_40_newc2","meld_6_10_allc2","meld_6_10_newc2","on_waitlist_allc2","on_waitlist_newc2","peld_11_14_allc2","peld_11_14_newc2","peld_15_20_allc2","peld_15_20_newc2","peld_21_30_allc2","peld_21_30_newc2","peld_31_allc2","peld_31_newc2","peld_10_allc2","peld_10_newc2","pra_10_79_allc2","pra_10_79_newc2","pra_80_allc2","pra_80_newc2","pra_0_9_allc2","pra_0_9_newc2","pra_unknown_allc2","pra_unknown_newc2","previous_tx_no_allc2","previous_tx_no_newc2","previous_tx_unknown_allc2","previous_tx_unknown_newc2","previous_tx_yes_allc2","previous_tx_yes_newc2","diabetes_onset_20_years_allc2","diabetes_onset_20_years_newc2","diabetes_onset_20_25_allc2","diabetes_onset_20_25_newc2","diabetes_onset_25_30_allc2","diabetes_onset_25_30_newc2","diabetes_onset_30_allc2","diabetes_onset_30_newc2","diabetes_onset_unknown_allc2","diabetes_onset_unknown_newc2","asian_allc2","asian_newc2","african_american_allc2","african_american_newc2","hispanic_latino_allc2","hispanic_latino_newc2","race_other_allc2","race_other_newc2","race_unknown_allc2","race_unknown_newc2","white_allc2","white_newc2","status_1a_allc2","status_1a_newc2","status_1b_allc2","status_1b_newc2","old_status_1_allc2","old_status_1_newc2","status_2a_allc2","status_2a_newc2","status_2b_allc2","status_2b_newc2","status_2_allc2","status_2_newc2","status_3_allc2","status_3_newc2","temporarily_inactive_allc2","temporarily_inactive_newc2","congenital_familial_metabolic_allc2","congenital_familial_metabolic_newc2"
"1","Albert Einstein Medical Center (PAAE)","PAAE","TX1",44046.7916666667,"LI",97,100,238.0952381,82.729211087,98.666178087,42,37,88.095238095,94.669509595,95.536826676,13,11,26.19047619,6.7697228145,8.8164162697,2,4,9.5238095238,9.6481876333,8.8750458043,7,7,16.666666667,8.4754797441,9.1095639428,10,9,21.428571429,4.3710021322,7.1601319165,1,2,4.7619047619,1.9189765458,1.1506046171,64,72,171.42857143,46.961620469,61.355807988,0,0,0,7.7825159915,3.8402345181,0,0,0,2.132196162,2.821546354,42,42,100,100,100,3.999999999916,10.99999999958,1.999999999958,0,71.99999999916,9,0,19141,40.04,-75.15,"TX1","44046.791666666664","LI","0","0","0","0","0","0","2.7027027027","9","16.216216216","18","54.054054054","56","24.324324324","11","2.7027027027","6","100","100","0","4","40.540540541","39","13.513513514","17","45.945945946","40","0","0","32.432432432","29","67.567567568","71","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.4054054054","12","0","0","16.216216216","6","18.918918919","7","0","1","0","0","59.459459459","73","0","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21.621621622","7","32.432432432","19","8.1081081081","23","8.1081081081","31","8.1081081081","4","37","100","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","94.594594595","97","0","0","5.4054054054","3","-","-","-","-","-","-","-","-","-","-","0","2","8.1081081081","7","8.1081081081","9","0","0","0","0","83.783783784","82","0","6","0","0","0","0","0","0","0","0","-","-","0","0","21.621621622","10","-","-"
"2","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1",44046.7916666667,"LI",6,7,116.66666667,82.729211087,98.666178087,6,7,116.66666667,94.669509595,95.536826676,0,0,0,6.7697228145,8.8164162697,0,0,0,9.6481876333,8.8750458043,0,0,0,8.4754797441,9.1095639428,3,0,0,4.3710021322,7.1601319165,0,0,0,1.9189765458,1.1506046171,2,5,83.333333333,46.961620469,61.355807988,0,1,16.666666667,7.7825159915,3.8402345181,0,0,0,2.132196162,2.821546354,5,6,100,100,100,0,0,0,14.2857142855918,71.4285714262449,0,0.2000000000048,19803,39.8,-75.53,"TX1","44046.791666666664","LI","14.285714286","28.571428571","14.285714286","0","71.428571429","71.428571429","0","0","0","0","0","0","0","0","0","0","100","100","0","0","28.571428571","42.857142857","0","14.285714286","71.428571429","42.857142857","0","0","14.285714286","57.142857143","85.714285714","42.857142857","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","14.285714286","85.714285714","28.571428571","0","0","0","28.571428571","0","0","0","0","14.285714286","14.285714286","0","14.285714286","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","14.285714286","0","0","0","0","0","0","0","7","7","14.285714286","0","0","0","14.285714286","14.285714286","0","14.285714286","57.142857143","28.571428571","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","14.285714286","0","0","0","14.285714286","42.857142857","28.571428571","14.285714286","0","0","42.857142857","42.857142857","0","14.285714286","0","28.571428571","0","0","0","0","0","0","-","-","0","0","0","0","-","-"
"3","Allegheny General Hospital (PAAG)","PAAG","TX1",44046.7916666667,"LI",53,59,134.09090909,82.729211087,98.666178087,44,37,84.090909091,94.669509595,95.536826676,4,3,6.8181818182,6.7697228145,8.8164162697,6,3,6.8181818182,9.6481876333,8.8750458043,6,13,29.545454545,8.4754797441,9.1095639428,3,1,2.2727272727,4.3710021322,7.1601319165,1,2,4.5454545455,1.9189765458,1.1506046171,43,43,97.727272727,46.961620469,61.355807988,0,0,0,7.7825159915,3.8402345181,1,1,2.2727272727,2.132196162,2.821546354,55,44,100,100,100,5.0847457627599,5.0847457627599,3.38983050853146,0,72.8813559324941,1.69491525422844,0,15212,40.47,-80.01,"TX1","44046.791666666664","LI","0","0","0","0","0","0","2.7027027027","3.3898305085","13.513513514","22.033898305","62.162162162","50.847457627","21.621621622","20.338983051","0","3.3898305085","100","100","2.7027027027","3.3898305085","43.243243243","33.898305085","8.1081081081","16.949152542","45.945945946","45.762711864","0","0","16.216216216","25.423728814","83.783783784","74.576271186","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.7027027027","1.6949152542","0","0","8.1081081081","8.4745762712","16.216216216","22.033898305","0","3.3898305085","0","0","70.27027027","64.406779661","2.7027027027","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21.621621622","10.169491525","27.027027027","20.338983051","27.027027027","22.033898305","2.7027027027","30.508474576","21.621621622","13.559322034","37","59","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","100","98.305084746","0","0","0","1.6949152542","-","-","-","-","-","-","-","-","-","-","0","0","2.7027027027","5.0847457627","0","0","0","0","0","0","97.297297297","94.915254237","0","0","0","0","0","0","0","0","0","0","-","-","0","0","0","3.3898305085","-","-"
"4","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1",44046.7916666667,"LI",14,20,285.71428571,105.5387714,98.666178087,7,3,42.857142857,86.304128902,95.536826676,0,0,0,10.775427996,8.8164162697,1,2,28.571428571,10.171198389,8.8750458043,0,0,0,11.278952669,9.1095639428,2,4,57.142857143,13.192346425,7.1601319165,0,0,0,1.0070493454,1.1506046171,9,16,228.57142857,65.256797583,61.355807988,0,2,28.571428571,4.6324269889,3.8402345181,0,0,0,2.9204431017,2.821546354,5,7,100,100,100,10,0,0,10,80.0000000007,20.00000000035,0.124999999998906,60611,41.91,-87.61,"TX1","44046.791666666664","LI","0","30","66.666666667","25","33.333333333","45","0","0","0","0","0","0","0","0","0","0","100","100","0","5","33.333333333","25","66.666666667","15","0","55","0","0","100","60","0","40","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","66.666666667","35","0","0","0","10","0","15","0","0","33.333333333","20","0","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","33.333333333","10","33.333333333","5","0","0","0","0","0","0","3","20","0","10","33.333333333","15","0","10","0","0","0","5","-","-","-","-","-","-","-","-","100","75","0","0","0","25","-","-","-","-","-","-","-","-","-","-","0","20","66.666666667","15","33.333333333","15","0","0","0","0","0","50","0","30","0","10","0","0","0","0","0","0","-","-","0","0","0","5","-","-"
"5","Aurora St. Luke's Medical Center (WISL)","WISL","TX1",44046.7916666667,"LI",47,51,92.727272727,105.5387714,98.666178087,55,53,96.363636364,86.304128902,95.536826676,9,8,14.545454545,10.775427996,8.8164162697,1,4,7.2727272727,10.171198389,8.8750458043,13,11,20,11.278952669,9.1095639428,3,1,1.8181818182,13.192346425,7.1601319165,0,1,1.8181818182,1.0070493454,1.1506046171,24,27,49.090909091,65.256797583,61.355807988,0,0,0,4.6324269889,3.8402345181,1,1,1.8181818182,2.9204431017,2.821546354,59,55,100,100,100,7.84313725489562,15.6862745093599,1.96078431375087,0,52.941176470842,1.96078431375087,0,53215,43.01,-87.94,"TX1","44046.791666666664","LI","0","0","0","0","0","0","0","5.8823529412","24.528301887","19.607843137","58.490566038","54.901960784","16.981132075","17.647058824","0","1.9607843137","100","100","1.8867924528","0","43.396226415","43.137254902","11.320754717","9.8039215686","43.396226415","47.058823529","0","0","47.169811321","41.176470588","52.830188679","58.823529412","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.8867924528","7.8431372549","0","0","7.5471698113","1.9607843137","9.4339622642","11.764705882","0","0","0","0","79.245283019","78.431372549","1.8867924528","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24.528301887","15.68627451","22.641509434","27.450980392","13.20754717","13.725490196","5.6603773585","13.725490196","24.528301887","17.647058824","53","51","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","9.4339622642","3.9215686275","11.320754717","9.8039215686","0","0","0","0","79.245283019","86.274509804","0","0","0","0","0","0","0","0","0","0","-","-","0","0","9.4339622642","11.764705882","-","-"
"6","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1",44046.7916666667,"LI",42,55,323.52941176,155.59968229,98.666178087,17,17,100,101.8268467,95.536826676,4,5,29.411764706,9.4519459889,8.8164162697,3,4,23.529411765,10.484511517,8.8750458043,1,0,0,9.6902303415,9.1095639428,1,4,23.529411765,6.1159650516,7.1601319165,0,0,0,1.2708498809,1.1506046171,34,42,247.05882353,113.89992057,61.355807988,0,0,0,0.8737092931,3.8402345181,0,0,0,1.9857029388,2.821546354,18,17,100,100,100,7.27272727292397,9.09090909107769,0,0,76.3636363649289,7.27272727292397,0,919,NA,NA,"TX1","44046.791666666664","LI","0","0","0","0","0","0","5.8823529412","18.181818182","29.411764706","21.818181818","41.176470588","40","23.529411765","20","0","0","100","100","0","0","52.941176471","36.363636364","5.8823529412","7.2727272727","41.176470588","56.363636364","0","0","64.705882353","50.909090909","35.294117647","49.090909091","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","5.4545454545","5.8823529412","1.8181818182","5.8823529412","10.909090909","5.8823529412","3.6363636364","5.8823529412","3.6363636364","0","0","76.470588235","70.909090909","0","3.6363636364","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","58.823529412","23.636363636","5.8823529412","27.272727273","0","20","0","3.6363636364","35.294117647","20","17","55","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","94.117647059","94.545454545","0","0","5.8823529412","5.4545454545","-","-","-","-","-","-","-","-","-","-","0","0","0","1.8181818182","100","98.181818182","0","0","0","0","0","0","0","3.6363636364","0","0","0","0","0","0","0","0","-","-","0","0","0","1.8181818182","-","-"
"7","Avera McKennan Hospital (SDMK)","SDMK","TX1",44046.7916666667,"LI",28,34,97.142857143,105.5387714,98.666178087,35,42,120,86.304128902,95.536826676,2,4,11.428571429,10.775427996,8.8164162697,4,4,11.428571429,10.171198389,8.8750458043,1,3,8.5714285714,11.278952669,9.1095639428,1,1,2.8571428571,13.192346425,7.1601319165,0,0,0,1.0070493454,1.1506046171,8,12,34.285714286,65.256797583,61.355807988,0,0,0,4.6324269889,3.8402345181,2,3,8.5714285714,2.9204431017,2.821546354,25,35,100,100,100,11.7647058827768,11.7647058827768,0,0,35.294117647301,2.94117647053979,0,57105,43.52,-96.73,"TX1","44046.791666666664","LI","0","0","0","0","0","0","2.380952381","8.8235294118","26.19047619","35.294117647","52.380952381","44.117647059","14.285714286","11.764705882","4.7619047619","0","100","100","0","0","47.619047619","52.941176471","4.7619047619","5.8823529412","47.619047619","41.176470588","0","0","38.095238095","38.235294118","61.904761905","61.764705882","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","4.7619047619","5.8823529412","19.047619048","14.705882353","0","2.9411764706","0","0","73.80952381","76.470588235","2.380952381","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16.666666667","8.8235294118","26.19047619","29.411764706","7.1428571429","11.764705882","4.7619047619","26.470588235","9.5238095238","5.8823529412","42","34","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","2.380952381","2.9411764706","0","0","4.7619047619","2.9411764706","26.19047619","32.352941176","0","0","66.666666667","61.764705882","0","0","0","0","0","0","0","0","0","0","-","-","0","0","35.714285714","17.647058824","-","-"
"8","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1",44046.7916666667,"LI",24,11,55,77.867698804,98.666178087,20,11,55,94.370161858,95.536826676,2,2,10,7.4947220267,8.8164162697,1,1,5,7.248416608,8.8750458043,0,2,10,9.5707248417,9.1095639428,1,0,0,6.5095003519,7.1601319165,0,7,35,1.5130190007,1.1506046171,10,7,35,47.185080929,61.355807988,0,0,0,2.3223082336,3.8402345181,2,1,5,1.6537649543,2.821546354,12,20,100,100,100,9.09090909090909,18.1818181818182,63.6363636363636,0,63.6363636363636,0,0,85719,32.25,-110.95,"TX1","44046.791666666664","LI","0","0","0","0","0","0","0","0","9.0909090909","9.0909090909","72.727272727","63.636363636","18.181818182","18.181818182","0","9.0909090909","100","100","9.0909090909","9.0909090909","45.454545455","27.272727273","9.0909090909","18.181818182","36.363636364","45.454545455","0","0","54.545454545","18.181818182","45.454545455","81.818181818","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","9.0909090909","0","9.0909090909","36.363636364","0","0","0","0","72.727272727","54.545454545","9.0909090909","9.0909090909","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36.363636364","18.181818182","27.272727273","45.454545455","18.181818182","18.181818182","0","0","9.0909090909","0","11","11","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","100","90.909090909","0","0","0","9.0909090909","-","-","-","-","-","-","-","-","-","-","0","0","0","0","54.545454545","54.545454545","0","0","0","0","45.454545455","45.454545455","0","0","0","0","0","0","0","0","0","0","-","-","0","0","9.0909090909","18.181818182","-","-"
"9","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1",44046.7916666667,"LI",140,142,302.12765957,77.867698804,98.666178087,47,29,61.70212766,94.370161858,95.536826676,9,9,19.14893617,7.4947220267,8.8164162697,5,4,8.5106382979,7.248416608,8.8750458043,2,8,17.021276596,9.5707248417,9.1095639428,7,11,23.404255319,6.5095003519,7.1601319165,1,0,0,1.5130190007,1.1506046171,120,128,272.34042553,47.185080929,61.355807988,0,0,0,2.3223082336,3.8402345181,0,0,0,1.6537649543,2.821546354,51,47,100,100,100,2.81690140850152,6.33802816903739,0,0,90.1408450711218,7.7464788733047,0,85006,33.47,-112.05,"TX1","44046.791666666664","LI","0","0","0","0","0","0","0","4.2253521127","17.24137931","21.830985915","62.068965517","47.183098592","17.24137931","20.422535211","3.4482758621","6.338028169","100","100","0","2.8169014085","20.689655172","31.690140845","10.344827586","10.563380282","68.965517241","54.929577465","0","0","34.482758621","35.915492958","65.517241379","64.084507042","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","5.6338028169","0","0","6.8965517241","0.7042253521","34.482758621","25.352112676","0","2.8169014085","0","0","58.620689655","64.788732394","0","0.7042253521","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","41.379310345","21.830985915","17.24137931","16.197183099","10.344827586","16.901408451","0","21.126760563","31.034482759","17.605633803","29","142","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","89.655172414","91.549295775","0","0","10.344827586","8.4507042254","-","-","-","-","-","-","-","-","-","-","0","0.7042253521","0","1.4084507042","34.482758621","33.098591549","27.586206897","10.563380282","0","0","37.931034483","54.225352113","0","5.6338028169","0","0","0","0","0","0","0","0","-","-","0","0","0","0.7042253521","-","-"
"10","Barnes-Jewish Hospital (MOBH)","MOBH","TX1",44046.7916666667,"LI",133,127,222.80701754,92.764857881,98.666178087,57,46,80.701754386,75.322997416,95.536826676,18,6,10.526315789,9.819121447,8.8164162697,10,7,12.280701754,6.976744186,8.8750458043,11,2,3.5087719298,11.111111111,9.1095639428,9,6,10.526315789,13.695090439,7.1601319165,0,1,1.7543859649,0.645994832,1.1506046171,114,114,200,69.121447028,61.355807988,0,0,0,4.6511627907,3.8402345181,1,2,3.5087719298,1.4211886305,2.821546354,87,57,100,100,100,5.5118110235443,4.72440944868814,0.787401574811278,0,89.763779529114,4.72440944868814,0,63110,38.63,-90.27,"TX1","44046.791666666664","LI","0","0","0","0","0","0","15.217391304","5.5118110236","6.5217391304","13.385826772","47.826086957","48.031496063","21.739130435","22.047244094","8.6956521739","11.023622047","100","100","0","0","47.826086957","39.37007874","15.217391304","13.385826772","36.956521739","47.244094488","0","0","34.782608696","37.007874016","65.217391304","62.992125984","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","3.1496062992","2.1739130435","0","10.869565217","8.6614173228","21.739130435","25.196850394","2.1739130435","0.7874015748","0","0","52.173913043","57.480314961","10.869565217","4.7244094488","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","23.913043478","16.535433071","28.260869565","29.921259843","8.6956521739","17.322834646","2.1739130435","9.4488188976","30.434782609","18.11023622","46","127","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","95.652173913","95.275590551","0","0","4.347826087","4.7244094488","-","-","-","-","-","-","-","-","-","-","0","0","4.347826087","4.7244094488","0","0","0","0","0","0","95.652173913","95.275590551","0","1.5748031496","0","0","0","0","0","0","0","0","-","-","0","0","6.5217391304","7.0866141732","-","-"
