"","entire_name","ctr_cd","ctr_ty","org","zipcode","gender_category","gender_category_percent"
"1","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"female_allc2",32.432432432
"2","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"male_allc2",67.567567568
"3","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"female_allc2",14.285714286
"4","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"male_allc2",85.714285714
"5","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"female_allc2",16.216216216
"6","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"male_allc2",83.783783784
"7","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"female_allc2",100
"8","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"male_allc2",0
"9","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"female_allc2",47.169811321
"10","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"male_allc2",52.830188679
"11","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"female_allc2",64.705882353
"12","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"male_allc2",35.294117647
"13","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"female_allc2",38.095238095
"14","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"male_allc2",61.904761905
"15","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"female_allc2",54.545454545
"16","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"male_allc2",45.454545455
"17","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"female_allc2",34.482758621
"18","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"male_allc2",65.517241379
"19","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LI",63110,"female_allc2",34.782608696
"20","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LI",63110,"male_allc2",65.217391304
"21","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","LI",76104,"female_allc2",43.859649123
"22","Baylor  Scott and White All Saints Medical Center-Fort Worth (TXAS)","TXAS","TX1","LI",76104,"male_allc2",56.140350877
"23","Baylor University Medical Center (TXTX)","TXTX","TX1","LI",75246,"female_allc2",40.740740741
"24","Baylor University Medical Center (TXTX)","TXTX","TX1","LI",75246,"male_allc2",59.259259259
"25","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","LI",2215,"female_allc2",31.967213115
"26","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","LI",2215,"male_allc2",68.032786885
"27","Boston Children's Hospital (MACH)","MACH","TX1","LI",2115,"female_allc2",77.777777778
"28","Boston Children's Hospital (MACH)","MACH","TX1","LI",2115,"male_allc2",22.222222222
"29","Broward Health Medical Center (FLBC)","FLBC","TX1","LI",NA,"female_allc2",19.047619048
"30","Broward Health Medical Center (FLBC)","FLBC","TX1","LI",NA,"male_allc2",80.952380952
"31","California Pacific Medical Center (CAPM)","CAPM","TX1","LI",94114,"female_allc2",42.857142857
"32","California Pacific Medical Center (CAPM)","CAPM","TX1","LI",94114,"male_allc2",57.142857143
"33","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","LI",63104,"female_allc2",33.333333333
"34","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","LI",63104,"male_allc2",66.666666667
"35","Carolinas Medical Center (NCCM)","NCCM","TX1","LI",28203,"female_allc2",28.571428571
"36","Carolinas Medical Center (NCCM)","NCCM","TX1","LI",28203,"male_allc2",71.428571429
"37","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LI",90211,"female_allc2",40.983606557
"38","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LI",90211,"male_allc2",59.016393443
"39","Centura Porter Adventist Hospital (COPM)","COPM","TX1","LI",80210,"female_allc2",53.846153846
"40","Centura Porter Adventist Hospital (COPM)","COPM","TX1","LI",80210,"male_allc2",46.153846154
"41","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LI",77030,"female_allc2",43.47826087
"42","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LI",77030,"male_allc2",56.52173913
"43","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","LI",30322,"female_allc2",42.857142857
"44","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","LI",30322,"male_allc2",57.142857143
"45","Children's Hospital Colorado (COCH)","COCH","TX1","LI",80045,"female_allc2",0
"46","Children's Hospital Colorado (COCH)","COCH","TX1","LI",80045,"male_allc2",100
"47","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LI",45229,"female_allc2",48.275862069
"48","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LI",45229,"male_allc2",51.724137931
"49","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LI",19104,"female_allc2",75
"50","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LI",19104,"male_allc2",25
"51","Children's Hospital of Wisconsin (WICH)","WICH","TX1","LI",53226,"female_allc2",41.176470588
"52","Children's Hospital of Wisconsin (WICH)","WICH","TX1","LI",53226,"male_allc2",58.823529412
"53","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","LI",75235,"female_allc2",44.827586207
"54","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","LI",75235,"male_allc2",55.172413793
"55","Children's Mercy Hospital (MOCM)","MOCM","TX1","LI",64108,"female_allc2",50
"56","Children's Mercy Hospital (MOCM)","MOCM","TX1","LI",64108,"male_allc2",50
"57","Children's of Alabama (ALCH)","ALCH","TX1","LI",35233,"female_allc2",0
"58","Children's of Alabama (ALCH)","ALCH","TX1","LI",35233,"male_allc2",100
"59","Childrens Hospital Los Angeles (CACL)","CACL","TX1","LI",90027,"female_allc2",63.157894737
"60","Childrens Hospital Los Angeles (CACL)","CACL","TX1","LI",90027,"male_allc2",36.842105263
"61","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","LI",33331,"female_allc2",35.416666667
"62","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","LI",33331,"male_allc2",64.583333333
"63","Duke University Hospital (NCDU)","NCDU","TX1","LI",27710,"female_allc2",43.75
"64","Duke University Hospital (NCDU)","NCDU","TX1","LI",27710,"male_allc2",56.25
"65","Emory University Hospital (GAEM)","GAEM","TX1","LI",30322,"female_allc2",43.055555556
"66","Emory University Hospital (GAEM)","GAEM","TX1","LI",30322,"male_allc2",56.944444444
"67","Florida Hospital Medical Center (FLFH)","FLFH","TX1","LI",32803,"female_allc2",23.684210526
"68","Florida Hospital Medical Center (FLFH)","FLFH","TX1","LI",32803,"male_allc2",76.315789474
"69","Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","LI",53226,"female_allc2",38.461538462
"70","Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","LI",53226,"male_allc2",61.538461538
"71","Geisinger Medical Center (PAGM)","PAGM","TX1","LI",17822,"female_allc2",0
