"","entire_name","ctr_cd","ctr_ty","org","zipcode","blood_type_category","blood_type_category_percent"
"1","Advocate Christ Medical Center (ILCH)","ILCH","TX1","LU",60453,"blood_type_ab_allc2",0
"2","Advocate Christ Medical Center (ILCH)","ILCH","TX1","LU",60453,"blood_type_a_allc2",0
"3","Advocate Christ Medical Center (ILCH)","ILCH","TX1","LU",60453,"blood_type_b_allc2",0
"4","Advocate Christ Medical Center (ILCH)","ILCH","TX1","LU",60453,"blood_type_o_allc2",100
"5","Advocate Christ Medical Center (ILCH)","ILCH","TX1","LU",60453,"blood_type_unknown_allc2",0
"6","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LU",85719,"blood_type_ab_allc2",0
"7","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LU",85719,"blood_type_a_allc2",28.571428571
"8","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LU",85719,"blood_type_b_allc2",7.1428571429
"9","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LU",85719,"blood_type_o_allc2",64.285714286
"10","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LU",85719,"blood_type_unknown_allc2",0
"11","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LU",63110,"blood_type_ab_allc2",0
"12","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LU",63110,"blood_type_a_allc2",50
"13","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LU",63110,"blood_type_b_allc2",8.3333333333
"14","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LU",63110,"blood_type_o_allc2",41.666666667
"15","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LU",63110,"blood_type_unknown_allc2",0
"16","Baylor University Medical Center (TXTX)","TXTX","TX1","LU",75246,"blood_type_ab_allc2",9.0909090909
"17","Baylor University Medical Center (TXTX)","TXTX","TX1","LU",75246,"blood_type_a_allc2",18.181818182
"18","Baylor University Medical Center (TXTX)","TXTX","TX1","LU",75246,"blood_type_b_allc2",18.181818182
"19","Baylor University Medical Center (TXTX)","TXTX","TX1","LU",75246,"blood_type_o_allc2",54.545454545
"20","Baylor University Medical Center (TXTX)","TXTX","TX1","LU",75246,"blood_type_unknown_allc2",0
"21","Boston Children's Hospital (MACH)","MACH","TX1","LU",2115,"blood_type_ab_allc2",0
"22","Boston Children's Hospital (MACH)","MACH","TX1","LU",2115,"blood_type_a_allc2",0
"23","Boston Children's Hospital (MACH)","MACH","TX1","LU",2115,"blood_type_b_allc2",0
"24","Boston Children's Hospital (MACH)","MACH","TX1","LU",2115,"blood_type_o_allc2",100
"25","Boston Children's Hospital (MACH)","MACH","TX1","LU",2115,"blood_type_unknown_allc2",0
"26","Brigham and Women's Hospital (MAPB)","MAPB","TX1","LU",2115,"blood_type_ab_allc2",2.7777777778
"27","Brigham and Women's Hospital (MAPB)","MAPB","TX1","LU",2115,"blood_type_a_allc2",30.555555556
"28","Brigham and Women's Hospital (MAPB)","MAPB","TX1","LU",2115,"blood_type_b_allc2",8.3333333333
"29","Brigham and Women's Hospital (MAPB)","MAPB","TX1","LU",2115,"blood_type_o_allc2",58.333333333
"30","Brigham and Women's Hospital (MAPB)","MAPB","TX1","LU",2115,"blood_type_unknown_allc2",0
"31","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LU",90211,"blood_type_ab_allc2",0
"32","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LU",90211,"blood_type_a_allc2",31.578947368
"33","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LU",90211,"blood_type_b_allc2",5.2631578947
"34","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LU",90211,"blood_type_o_allc2",63.157894737
"35","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LU",90211,"blood_type_unknown_allc2",0
"36","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LU",77030,"blood_type_ab_allc2",0
"37","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LU",77030,"blood_type_a_allc2",68.75
"38","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LU",77030,"blood_type_b_allc2",6.25
"39","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LU",77030,"blood_type_o_allc2",25
"40","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LU",77030,"blood_type_unknown_allc2",0
"41","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LU",45229,"blood_type_ab_allc2",0
"42","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LU",45229,"blood_type_a_allc2",100
"43","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LU",45229,"blood_type_b_allc2",0
"44","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LU",45229,"blood_type_o_allc2",0
"45","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LU",45229,"blood_type_unknown_allc2",0
"46","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LU",19104,"blood_type_ab_allc2",0
"47","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LU",19104,"blood_type_a_allc2",33.333333333
"48","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LU",19104,"blood_type_b_allc2",0
"49","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LU",19104,"blood_type_o_allc2",66.666666667
"50","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LU",19104,"blood_type_unknown_allc2",0
"51","Duke University Hospital (NCDU)","NCDU","TX1","LU",27710,"blood_type_ab_allc2",0
"52","Duke University Hospital (NCDU)","NCDU","TX1","LU",27710,"blood_type_a_allc2",21.428571429
"53","Duke University Hospital (NCDU)","NCDU","TX1","LU",27710,"blood_type_b_allc2",14.285714286
"54","Duke University Hospital (NCDU)","NCDU","TX1","LU",27710,"blood_type_o_allc2",64.285714286
"55","Duke University Hospital (NCDU)","NCDU","TX1","LU",27710,"blood_type_unknown_allc2",0
"56","Emory University Hospital (GAEM)","GAEM","TX1","LU",30322,"blood_type_ab_allc2",0
"57","Emory University Hospital (GAEM)","GAEM","TX1","LU",30322,"blood_type_a_allc2",40
"58","Emory University Hospital (GAEM)","GAEM","TX1","LU",30322,"blood_type_b_allc2",0
"59","Emory University Hospital (GAEM)","GAEM","TX1","LU",30322,"blood_type_o_allc2",60
"60","Emory University Hospital (GAEM)","GAEM","TX1","LU",30322,"blood_type_unknown_allc2",0
"61","Florida Hospital Medical Center (FLFH)","FLFH","TX1","LU",32803,"blood_type_ab_allc2",0
"62","Florida Hospital Medical Center (FLFH)","FLFH","TX1","LU",32803,"blood_type_a_allc2",0
"63","Florida Hospital Medical Center (FLFH)","FLFH","TX1","LU",32803,"blood_type_b_allc2",0
"64","Florida Hospital Medical Center (FLFH)","FLFH","TX1","LU",32803,"blood_type_o_allc2",100
"65","Florida Hospital Medical Center (FLFH)","FLFH","TX1","LU",32803,"blood_type_unknown_allc2",0
"66","Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","LU",53226,"blood_type_ab_allc2",0
"67","Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","LU",53226,"blood_type_a_allc2",33.333333333
"68","Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","LU",53226,"blood_type_b_allc2",0
"69","Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","LU",53226,"blood_type_o_allc2",66.666666667
"70","Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","LU",53226,"blood_type_unknown_allc2",0
"71","Henry Ford Hospital (MIHF)","MIHF","TX1","LU",48202,"blood_type_ab_allc2",0
"72","Henry Ford Hospital (MIHF)","MIHF","TX1","LU",48202,"blood_type_a_allc2",19.35483871
"73","Henry Ford Hospital (MIHF)","MIHF","TX1","LU",48202,"blood_type_b_allc2",12.903225806
"74","Henry Ford Hospital (MIHF)","MIHF","TX1","LU",48202,"blood_type_o_allc2",67.741935484
"75","Henry Ford Hospital (MIHF)","MIHF","TX1","LU",48202,"blood_type_unknown_allc2",0
"76","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","LU",19104,"blood_type_ab_allc2",4.347826087
"77","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","LU",19104,"blood_type_a_allc2",26.086956522
"78","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","LU",19104,"blood_type_b_allc2",4.347826087
"79","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","LU",19104,"blood_type_o_allc2",65.217391304
"80","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","LU",19104,"blood_type_unknown_allc2",0
"81","Houston Methodist Hospital (TXMH)","TXMH","TX1","LU",77030,"blood_type_ab_allc2",0
"82","Houston Methodist Hospital (TXMH)","TXMH","TX1","LU",77030,"blood_type_a_allc2",25
"83","Houston Methodist Hospital (TXMH)","TXMH","TX1","LU",77030,"blood_type_b_allc2",15
"84","Houston Methodist Hospital (TXMH)","TXMH","TX1","LU",77030,"blood_type_o_allc2",60
"85","Houston Methodist Hospital (TXMH)","TXMH","TX1","LU",77030,"blood_type_unknown_allc2",0
"86","Indiana University Health (INIM)","INIM","TX1","LU",46202,"blood_type_ab_allc2",6.6666666667
"87","Indiana University Health (INIM)","INIM","TX1","LU",46202,"blood_type_a_allc2",46.666666667
"88","Indiana University Health (INIM)","INIM","TX1","LU",46202,"blood_type_b_allc2",6.6666666667
"89","Indiana University Health (INIM)","INIM","TX1","LU",46202,"blood_type_o_allc2",40
"90","Indiana University Health (INIM)","INIM","TX1","LU",46202,"blood_type_unknown_allc2",0
"91","Inova Fairfax Hospital (VAFH)","VAFH","TX1","LU",22042,"blood_type_ab_allc2",0
"92","Inova Fairfax Hospital (VAFH)","VAFH","TX1","LU",22042,"blood_type_a_allc2",50
"93","Inova Fairfax Hospital (VAFH)","VAFH","TX1","LU",22042,"blood_type_b_allc2",16.666666667
"94","Inova Fairfax Hospital (VAFH)","VAFH","TX1","LU",22042,"blood_type_o_allc2",33.333333333
"95","Inova Fairfax Hospital (VAFH)","VAFH","TX1","LU",22042,"blood_type_unknown_allc2",0
