"","entire_name","ctr_cd","ctr_ty","release_date","org","newlistings_center_time1","newlistings_center_time2","newlistings_center_all","newlistings_regional","newlistings_usa","endlistings_center_time1","endlistings_center_time2","endlistings_center_all","endlistings_regional","endlistings_usa","deteriorated_center_time1","deteriorated_center_time2","deteriorated_center_all","deteriorated_regional","deteriorated_usa","died_center_time1","died_center_time2","died_center_all","died_regional","died_usa","other_center_time1","other_center_time2","other_center_all","other_regional","other_usa","recovered_center_time1","recovered_center_time2","recovered_center_all","recovered_regional","recovered_usa","transfer_center_time1","transfer_center_time2","transfer_center_all","transfer_regional","transfer_usa","deceased_donor_center_time1","deceased_donor_center_time2","deceased_donor_center_all","deceased_donor_regional","deceased_donor_usa","living_donor_center_time1","living_donor_center_time2","living_donor_center_all","living_donor_regional","living_donor_usa","transplant_other_center_time1","transplant_other_center_time2","transplant_other_center_all","transplant_other_regional","transplant_other_center_usa","start_waitlist_center_time1","start_waitlist_center_time2","start_waitlist_center_all","start_waitlist_regional","start_waitlist_usa","newlistings_percent_mortality","newlistings_percent_deteriorated","newlistings_percent_transfer","newlistings_percent_living_donor","newlistings_percent_deceased_donor","newlistings_percent_recovered","living_deceased_graft_ratio","zipcode","lat","lng","center_type_na","release_date_na","organ_na","age_2_11_allc2","age_2_11_newc2","age_12_17_allc2","age_12_17_newc2","age_2_allc2","age_2_newc2","age_18_34_allc2","age_18_34_newc2","age_35_49_allc2","age_35_49_newc2","age_50_64_allc2","age_50_64_newc2","age_65_69_allc2","age_65_69_newc2","age_70_allc2","age_70_newc2","all_allc2","all_newc2","blood_type_ab_allc2","blood_type_ab_newc2","blood_type_a_allc2","blood_type_a_newc2","blood_type_b_allc2","blood_type_b_newc2","blood_type_o_allc2","blood_type_o_newc2","blood_type_unknown_allc2","blood_type_unknown_newc2","female_allc2","female_newc2","male_allc2","male_newc2","gender_unknown_allc2","gender_unknown_newc2","cardiomyopathy_allc2","cardiomyopathy_newc2","congenital_heart_disease_allc2","congenital_heart_disease_newc2","coronary_artery_disease_allc2","coronary_artery_disease_newc2","primary_disease_missing_allc2","primary_disease_missing_newc2","primary_disease_other_allc2","primary_disease_other_newc2","retransplant_graft_failure_allc2","retransplant_graft_failure_newc2","valvular_heart_disease_allc2","valvular_heart_disease_newc2","functional_bowel_problem_allc2","functional_bowel_problem_newc2","primary_disease_missing_allc2_2","primary_disease_missing_newc2_2","primary_disease_other_allc2_2","primary_disease_other_newc2_2","retransplant_graft_failure_allc2_2","retransplant_graft_failure_newc2_2","short_gut_syndrome_allc2","short_gut_syndrome_newc2","diabetes_allc2","diabetes_newc2","glomerular_diseases_allc2","glomerular_diseases_newc2","hypertensive_nephrosclerosis_allc2","hypertensive_nephrosclerosis_newc2","primary_disease_missing_allc2_3","primary_disease_missing_newc2_3","neoplasms_allc2","neoplasms_newc2","primary_disease_other_allc2_3","primary_disease_other_newc2_3","polycystic_kidneys_allc2","polycystic_kidneys_newc2","renovascular_vascular_diseases_allc2","renovascular_vascular_diseases_newc2","retransplant_graft_failure_allc2_3","retransplant_graft_failure_newc2_3","tubular_and_interstitial_diseases_allc2","tubular_and_interstitial_diseases_newc2","acute_hepatic_necrosis_allc2","acute_hepatic_necrosis_newc2","biliary_atresia_allc2","biliary_atresia_newc2","cholestatic_liver_disease_cirrhosis_allc2","cholestatic_liver_disease_cirrhosis_newc2","malignant_neoplasms_allc2","malignant_neoplasms_newc2","metabolic_diseases_allc2","metabolic_diseases_newc2","primary_disease_missing_allc2_4","primary_disease_missing_newc2_4","non_cholestatic_cirrhosis_allc2","non_cholestatic_cirrhosis_newc2","primary_disease_other_allc2_4","primary_disease_other_newc2_4","congenital_disease_allc2","congenital_disease_newc2","cystic_fibrosis_allc2","cystic_fibrosis_newc2","emphysema_copd_allc2","emphysema_copd_newc2","idiopathic_pulmonary_fibrosis_allc2","idiopathic_pulmonary_fibrosis_newc2","primary_disease_missing_allc2_5","primary_disease_missing_newc2_5","primary_disease_other_allc2_5","primary_disease_other_newc2_5","idiopathic_pulmonary_arterial_hypertension_allc2","idiopathic_pulmonary_arterial_hypertension_newc2","retransplant_graft_failure_allc2_4","retransplant_graft_failure_newc2_4","meld_11_14_allc2","meld_11_14_newc2","meld_15_20_allc2","meld_15_20_newc2","meld_21_30_allc2","meld_21_30_newc2","meld_31_40_allc2","meld_31_40_newc2","meld_6_10_allc2","meld_6_10_newc2","on_waitlist_allc2","on_waitlist_newc2","peld_11_14_allc2","peld_11_14_newc2","peld_15_20_allc2","peld_15_20_newc2","peld_21_30_allc2","peld_21_30_newc2","peld_31_allc2","peld_31_newc2","peld_10_allc2","peld_10_newc2","pra_10_79_allc2","pra_10_79_newc2","pra_80_allc2","pra_80_newc2","pra_0_9_allc2","pra_0_9_newc2","pra_unknown_allc2","pra_unknown_newc2","previous_tx_no_allc2","previous_tx_no_newc2","previous_tx_unknown_allc2","previous_tx_unknown_newc2","previous_tx_yes_allc2","previous_tx_yes_newc2","diabetes_onset_20_years_allc2","diabetes_onset_20_years_newc2","diabetes_onset_20_25_allc2","diabetes_onset_20_25_newc2","diabetes_onset_25_30_allc2","diabetes_onset_25_30_newc2","diabetes_onset_30_allc2","diabetes_onset_30_newc2","diabetes_onset_unknown_allc2","diabetes_onset_unknown_newc2","asian_allc2","asian_newc2","african_american_allc2","african_american_newc2","hispanic_latino_allc2","hispanic_latino_newc2","race_other_allc2","race_other_newc2","race_unknown_allc2","race_unknown_newc2","white_allc2","white_newc2","status_1a_allc2","status_1a_newc2","status_1b_allc2","status_1b_newc2","old_status_1_allc2","old_status_1_newc2","status_2a_allc2","status_2a_newc2","status_2b_allc2","status_2b_newc2","status_2_allc2","status_2_newc2","status_3_allc2","status_3_newc2","temporarily_inactive_allc2","temporarily_inactive_newc2","congenital_familial_metabolic_allc2","congenital_familial_metabolic_newc2"
"1","Advocate Christ Medical Center (ILCH)","ILCH","TX1",44046.7916666667,"LU",11,2,33.333333333,159.73154362,224.67173462,6,2,33.333333333,97.315436242,97.304768487,1,0,0,5.3691275168,11.472011057,1,0,0,8.0536912752,10.158949551,0,2,33.333333333,4.6979865772,11.333794057,0,0,0,0.6711409396,2.9716655149,0,1,16.666666667,4.0268456376,1.8659295093,8,3,50,133.55704698,187.56046994,0,0,0,0,0,0,0,0,6.0402684564,2.00414651,5,6,100,100,100,0,0,50.0000000015,0,150.0000000015,0,0,60453,41.71,-87.76,"TX1","44046.791666666664","LU","0","0","0","0","0","0","0","0","0","0","50","0","0","50","50","50","100","100","0","0","0","50","0","0","100","50","0","0","50","50","50","50","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","50","50","50","50","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","50","0","50","50","0","0","0","0","0","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1",44046.7916666667,"LU",40,46,2300,227.68595041,224.67173462,2,14,700,113.63636364,97.304768487,1,0,0,11.570247934,11.472011057,1,2,100,10.743801653,10.158949551,0,1,50,9.0909090909,11.333794057,0,0,0,2.0661157025,2.9716655149,0,0,0,2.0661157025,1.8659295093,41,31,1550,177.68595041,187.56046994,0,0,0,0,0,0,0,0,0.826446281,2.00414651,5,2,100,100,100,4.34782608695652,0,0,0,67.3913043478261,0,0,85719,32.25,-110.95,"TX1","44046.791666666664","LU","0","0","0","0","0","0","7.1428571429","13.043478261","7.1428571429","8.6956521739","35.714285714","34.782608696","28.571428571","23.913043478","21.428571429","19.565217391","100","100","0","0","28.571428571","26.086956522","7.1428571429","6.5217391304","64.285714286","67.391304348","0","0","57.142857143","47.826086957","42.857142857","52.173913043","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","6.5217391304","28.571428571","21.739130435","57.142857143","63.043478261","0","0","0","0","14.285714286","8.6956521739","0","0","-","-","-","-","-","-","-","-","-","-","14","46","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","85.714285714","91.304347826","0","0","14.285714286","8.6956521739","-","-","-","-","-","-","-","-","-","-","0","0","0","8.6956521739","21.428571429","30.434782609","7.1428571429","2.1739130435","0","0","71.428571429","58.695652174","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3","Barnes-Jewish Hospital (MOBH)","MOBH","TX1",44046.7916666667,"LU",93,95,395.83333333,238.02816901,224.67173462,24,12,50,73.23943662,97.304768487,0,0,0,4.2253521127,11.472011057,6,2,8.3333333333,7.0422535211,10.158949551,1,1,4.1666666667,2.8169014085,11.333794057,2,1,4.1666666667,4.2253521127,2.9716655149,0,0,0,0,1.8659295093,74,103,429.16666667,246.47887324,187.56046994,0,0,0,0,0,0,0,0,0,2.00414651,14,24,100,100,100,2.10526315790404,0,0,0,108.421052633334,1.05263157896465,0,63110,38.63,-90.27,"TX1","44046.791666666664","LU","0","0","0","0","0","0","0","15.789473684","16.666666667","7.3684210526","50","53.684210526","33.333333333","11.578947368","0","11.578947368","100","100","0","3.1578947368","50","35.789473684","8.3333333333","7.3684210526","41.666666667","53.684210526","0","0","58.333333333","38.947368421","41.666666667","61.052631579","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","13.684210526","16.666666667","34.736842105","75","49.473684211","0","0","0","0","8.3333333333","2.1052631579","0","0","-","-","-","-","-","-","-","-","-","-","12","95","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","91.666666667","96.842105263","0","0","8.3333333333","3.1578947368","-","-","-","-","-","-","-","-","-","-","0","1.0526315789","16.666666667","8.4210526316","8.3333333333","0","0","0","0","0","75","90.526315789","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4","Baylor University Medical Center (TXTX)","TXTX","TX1",44046.7916666667,"LU",49,45,300,298.21428571,224.67173462,15,22,146.66666667,97.321428571,97.304768487,2,2,13.333333333,9.8214285714,11.472011057,2,1,6.6666666667,13.392857143,10.158949551,1,1,6.6666666667,18.75,11.333794057,0,1,6.6666666667,7.1428571429,2.9716655149,1,0,0,0.8928571429,1.8659295093,42,33,220,250.89285714,187.56046994,0,0,0,0,0,0,0,0,0,2.00414651,14,15,100,100,100,2.22222222223333,4.44444444433333,0,0,73.3333333333333,2.22222222223333,0,75246,32.793,-96.773,"TX1","44046.791666666664","LU","0","0","0","0","0","0","9.0909090909","4.4444444444","4.5454545455","4.4444444444","54.545454545","48.888888889","31.818181818","37.777777778","0","4.4444444444","100","100","9.0909090909","6.6666666667","18.181818182","31.111111111","18.181818182","17.777777778","54.545454545","44.444444444","0","0","77.272727273","40","22.727272727","60","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","4.5454545455","2.2222222222","54.545454545","28.888888889","36.363636364","66.666666667","0","0","4.5454545455","2.2222222222","0","0","0","0","-","-","-","-","-","-","-","-","-","-","22","45","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","4.5454545455","4.4444444444","9.0909090909","6.6666666667","9.0909090909","6.6666666667","0","2.2222222222","0","0","77.272727273","80","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","Boston Children's Hospital (MACH)","MACH","TX1",44046.7916666667,"LU",9,7,140,175,224.67173462,5,1,20,88.461538462,97.304768487,1,1,20,7.6923076923,11.472011057,5,0,0,13.461538462,10.158949551,0,2,40,9.6153846154,11.333794057,0,0,0,1.9230769231,2.9716655149,0,0,0,0,1.8659295093,4,8,160,153.84615385,187.56046994,0,0,0,0,0,0,0,0,0,2.00414651,6,5,100,100,100,0,14.2857142857143,0,0,114.285714285714,0,0,2115,NA,NA,"TX1","44046.791666666664","LU","0","57.142857143","0","28.571428571","0","14.285714286","100","0","0","0","0","0","0","0","0","0","100","100","0","14.285714286","0","57.142857143","0","28.571428571","100","0","0","0","100","85.714285714","0","14.285714286","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","100","28.571428571","0","14.285714286","0","42.857142857","0","0","0","0","0","14.285714286","0","0","-","-","-","-","-","-","-","-","-","-","1","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","85.714285714","0","0","0","14.285714286","-","-","-","-","-","-","-","-","-","-","0","0","0","14.285714286","0","14.285714286","0","0","0","0","100","71.428571429","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6","Brigham and Women's Hospital (MAPB)","MAPB","TX1",44046.7916666667,"LU",67,54,145.94594595,175,224.67173462,37,36,97.297297297,88.461538462,97.304768487,3,2,5.4054054054,7.6923076923,11.472011057,4,6,16.216216216,13.461538462,10.158949551,3,2,5.4054054054,9.6153846154,11.333794057,1,0,0,1.9230769231,2.9716655149,0,0,0,0,1.8659295093,48,45,121.62162162,153.84615385,187.56046994,0,0,0,0,0,1,0,0,0,2.00414651,30,37,100,100,100,11.1111111106543,3.70370370359712,0,0,83.3333333299074,0,0,2115,NA,NA,"TX1","44046.791666666664","LU","0","0","0","0","0","0","0","5.5555555556","16.666666667","18.518518519","47.222222222","38.888888889","22.222222222","20.37037037","13.888888889","16.666666667","100","100","2.7777777778","11.111111111","30.555555556","38.888888889","8.3333333333","9.2592592593","58.333333333","40.740740741","0","0","58.333333333","35.185185185","41.666666667","64.814814815","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","5.5555555556","7.4074074074","55.555555556","25.925925926","33.333333333","62.962962963","0","0","0","0","5.5555555556","3.7037037037","0","0","-","-","-","-","-","-","-","-","-","-","36","54","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","2.7777777778","0","2.7777777778","9.2592592593","0","0","0","0","94.444444444","90.740740741","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7","Cedars-Sinai Medical Center (CACS)","CACS","TX1",44046.7916666667,"LU",24,28,155.55555556,227.68595041,224.67173462,18,19,105.55555556,113.63636364,97.304768487,1,3,16.666666667,11.570247934,11.472011057,3,4,22.222222222,10.743801653,10.158949551,1,1,5.5555555556,9.0909090909,11.333794057,1,0,0,2.0661157025,2.9716655149,0,2,11.111111111,2.0661157025,1.8659295093,21,17,94.444444444,177.68595041,187.56046994,0,0,0,0,0,1,0,0,0.826446281,2.00414651,22,18,100,100,100,14.2857142851633,10.7142857141939,7.14285714258163,0,60.7142857122653,0,0,90211,34.065,-118.381,"TX1","44046.791666666664","LU","0","0","0","0","0","0","0","0","26.315789474","17.857142857","47.368421053","46.428571429","21.052631579","25","5.2631578947","10.714285714","100","100","0","7.1428571429","31.578947368","28.571428571","5.2631578947","7.1428571429","63.157894737","57.142857143","0","0","63.157894737","50","36.842105263","50","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","31.578947368","25","68.421052632","75","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","19","28","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","96.428571429","0","0","0","3.5714285714","-","-","-","-","-","-","-","-","-","-","5.2631578947","14.285714286","0","0","26.315789474","25","0","0","0","0","68.421052632","60.714285714","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1",44046.7916666667,"LU",49,56,509.09090909,298.21428571,224.67173462,11,16,145.45454545,97.321428571,97.304768487,4,1,9.0909090909,9.8214285714,11.472011057,2,1,9.0909090909,13.392857143,10.158949551,2,0,0,18.75,11.333794057,1,3,27.272727273,7.1428571429,2.9716655149,0,0,0,0.8928571429,1.8659295093,38,46,418.18181818,250.89285714,187.56046994,0,0,0,0,0,0,0,0,0,2.00414651,9,11,100,100,100,1.78571428571569,1.78571428571569,0,0,82.1428571426467,5.35714285720599,0,77030,29.71,-95.41,"TX1","44046.791666666664","LU","0","0","0","0","0","0","6.25","16.071428571","12.5","12.5","62.5","50","6.25","16.071428571","12.5","5.3571428571","100","100","0","5.3571428571","68.75","50","6.25","7.1428571429","25","37.5","0","0","68.75","48.214285714","31.25","51.785714286","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","6.25","17.857142857","25","19.642857143","43.75","53.571428571","0","0","6.25","0","18.75","8.9285714286","0","0","-","-","-","-","-","-","-","-","-","-","16","56","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","98.214285714","0","0","0","1.7857142857","-","-","-","-","-","-","-","-","-","-","6.25","3.5714285714","25","17.857142857","31.25","28.571428571","0","0","0","0","37.5","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9","Children's Hospital Medical Center (OHCM)","OHCM","TX1",44046.7916666667,"LU",5,5,250,194.25837321,224.67173462,2,1,50,85.167464115,97.304768487,0,0,0,11.483253589,11.472011057,2,0,0,7.6555023923,10.158949551,1,0,0,14.832535885,11.333794057,0,0,0,3.3492822967,2.9716655149,0,0,0,1.9138755981,1.8659295093,1,6,300,166.50717703,187.56046994,0,0,0,0,0,0,0,0,3.3492822967,2.00414651,1,2,100,100,100,0,0,0,0,120,0,0,45229,39.15,-84.49,"TX1","44046.791666666664","LU","100","20","0","60","0","0","0","20","0","0","0","0","0","0","0","0","100","100","0","0","100","40","0","20","0","40","0","0","0","60","100","40","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","60","0","0","0","0","0","0","0","0","100","40","0","0","-","-","-","-","-","-","-","-","-","-","1","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","100","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10","Children's Hospital of Philadelphia (PACP)","PACP","TX1",44046.7916666667,"LU",6,7,100,182.31046931,224.67173462,7,3,42.857142857,83.032490975,97.304768487,0,0,0,11.55234657,11.472011057,2,3,42.857142857,12.996389892,10.158949551,1,1,14.285714286,12.996389892,11.333794057,0,1,14.285714286,2.8880866426,2.9716655149,0,1,14.285714286,1.8050541516,1.8659295093,2,5,71.428571429,154.51263538,187.56046994,0,0,0,0,0,0,0,0,2.5270758123,2.00414651,6,7,100,100,100,42.857142857,0,14.285714286,0,71.428571429,14.285714286,0,19104,39.97,-75.2,"TX1","44046.791666666664","LU","33.333333333","14.285714286","33.333333333","71.428571429","33.333333333","14.285714286","0","0","0","0","0","0","0","0","0","0","100","100","0","0","33.333333333","57.142857143","0","0","66.666666667","42.857142857","0","0","66.666666667","28.571428571","33.333333333","71.428571429","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","66.666666667","14.285714286","0","0","0","71.428571429","0","0","0","0","33.333333333","14.285714286","0","0","-","-","-","-","-","-","-","-","-","-","3","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","71.428571429","0","0","0","28.571428571","-","-","-","-","-","-","-","-","-","-","0","0","0","0","66.666666667","42.857142857","0","0","0","0","33.333333333","57.142857143","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
