"","entire_name","ctr_cd","ctr_ty","org","zipcode","race_category","race_category_percent"
"1","Advocate Christ Medical Center (ILCH)","ILCH","TX1","LU",60453,"asian_allc2",0
"2","Advocate Christ Medical Center (ILCH)","ILCH","TX1","LU",60453,"african_american_allc2",50
"3","Advocate Christ Medical Center (ILCH)","ILCH","TX1","LU",60453,"hispanic_latino_allc2",50
"4","Advocate Christ Medical Center (ILCH)","ILCH","TX1","LU",60453,"white_allc2",0
"5","Advocate Christ Medical Center (ILCH)","ILCH","TX1","LU",60453,"race_other_allc2",0
"6","Advocate Christ Medical Center (ILCH)","ILCH","TX1","LU",60453,"race_unknown_allc2",0
"7","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LU",85719,"asian_allc2",0
"8","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LU",85719,"african_american_allc2",0
"9","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LU",85719,"hispanic_latino_allc2",21.428571429
"10","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LU",85719,"white_allc2",71.428571429
"11","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LU",85719,"race_other_allc2",7.1428571429
"12","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LU",85719,"race_unknown_allc2",0
"13","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LU",63110,"asian_allc2",0
"14","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LU",63110,"african_american_allc2",16.666666667
"15","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LU",63110,"hispanic_latino_allc2",8.3333333333
"16","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LU",63110,"white_allc2",75
"17","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LU",63110,"race_other_allc2",0
"18","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LU",63110,"race_unknown_allc2",0
"19","Baylor University Medical Center (TXTX)","TXTX","TX1","LU",75246,"asian_allc2",4.5454545455
"20","Baylor University Medical Center (TXTX)","TXTX","TX1","LU",75246,"african_american_allc2",9.0909090909
"21","Baylor University Medical Center (TXTX)","TXTX","TX1","LU",75246,"hispanic_latino_allc2",9.0909090909
"22","Baylor University Medical Center (TXTX)","TXTX","TX1","LU",75246,"white_allc2",77.272727273
"23","Baylor University Medical Center (TXTX)","TXTX","TX1","LU",75246,"race_other_allc2",0
"24","Baylor University Medical Center (TXTX)","TXTX","TX1","LU",75246,"race_unknown_allc2",0
"25","Boston Children's Hospital (MACH)","MACH","TX1","LU",2115,"asian_allc2",0
"26","Boston Children's Hospital (MACH)","MACH","TX1","LU",2115,"african_american_allc2",0
"27","Boston Children's Hospital (MACH)","MACH","TX1","LU",2115,"hispanic_latino_allc2",0
"28","Boston Children's Hospital (MACH)","MACH","TX1","LU",2115,"white_allc2",100
"29","Boston Children's Hospital (MACH)","MACH","TX1","LU",2115,"race_other_allc2",0
"30","Boston Children's Hospital (MACH)","MACH","TX1","LU",2115,"race_unknown_allc2",0
"31","Brigham and Women's Hospital (MAPB)","MAPB","TX1","LU",2115,"asian_allc2",0
"32","Brigham and Women's Hospital (MAPB)","MAPB","TX1","LU",2115,"african_american_allc2",2.7777777778
"33","Brigham and Women's Hospital (MAPB)","MAPB","TX1","LU",2115,"hispanic_latino_allc2",2.7777777778
"34","Brigham and Women's Hospital (MAPB)","MAPB","TX1","LU",2115,"white_allc2",94.444444444
"35","Brigham and Women's Hospital (MAPB)","MAPB","TX1","LU",2115,"race_other_allc2",0
"36","Brigham and Women's Hospital (MAPB)","MAPB","TX1","LU",2115,"race_unknown_allc2",0
"37","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LU",90211,"asian_allc2",5.2631578947
"38","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LU",90211,"african_american_allc2",0
"39","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LU",90211,"hispanic_latino_allc2",26.315789474
"40","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LU",90211,"white_allc2",68.421052632
"41","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LU",90211,"race_other_allc2",0
"42","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LU",90211,"race_unknown_allc2",0
"43","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LU",77030,"asian_allc2",6.25
"44","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LU",77030,"african_american_allc2",25
"45","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LU",77030,"hispanic_latino_allc2",31.25
"46","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LU",77030,"white_allc2",37.5
"47","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LU",77030,"race_other_allc2",0
"48","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LU",77030,"race_unknown_allc2",0
"49","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LU",45229,"asian_allc2",0
"50","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LU",45229,"african_american_allc2",0
"51","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LU",45229,"hispanic_latino_allc2",0
"52","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LU",45229,"white_allc2",100
"53","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LU",45229,"race_other_allc2",0
"54","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LU",45229,"race_unknown_allc2",0
"55","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LU",19104,"asian_allc2",0
"56","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LU",19104,"african_american_allc2",0
"57","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LU",19104,"hispanic_latino_allc2",66.666666667
"58","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LU",19104,"white_allc2",33.333333333
"59","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LU",19104,"race_other_allc2",0
"60","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LU",19104,"race_unknown_allc2",0
"61","Duke University Hospital (NCDU)","NCDU","TX1","LU",27710,"asian_allc2",0
"62","Duke University Hospital (NCDU)","NCDU","TX1","LU",27710,"african_american_allc2",14.285714286
"63","Duke University Hospital (NCDU)","NCDU","TX1","LU",27710,"hispanic_latino_allc2",0
"64","Duke University Hospital (NCDU)","NCDU","TX1","LU",27710,"white_allc2",85.714285714
"65","Duke University Hospital (NCDU)","NCDU","TX1","LU",27710,"race_other_allc2",0
"66","Duke University Hospital (NCDU)","NCDU","TX1","LU",27710,"race_unknown_allc2",0
"67","Emory University Hospital (GAEM)","GAEM","TX1","LU",30322,"asian_allc2",0
"68","Emory University Hospital (GAEM)","GAEM","TX1","LU",30322,"african_american_allc2",0
"69","Emory University Hospital (GAEM)","GAEM","TX1","LU",30322,"hispanic_latino_allc2",0
"70","Emory University Hospital (GAEM)","GAEM","TX1","LU",30322,"white_allc2",100
"71","Emory University Hospital (GAEM)","GAEM","TX1","LU",30322,"race_other_allc2",0
"72","Emory University Hospital (GAEM)","GAEM","TX1","LU",30322,"race_unknown_allc2",0
"73","Florida Hospital Medical Center (FLFH)","FLFH","TX1","LU",32803,"asian_allc2",0
"74","Florida Hospital Medical Center (FLFH)","FLFH","TX1","LU",32803,"african_american_allc2",100
