"","entire_name","ctr_cd","ctr_ty","org","zipcode","gender_category","gender_category_percent"
"1","Advocate Christ Medical Center (ILCH)","ILCH","TX1","LU",60453,"female_allc2",50
"2","Advocate Christ Medical Center (ILCH)","ILCH","TX1","LU",60453,"male_allc2",50
"3","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LU",85719,"female_allc2",57.142857143
"4","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LU",85719,"male_allc2",42.857142857
"5","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LU",63110,"female_allc2",58.333333333
"6","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LU",63110,"male_allc2",41.666666667
"7","Baylor University Medical Center (TXTX)","TXTX","TX1","LU",75246,"female_allc2",77.272727273
"8","Baylor University Medical Center (TXTX)","TXTX","TX1","LU",75246,"male_allc2",22.727272727
"9","Boston Children's Hospital (MACH)","MACH","TX1","LU",2115,"female_allc2",100
"10","Boston Children's Hospital (MACH)","MACH","TX1","LU",2115,"male_allc2",0
"11","Brigham and Women's Hospital (MAPB)","MAPB","TX1","LU",2115,"female_allc2",58.333333333
"12","Brigham and Women's Hospital (MAPB)","MAPB","TX1","LU",2115,"male_allc2",41.666666667
"13","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LU",90211,"female_allc2",63.157894737
"14","Cedars-Sinai Medical Center (CACS)","CACS","TX1","LU",90211,"male_allc2",36.842105263
"15","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LU",77030,"female_allc2",68.75
"16","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","LU",77030,"male_allc2",31.25
"17","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LU",45229,"female_allc2",0
"18","Children's Hospital Medical Center (OHCM)","OHCM","TX1","LU",45229,"male_allc2",100
"19","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LU",19104,"female_allc2",66.666666667
"20","Children's Hospital of Philadelphia (PACP)","PACP","TX1","LU",19104,"male_allc2",33.333333333
"21","Duke University Hospital (NCDU)","NCDU","TX1","LU",27710,"female_allc2",35.714285714
"22","Duke University Hospital (NCDU)","NCDU","TX1","LU",27710,"male_allc2",64.285714286
"23","Emory University Hospital (GAEM)","GAEM","TX1","LU",30322,"female_allc2",80
"24","Emory University Hospital (GAEM)","GAEM","TX1","LU",30322,"male_allc2",20
"25","Florida Hospital Medical Center (FLFH)","FLFH","TX1","LU",32803,"female_allc2",100
"26","Florida Hospital Medical Center (FLFH)","FLFH","TX1","LU",32803,"male_allc2",0
"27","Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","LU",53226,"female_allc2",33.333333333
"28","Froedtert Memorial Lutheran Hospital (WISE)","WISE","TX1","LU",53226,"male_allc2",66.666666667
"29","Henry Ford Hospital (MIHF)","MIHF","TX1","LU",48202,"female_allc2",64.516129032
"30","Henry Ford Hospital (MIHF)","MIHF","TX1","LU",48202,"male_allc2",35.483870968
"31","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","LU",19104,"female_allc2",63.043478261
"32","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","LU",19104,"male_allc2",36.956521739
"33","Houston Methodist Hospital (TXMH)","TXMH","TX1","LU",77030,"female_allc2",85
"34","Houston Methodist Hospital (TXMH)","TXMH","TX1","LU",77030,"male_allc2",15
