"","entire_name","ctr_cd","ctr_ty","org","zipcode","age_category","age_category_percent"
"1","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"age_2_11_allc2",0
"2","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"age_12_17_allc2",0
"3","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"age_2_allc2",0
"4","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"age_18_34_allc2",33.333333333
"5","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"age_35_49_allc2",44.444444444
"6","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"age_50_64_allc2",22.222222222
"7","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"age_65_69_allc2",0
"8","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"age_70_allc2",0
"9","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"age_2_11_allc2",0
"10","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"age_12_17_allc2",0
"11","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"age_2_allc2",0
"12","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"age_18_34_allc2",28.571428571
"13","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"age_35_49_allc2",57.142857143
"14","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"age_50_64_allc2",14.285714286
"15","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"age_65_69_allc2",0
"16","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"age_70_allc2",0
"17","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"age_2_11_allc2",0
"18","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"age_12_17_allc2",0
"19","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"age_2_allc2",0
"20","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"age_18_34_allc2",0
"21","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"age_35_49_allc2",100
"22","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"age_50_64_allc2",0
"23","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"age_65_69_allc2",0
"24","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"age_70_allc2",0
"25","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"age_2_11_allc2",0
"26","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"age_12_17_allc2",0
"27","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"age_2_allc2",0
"28","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"age_18_34_allc2",0
"29","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"age_35_49_allc2",100
"30","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"age_50_64_allc2",0
"31","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"age_65_69_allc2",0
"32","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"age_70_allc2",0
"33","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"age_2_11_allc2",0
"34","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"age_12_17_allc2",0
"35","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"age_2_allc2",0
"36","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"age_18_34_allc2",0
"37","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"age_35_49_allc2",0
"38","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"age_50_64_allc2",100
"39","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"age_65_69_allc2",0
"40","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"age_70_allc2",0
"41","Baylor University Medical Center (TXTX)","TXTX","TX1","PA",75246,"age_2_11_allc2",0
"42","Baylor University Medical Center (TXTX)","TXTX","TX1","PA",75246,"age_12_17_allc2",0
"43","Baylor University Medical Center (TXTX)","TXTX","TX1","PA",75246,"age_2_allc2",0
"44","Baylor University Medical Center (TXTX)","TXTX","TX1","PA",75246,"age_18_34_allc2",0
"45","Baylor University Medical Center (TXTX)","TXTX","TX1","PA",75246,"age_35_49_allc2",0
"46","Baylor University Medical Center (TXTX)","TXTX","TX1","PA",75246,"age_50_64_allc2",100
"47","Baylor University Medical Center (TXTX)","TXTX","TX1","PA",75246,"age_65_69_allc2",0
"48","Baylor University Medical Center (TXTX)","TXTX","TX1","PA",75246,"age_70_allc2",0
"49","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","PA",2215,"age_2_11_allc2",0
"50","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","PA",2215,"age_12_17_allc2",0
"51","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","PA",2215,"age_2_allc2",0
"52","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","PA",2215,"age_18_34_allc2",44.444444444
"53","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","PA",2215,"age_35_49_allc2",55.555555556
"54","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","PA",2215,"age_50_64_allc2",0
"55","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","PA",2215,"age_65_69_allc2",0
"56","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","PA",2215,"age_70_allc2",0
"57","Boston Children's Hospital (MACH)","MACH","TX1","PA",2115,"age_2_11_allc2",0
"58","Boston Children's Hospital (MACH)","MACH","TX1","PA",2115,"age_12_17_allc2",0
"59","Boston Children's Hospital (MACH)","MACH","TX1","PA",2115,"age_2_allc2",100
"60","Boston Children's Hospital (MACH)","MACH","TX1","PA",2115,"age_18_34_allc2",0
"61","Boston Children's Hospital (MACH)","MACH","TX1","PA",2115,"age_35_49_allc2",0
"62","Boston Children's Hospital (MACH)","MACH","TX1","PA",2115,"age_50_64_allc2",0
"63","Boston Children's Hospital (MACH)","MACH","TX1","PA",2115,"age_65_69_allc2",0
"64","Boston Children's Hospital (MACH)","MACH","TX1","PA",2115,"age_70_allc2",0
"65","Children's Hospital Medical Center (OHCM)","OHCM","TX1","PA",45229,"age_2_11_allc2",50
"66","Children's Hospital Medical Center (OHCM)","OHCM","TX1","PA",45229,"age_12_17_allc2",0
"67","Children's Hospital Medical Center (OHCM)","OHCM","TX1","PA",45229,"age_2_allc2",50
"68","Children's Hospital Medical Center (OHCM)","OHCM","TX1","PA",45229,"age_18_34_allc2",0
"69","Children's Hospital Medical Center (OHCM)","OHCM","TX1","PA",45229,"age_35_49_allc2",0
"70","Children's Hospital Medical Center (OHCM)","OHCM","TX1","PA",45229,"age_50_64_allc2",0
"71","Children's Hospital Medical Center (OHCM)","OHCM","TX1","PA",45229,"age_65_69_allc2",0
"72","Children's Hospital Medical Center (OHCM)","OHCM","TX1","PA",45229,"age_70_allc2",0
"73","Duke University Hospital (NCDU)","NCDU","TX1","PA",27710,"age_2_11_allc2",16.666666667
"74","Duke University Hospital (NCDU)","NCDU","TX1","PA",27710,"age_12_17_allc2",16.666666667
"75","Duke University Hospital (NCDU)","NCDU","TX1","PA",27710,"age_2_allc2",0
"76","Duke University Hospital (NCDU)","NCDU","TX1","PA",27710,"age_18_34_allc2",16.666666667
"77","Duke University Hospital (NCDU)","NCDU","TX1","PA",27710,"age_35_49_allc2",33.333333333
"78","Duke University Hospital (NCDU)","NCDU","TX1","PA",27710,"age_50_64_allc2",16.666666667
"79","Duke University Hospital (NCDU)","NCDU","TX1","PA",27710,"age_65_69_allc2",0
"80","Duke University Hospital (NCDU)","NCDU","TX1","PA",27710,"age_70_allc2",0
"81","Georgetown University Medical Center (DCGU)","DCGU","TX1","PA",20007,"age_2_11_allc2",25
"82","Georgetown University Medical Center (DCGU)","DCGU","TX1","PA",20007,"age_12_17_allc2",6.25
"83","Georgetown University Medical Center (DCGU)","DCGU","TX1","PA",20007,"age_2_allc2",6.25
"84","Georgetown University Medical Center (DCGU)","DCGU","TX1","PA",20007,"age_18_34_allc2",12.5
"85","Georgetown University Medical Center (DCGU)","DCGU","TX1","PA",20007,"age_35_49_allc2",50
"86","Georgetown University Medical Center (DCGU)","DCGU","TX1","PA",20007,"age_50_64_allc2",0
"87","Georgetown University Medical Center (DCGU)","DCGU","TX1","PA",20007,"age_65_69_allc2",0
"88","Georgetown University Medical Center (DCGU)","DCGU","TX1","PA",20007,"age_70_allc2",0
"89","Hackensack University Medical Center (NJHK)","NJHK","TX1","PA",7601,"age_2_11_allc2",0
"90","Hackensack University Medical Center (NJHK)","NJHK","TX1","PA",7601,"age_12_17_allc2",0
"91","Hackensack University Medical Center (NJHK)","NJHK","TX1","PA",7601,"age_2_allc2",0
"92","Hackensack University Medical Center (NJHK)","NJHK","TX1","PA",7601,"age_18_34_allc2",33.333333333
"93","Hackensack University Medical Center (NJHK)","NJHK","TX1","PA",7601,"age_35_49_allc2",33.333333333
"94","Hackensack University Medical Center (NJHK)","NJHK","TX1","PA",7601,"age_50_64_allc2",33.333333333
"95","Hackensack University Medical Center (NJHK)","NJHK","TX1","PA",7601,"age_65_69_allc2",0
"96","Hackensack University Medical Center (NJHK)","NJHK","TX1","PA",7601,"age_70_allc2",0
"97","Henry Ford Hospital (MIHF)","MIHF","TX1","PA",48202,"age_2_11_allc2",0
"98","Henry Ford Hospital (MIHF)","MIHF","TX1","PA",48202,"age_12_17_allc2",0
"99","Henry Ford Hospital (MIHF)","MIHF","TX1","PA",48202,"age_2_allc2",0
"100","Henry Ford Hospital (MIHF)","MIHF","TX1","PA",48202,"age_18_34_allc2",44.444444444
"101","Henry Ford Hospital (MIHF)","MIHF","TX1","PA",48202,"age_35_49_allc2",44.444444444
"102","Henry Ford Hospital (MIHF)","MIHF","TX1","PA",48202,"age_50_64_allc2",11.111111111
"103","Henry Ford Hospital (MIHF)","MIHF","TX1","PA",48202,"age_65_69_allc2",0
"104","Henry Ford Hospital (MIHF)","MIHF","TX1","PA",48202,"age_70_allc2",0
"105","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","PA",19104,"age_2_11_allc2",0
"106","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","PA",19104,"age_12_17_allc2",0
"107","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","PA",19104,"age_2_allc2",0
"108","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","PA",19104,"age_18_34_allc2",23.076923077
"109","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","PA",19104,"age_35_49_allc2",46.153846154
