"","entire_name","ctr_cd","ctr_ty","org","zipcode","blood_type_category","blood_type_category_percent"
"1","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"blood_type_ab_allc2",0
"2","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"blood_type_a_allc2",44.444444444
"3","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"blood_type_b_allc2",11.111111111
"4","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"blood_type_o_allc2",44.444444444
"5","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"blood_type_unknown_allc2",0
"6","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"blood_type_ab_allc2",0
"7","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"blood_type_a_allc2",28.571428571
"8","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"blood_type_b_allc2",0
"9","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"blood_type_o_allc2",71.428571429
"10","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"blood_type_unknown_allc2",0
"11","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"blood_type_ab_allc2",0
"12","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"blood_type_a_allc2",50
"13","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"blood_type_b_allc2",50
"14","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"blood_type_o_allc2",0
"15","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"blood_type_unknown_allc2",0
"16","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"blood_type_ab_allc2",0
"17","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"blood_type_a_allc2",25
"18","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"blood_type_b_allc2",0
"19","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"blood_type_o_allc2",75
"20","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"blood_type_unknown_allc2",0
"21","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"blood_type_ab_allc2",0
"22","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"blood_type_a_allc2",0
"23","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"blood_type_b_allc2",0
"24","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"blood_type_o_allc2",100
"25","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"blood_type_unknown_allc2",0
