"","entire_name","ctr_cd","ctr_ty","release_date","org","newlistings_center_time1","newlistings_center_time2","newlistings_center_all","newlistings_regional","newlistings_usa","endlistings_center_time1","endlistings_center_time2","endlistings_center_all","endlistings_regional","endlistings_usa","deteriorated_center_time1","deteriorated_center_time2","deteriorated_center_all","deteriorated_regional","deteriorated_usa","died_center_time1","died_center_time2","died_center_all","died_regional","died_usa","other_center_time1","other_center_time2","other_center_all","other_regional","other_usa","recovered_center_time1","recovered_center_time2","recovered_center_all","recovered_regional","recovered_usa","transfer_center_time1","transfer_center_time2","transfer_center_all","transfer_regional","transfer_usa","deceased_donor_center_time1","deceased_donor_center_time2","deceased_donor_center_all","deceased_donor_regional","deceased_donor_usa","living_donor_center_time1","living_donor_center_time2","living_donor_center_all","living_donor_regional","living_donor_usa","transplant_other_center_time1","transplant_other_center_time2","transplant_other_center_all","transplant_other_regional","transplant_other_center_usa","start_waitlist_center_time1","start_waitlist_center_time2","start_waitlist_center_all","start_waitlist_regional","start_waitlist_usa","newlistings_percent_mortality","newlistings_percent_deteriorated","newlistings_percent_transfer","newlistings_percent_living_donor","newlistings_percent_deceased_donor","newlistings_percent_recovered","living_deceased_graft_ratio","zipcode","lat","lng","center_type_na","release_date_na","organ_na","age_2_11_allc2","age_2_11_newc2","age_12_17_allc2","age_12_17_newc2","age_2_allc2","age_2_newc2","age_18_34_allc2","age_18_34_newc2","age_35_49_allc2","age_35_49_newc2","age_50_64_allc2","age_50_64_newc2","age_65_69_allc2","age_65_69_newc2","age_70_allc2","age_70_newc2","all_allc2","all_newc2","blood_type_ab_allc2","blood_type_ab_newc2","blood_type_a_allc2","blood_type_a_newc2","blood_type_b_allc2","blood_type_b_newc2","blood_type_o_allc2","blood_type_o_newc2","blood_type_unknown_allc2","blood_type_unknown_newc2","female_allc2","female_newc2","male_allc2","male_newc2","gender_unknown_allc2","gender_unknown_newc2","cardiomyopathy_allc2","cardiomyopathy_newc2","congenital_heart_disease_allc2","congenital_heart_disease_newc2","coronary_artery_disease_allc2","coronary_artery_disease_newc2","primary_disease_missing_allc2","primary_disease_missing_newc2","primary_disease_other_allc2","primary_disease_other_newc2","retransplant_graft_failure_allc2","retransplant_graft_failure_newc2","valvular_heart_disease_allc2","valvular_heart_disease_newc2","functional_bowel_problem_allc2","functional_bowel_problem_newc2","primary_disease_missing_allc2_2","primary_disease_missing_newc2_2","primary_disease_other_allc2_2","primary_disease_other_newc2_2","retransplant_graft_failure_allc2_2","retransplant_graft_failure_newc2_2","short_gut_syndrome_allc2","short_gut_syndrome_newc2","diabetes_allc2","diabetes_newc2","glomerular_diseases_allc2","glomerular_diseases_newc2","hypertensive_nephrosclerosis_allc2","hypertensive_nephrosclerosis_newc2","primary_disease_missing_allc2_3","primary_disease_missing_newc2_3","neoplasms_allc2","neoplasms_newc2","primary_disease_other_allc2_3","primary_disease_other_newc2_3","polycystic_kidneys_allc2","polycystic_kidneys_newc2","renovascular_vascular_diseases_allc2","renovascular_vascular_diseases_newc2","retransplant_graft_failure_allc2_3","retransplant_graft_failure_newc2_3","tubular_and_interstitial_diseases_allc2","tubular_and_interstitial_diseases_newc2","acute_hepatic_necrosis_allc2","acute_hepatic_necrosis_newc2","biliary_atresia_allc2","biliary_atresia_newc2","cholestatic_liver_disease_cirrhosis_allc2","cholestatic_liver_disease_cirrhosis_newc2","malignant_neoplasms_allc2","malignant_neoplasms_newc2","metabolic_diseases_allc2","metabolic_diseases_newc2","primary_disease_missing_allc2_4","primary_disease_missing_newc2_4","non_cholestatic_cirrhosis_allc2","non_cholestatic_cirrhosis_newc2","primary_disease_other_allc2_4","primary_disease_other_newc2_4","congenital_disease_allc2","congenital_disease_newc2","cystic_fibrosis_allc2","cystic_fibrosis_newc2","emphysema_copd_allc2","emphysema_copd_newc2","idiopathic_pulmonary_fibrosis_allc2","idiopathic_pulmonary_fibrosis_newc2","primary_disease_missing_allc2_5","primary_disease_missing_newc2_5","primary_disease_other_allc2_5","primary_disease_other_newc2_5","idiopathic_pulmonary_arterial_hypertension_allc2","idiopathic_pulmonary_arterial_hypertension_newc2","retransplant_graft_failure_allc2_4","retransplant_graft_failure_newc2_4","meld_11_14_allc2","meld_11_14_newc2","meld_15_20_allc2","meld_15_20_newc2","meld_21_30_allc2","meld_21_30_newc2","meld_31_40_allc2","meld_31_40_newc2","meld_6_10_allc2","meld_6_10_newc2","on_waitlist_allc2","on_waitlist_newc2","peld_11_14_allc2","peld_11_14_newc2","peld_15_20_allc2","peld_15_20_newc2","peld_21_30_allc2","peld_21_30_newc2","peld_31_allc2","peld_31_newc2","peld_10_allc2","peld_10_newc2","pra_10_79_allc2","pra_10_79_newc2","pra_80_allc2","pra_80_newc2","pra_0_9_allc2","pra_0_9_newc2","pra_unknown_allc2","pra_unknown_newc2","previous_tx_no_allc2","previous_tx_no_newc2","previous_tx_unknown_allc2","previous_tx_unknown_newc2","previous_tx_yes_allc2","previous_tx_yes_newc2","diabetes_onset_20_years_allc2","diabetes_onset_20_years_newc2","diabetes_onset_20_25_allc2","diabetes_onset_20_25_newc2","diabetes_onset_25_30_allc2","diabetes_onset_25_30_newc2","diabetes_onset_30_allc2","diabetes_onset_30_newc2","diabetes_onset_unknown_allc2","diabetes_onset_unknown_newc2","asian_allc2","asian_newc2","african_american_allc2","african_american_newc2","hispanic_latino_allc2","hispanic_latino_newc2","race_other_allc2","race_other_newc2","race_unknown_allc2","race_unknown_newc2","white_allc2","white_newc2","status_1a_allc2","status_1a_newc2","status_1b_allc2","status_1b_newc2","old_status_1_allc2","old_status_1_newc2","status_2a_allc2","status_2a_newc2","status_2b_allc2","status_2b_newc2","status_2_allc2","status_2_newc2","status_3_allc2","status_3_newc2","temporarily_inactive_allc2","temporarily_inactive_newc2","congenital_familial_metabolic_allc2","congenital_familial_metabolic_newc2"
"1","Albany Medical Center Hospital (NYAM)","NYAM","TX1",44046.7916666667,"PA",2,1,10,28.455284553,43.638850889,10,9,90,94.308943089,94.801641587,0,0,0,0.8130081301,5.0615595075,0,0,0,4.0650406504,1.7783857729,1,0,0,19.512195122,19.699042408,0,0,0,0,1.5047879617,0,0,0,0,0.683994528,0,2,20,8.9430894309,19.425444596,0,0,0,0,0,0,0,0,0.8130081301,0.683994528,9,10,100,100,100,0,0,0,0,200,0,0,12208,42.65,-73.81,"TX1","44046.791666666664","PA","0","0","0","0","0","0","33.333333333","0","44.444444444","0","22.222222222","100","0","0","0","0","100","100","0","0","44.444444444","0","11.111111111","0","44.444444444","100","0","0","33.333333333","100","66.666666667","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","22.222222222","0","0","0","77.777777778","100","22.222222222","0","22.222222222","0","22.222222222","0","33.333333333","100","0","0","0","0","11.111111111","100","11.111111111","0","0","0","0","0","77.777777778","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2","Allegheny General Hospital (PAAG)","PAAG","TX1",44046.7916666667,"PA",1,1,11.111111111,42.98245614,43.638850889,9,7,77.777777778,91.228070175,94.801641587,1,0,0,5.2631578947,5.0615595075,0,0,0,1.7543859649,1.7783857729,4,3,33.333333333,17.543859649,19.699042408,0,0,0,4.3859649123,1.5047879617,0,0,0,0.8771929825,0.683994528,1,0,0,20.175438596,19.425444596,0,0,0,0,0,0,0,0,1.7543859649,0.683994528,14,9,100,100,100,0,0,0,0,0,0,NA,15212,40.47,-80.01,"TX1","44046.791666666664","PA","0","0","0","0","0","0","28.571428571","0","57.142857143","100","14.285714286","0","0","0","0","0","100","100","0","0","28.571428571","100","0","0","71.428571429","0","0","0","71.428571429","100","28.571428571","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","42.857142857","0","0","0","57.142857143","100","14.285714286","0","42.857142857","0","0","0","42.857142857","100","0","0","0","0","0","0","0","0","0","0","0","0","100","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3","AU Medical Center, Inc. (GAMC)","GAMC","TX1",44046.7916666667,"PA",0,0,0,108.82352941,43.638850889,4,2,50,94.117647059,94.801641587,1,0,0,11.764705882,5.0615595075,0,0,0,2.9411764706,1.7783857729,0,1,25,35.294117647,19.699042408,0,0,0,2.9411764706,1.5047879617,0,0,0,0,0.683994528,0,1,25,58.823529412,19.425444596,0,0,0,0,0,0,0,0,2.9411764706,0.683994528,5,4,100,100,100,NA,NA,NA,NA,Inf,NA,0,30912,33.469,-81.989,"TX1","44046.791666666664","PA","0","-","0","-","0","-","0","-","100","-","0","-","0","-","0","-","100","-","0","-","50","-","50","-","0","-","0","-","50","-","50","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","0","-","100","-","50","-","0","-","50","-","0","-","0","-","0","-","100","-","0","-","0","-","0","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1",44046.7916666667,"PA",2,0,0,29.6875,43.638850889,6,4,66.666666667,96.875,94.801641587,0,1,16.666666667,3.125,5.0615595075,0,0,0,1.5625,1.7783857729,1,1,16.666666667,17.1875,19.699042408,0,0,0,1.5625,1.5047879617,0,0,0,0,0.683994528,1,0,0,9.375,19.425444596,0,0,0,0,0,0,0,0,0,0.683994528,6,6,100,100,100,NA,Inf,NA,NA,NA,NA,NA,85006,33.47,-112.05,"TX1","44046.791666666664","PA","0","-","0","-","0","-","0","-","100","-","0","-","0","-","0","-","100","-","0","-","25","-","0","-","75","-","0","-","50","-","50","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","25","-","0","-","75","-","0","-","50","-","25","-","25","-","0","-","0","-","0","-","25","-","0","-","0","-","75","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","Barnes-Jewish Hospital (MOBH)","MOBH","TX1",44046.7916666667,"PA",1,1,100,57.142857143,43.638850889,1,1,100,100,94.801641587,0,0,0,0,5.0615595075,0,0,0,0,1.7783857729,0,0,0,9.5238095238,19.699042408,0,0,0,0,1.5047879617,0,0,0,0,0.683994528,3,1,100,47.619047619,19.425444596,0,0,0,0,0,0,0,0,0,0.683994528,3,1,100,100,100,0,0,0,0,100,0,0,63110,38.63,-90.27,"TX1","44046.791666666664","PA","0","0","0","0","0","0","0","0","0","0","100","100","0","0","0","0","100","100","0","0","0","100","0","0","100","0","0","0","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","100","0","0","100","0","0","0","0","0","0","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","100","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6","Baylor University Medical Center (TXTX)","TXTX","TX1",44046.7916666667,"PA",4,3,300,50,43.638850889,1,1,100,88.095238095,94.801641587,0,0,0,2.380952381,5.0615595075,0,0,0,2.380952381,1.7783857729,0,0,0,35.714285714,19.699042408,0,0,0,0,1.5047879617,0,0,0,0,0.683994528,1,3,300,19.047619048,19.425444596,0,0,0,0,0,3,0,0,2.380952381,0.683994528,1,1,100,100,100,0,0,0,0,100,0,0,75246,32.793,-96.773,"TX1","44046.791666666664","PA","0","0","0","0","0","0","0","0","0","66.666666667","100","33.333333333","0","0","0","0","100","100","0","0","100","100","0","0","0","0","0","0","0","66.666666667","100","33.333333333","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","100","100","0","33.333333333","0","33.333333333","0","0","100","33.333333333","0","0","0","0","0","33.333333333","0","33.333333333","0","0","0","0","100","33.333333333","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1",44046.7916666667,"PA",6,1,7.6923076923,20.512820513,43.638850889,13,9,69.230769231,92.307692308,94.801641587,0,0,0,5.1282051282,5.0615595075,0,0,0,2.5641025641,1.7783857729,1,1,7.6923076923,7.6923076923,19.699042408,0,0,0,2.5641025641,1.5047879617,0,0,0,0,0.683994528,0,4,30.769230769,10.256410256,19.425444596,0,0,0,0,0,0,0,0,0,0.683994528,8,13,100,100,100,0,0,0,0,399.9999999974,0,0,2215,NA,NA,"TX1","44046.791666666664","PA","0","0","0","0","0","0","44.444444444","0","55.555555556","100","0","0","0","0","0","0","100","100","0","0","11.111111111","0","0","0","88.888888889","100","0","0","44.444444444","0","55.555555556","100","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","77.777777778","100","0","0","22.222222222","0","22.222222222","0","22.222222222","0","22.222222222","100","33.333333333","0","0","0","0","0","0","0","11.111111111","0","0","0","0","0","88.888888889","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8","Boston Children's Hospital (MACH)","MACH","TX1",44046.7916666667,"PA",0,1,100,20.512820513,43.638850889,1,1,100,92.307692308,94.801641587,0,0,0,5.1282051282,5.0615595075,0,1,100,2.5641025641,1.7783857729,0,0,0,7.6923076923,19.699042408,0,0,0,2.5641025641,1.5047879617,0,0,0,0,0.683994528,0,0,0,10.256410256,19.425444596,0,0,0,0,0,0,0,0,0,0.683994528,1,1,100,100,100,100,0,0,0,0,0,NA,2115,NA,NA,"TX1","44046.791666666664","PA","0","0","0","100","100","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0","0","0","0","0","100","100","0","0","100","0","0","100","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","100","0","0","0","0","0","0","0","0","0","0","0","0","100","100","0","0","0","0","0","0","0","0","0","0","100","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9","Children's Hospital Medical Center (OHCM)","OHCM","TX1",44046.7916666667,"PA",2,0,0,50.793650794,43.638850889,5,4,80,87.301587302,94.801641587,0,0,0,9.5238095238,5.0615595075,0,0,0,0,1.7783857729,0,0,0,19.047619048,19.699042408,0,0,0,1.5873015873,1.5047879617,0,0,0,1.5873015873,0.683994528,0,1,20,31.746031746,19.425444596,0,0,0,0,0,0,0,0,0,0.683994528,3,5,100,100,100,NA,NA,NA,NA,Inf,NA,0,45229,39.15,-84.49,"TX1","44046.791666666664","PA","50","-","0","-","50","-","0","-","0","-","0","-","0","-","0","-","100","-","0","-","50","-","25","-","25","-","0","-","25","-","75","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","100","-","0","-","0","-","0","-","0","-","0","-","0","-","100","-","0","-","25","-","0","-","0","-","0","-","75","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10","Duke University Hospital (NCDU)","NCDU","TX1",44046.7916666667,"PA",5,5,100,60.416666667,43.638850889,5,6,120,104.16666667,94.801641587,0,0,0,8.3333333333,5.0615595075,0,0,0,2.0833333333,1.7783857729,1,1,20,27.083333333,19.699042408,0,1,20,2.0833333333,1.5047879617,0,0,0,0,0.683994528,2,2,40,16.666666667,19.425444596,0,0,0,0,0,0,0,0,0,0.683994528,3,5,100,100,100,0,0,0,0,40,20,0,27710,NA,NA,"TX1","44046.791666666664","PA","16.666666667","0","16.666666667","20","0","0","16.666666667","40","33.333333333","40","16.666666667","0","0","0","0","0","100","100","0","0","33.333333333","20","16.666666667","0","50","80","0","0","33.333333333","20","66.666666667","80","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","83.333333333","60","0","0","16.666666667","40","0","0","16.666666667","20","16.666666667","0","16.666666667","20","50","60","0","0","16.666666667","0","0","0","0","0","0","0","83.333333333","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
