"","...2","entire_name","ctr_cd","ctr_ty","org","zipcode","age_category","age_category_percent"
"1",1,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"2 to 11 Years",0
"2",2,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"12 to 17 Years",0
"3",3,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"Less Than 2 Years",0
"4",4,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"18 to 34 Years",25
"5",5,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"35 to 49 Years",50
"6",6,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"50 to 64 Years",25
"7",7,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"65 to 69 Years",0
"8",8,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"More Than 70 Years",0
"9",9,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"2 to 11 Years",0
"10",10,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"12 to 17 Years",0
"11",11,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"Less Than 2 Years",0
"12",12,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"18 to 34 Years",0
"13",13,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"35 to 49 Years",50
"14",14,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"50 to 64 Years",50
"15",15,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"65 to 69 Years",0
"16",16,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"More Than 70 Years",0
"17",17,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"2 to 11 Years",0
"18",18,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"12 to 17 Years",0
"19",19,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"Less Than 2 Years",0
"20",20,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"18 to 34 Years",33.333333333
"21",21,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"35 to 49 Years",66.666666667
"22",22,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"50 to 64 Years",0
"23",23,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"65 to 69 Years",0
"24",24,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"More Than 70 Years",0
"25",25,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"2 to 11 Years",0
"26",26,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"12 to 17 Years",0
"27",27,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"Less Than 2 Years",0
"28",28,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"18 to 34 Years",30
"29",29,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"35 to 49 Years",50
"30",30,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"50 to 64 Years",20
"31",31,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"65 to 69 Years",0
"32",32,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"More Than 70 Years",0
"33",33,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"2 to 11 Years",0
"34",34,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"12 to 17 Years",0
"35",35,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"Less Than 2 Years",0
"36",36,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"18 to 34 Years",0
"37",37,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"35 to 49 Years",100
"38",38,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"50 to 64 Years",0
"39",39,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"65 to 69 Years",0
"40",40,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"More Than 70 Years",0
"41",41,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"2 to 11 Years",0
"42",42,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"12 to 17 Years",0
"43",43,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"Less Than 2 Years",0
"44",44,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"18 to 34 Years",50
"45",45,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"35 to 49 Years",0
"46",46,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"50 to 64 Years",50
"47",47,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"65 to 69 Years",0
"48",48,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"More Than 70 Years",0
"49",49,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"2 to 11 Years",0
"50",50,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"12 to 17 Years",0
"51",51,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"Less Than 2 Years",0
"52",52,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"18 to 34 Years",0
"53",53,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"35 to 49 Years",33.333333333
"54",54,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"50 to 64 Years",66.666666667
"55",55,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"65 to 69 Years",0
"56",56,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"More Than 70 Years",0
"57",1,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"2 to 11 Years",0
"58",2,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"12 to 17 Years",0
"59",3,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"Less Than 2 Years",0
"60",4,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"18 to 34 Years",0
"61",5,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"35 to 49 Years",25
"62",6,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"50 to 64 Years",37.5
"63",7,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"65 to 69 Years",37.5
"64",8,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"More Than 70 Years",0
"65",9,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"2 to 11 Years",0
"66",10,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"12 to 17 Years",0
"67",11,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"Less Than 2 Years",0
"68",12,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"18 to 34 Years",9.2592592593
