"","...2","entire_name","ctr_cd","ctr_ty","org","zipcode","blood_type_category","blood_type_category_percent"
"1",1,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"AB",0
"2",2,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"A",25
"3",3,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"B",0
"4",4,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"O",75
"5",5,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"Unknown",0
"6",6,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"AB",0
"7",7,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"A",50
"8",8,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"B",0
"9",9,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"O",50
"10",10,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"Unknown",0
"11",11,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"AB",0
"12",12,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"A",16.666666667
"13",13,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"B",50
"14",14,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"O",33.333333333
"15",15,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"Unknown",0
"16",16,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"AB",0
"17",17,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"A",30
"18",18,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"B",0
"19",19,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"O",70
"20",20,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"Unknown",0
"21",21,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart-Lung",44195,"AB",NA
"22",22,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart-Lung",44195,"A",NA
"23",23,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart-Lung",44195,"B",NA
"24",24,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart-Lung",44195,"O",NA
"25",25,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart-Lung",44195,"Unknown",NA
"26",26,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart-Lung",35233,"AB",NA
"27",27,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart-Lung",35233,"A",NA
"28",28,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart-Lung",35233,"B",NA
"29",29,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart-Lung",35233,"O",NA
"30",30,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart-Lung",35233,"Unknown",NA
"31",31,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"AB",0
"32",32,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"A",0
"33",33,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"B",0
"34",34,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"O",100
"35",35,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"Unknown",0
"36",36,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"AB",0
"37",37,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"A",0
"38",38,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"B",50
"39",39,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"O",50
"40",40,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"Unknown",0
"41",41,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart-Lung",21201,"AB",NA
"42",42,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart-Lung",21201,"A",NA
"43",43,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart-Lung",21201,"B",NA
"44",44,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart-Lung",21201,"O",NA
"45",45,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart-Lung",21201,"Unknown",NA
"46",46,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"AB",0
"47",47,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"A",0
"48",48,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"B",33.333333333
"49",49,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"O",66.666666667
"50",50,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"Unknown",0
"51",1,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"AB",0
"52",2,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"A",50
"53",3,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"B",0
"54",4,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"O",50
"55",5,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"Unknown",0
"56",6,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"AB",1.8518518519
"57",7,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"A",33.333333333
"58",8,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"B",14.814814815
"59",9,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"O",50
"60",10,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"Unknown",0
"61",11,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"AB",0
"62",12,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"A",0
"63",13,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"B",0
"64",14,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"O",100
"65",15,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"Unknown",0
"66",16,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"AB",3.8461538462
"67",17,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"A",26.923076923
"68",18,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"B",7.6923076923
"69",19,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"O",61.538461538
"70",20,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"Unknown",0
