"","...2","entire_name","ctr_cd","ctr_ty","org","zipcode","race_category","race_category_percent"
"1",1,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"Asian or Pacific Islander",0
"2",2,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"Black or African American",50
"3",3,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"Hispanic or Latinx",50
"4",4,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"White or Caucasian",0
"5",5,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"Other",0
"6",6,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"Unknown",0
"7",7,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"Asian or Pacific Islander",0
"8",8,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"Black or African American",0
"9",9,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"Hispanic or Latinx",100
"10",10,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"White or Caucasian",0
"11",11,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"Other",0
"12",12,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"Unknown",0
"13",13,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"Asian or Pacific Islander",0
"14",14,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"Black or African American",16.666666667
"15",15,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"Hispanic or Latinx",33.333333333
"16",16,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"White or Caucasian",50
"17",17,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"Other",0
"18",18,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"Unknown",0
"19",19,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"Asian or Pacific Islander",10
"20",20,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"Black or African American",0
"21",21,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"Hispanic or Latinx",10
"22",22,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"White or Caucasian",80
"23",23,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"Other",0
"24",24,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"Unknown",0
"25",25,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart-Lung",44195,"Asian or Pacific Islander",NA
"26",26,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart-Lung",44195,"Black or African American",NA
"27",27,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart-Lung",44195,"Hispanic or Latinx",NA
"28",28,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart-Lung",44195,"White or Caucasian",NA
