"","...2","entire_name","ctr_cd","ctr_ty","org","zipcode","gender_category","gender_category_percent"
"1",1,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"Female",75
"2",2,"Houston Methodist Hospital (TXMH)","TXMH","TX1","Heart-Lung",77030,"Male",25
"3",3,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"Female",50
"4",4,"Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","Heart-Lung",33136,"Male",50
"5",5,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"Female",83.333333333
"6",6,"Rochester Methodist Hospital (Mayo Clinic) (MNMC)","MNMC","TX1","Heart-Lung",55902,"Male",16.666666667
"7",7,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"Female",70
"8",8,"Stanford Health Care (CASU)","CASU","TX1","Heart-Lung",94305,"Male",30
"9",9,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart-Lung",44195,"Female",NA
"10",10,"The Cleveland Clinic Foundation (OHCC)","OHCC","TX1","Heart-Lung",44195,"Male",NA
"11",11,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart-Lung",35233,"Female",NA
"12",12,"University of Alabama Hospital (ALUA)","ALUA","TX1","Heart-Lung",35233,"Male",NA
"13",13,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"Female",33.333333333
"14",14,"University of California San Diego Medical Center (CASD)","CASD","TX1","Heart-Lung",92037,"Male",66.666666667
"15",15,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"Female",50
"16",16,"University of California San Francisco Medical Center (CASF)","CASF","TX1","Heart-Lung",94118,"Male",50
"17",17,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart-Lung",21201,"Female",NA
"18",18,"University of Maryland Medical System (MDUM)","MDUM","TX1","Heart-Lung",21201,"Male",NA
"19",19,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"Female",66.666666667
"20",20,"UT Southwestern Medical Center/ (TXSP)","TXSP","TX1","Heart-Lung",75390,"Male",33.333333333
"21",1,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"Female",0
"22",2,"Abbott Northwestern Hospital (MNAN)","MNAN","TX1","Heart",55407,"Male",100
"23",3,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"Female",20.37037037
"24",4,"Advocate Christ Medical Center (ILCH)","ILCH","TX1","Heart",60453,"Male",79.62962963
"25",5,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"Female",0
"26",6,"Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","Heart",19803,"Male",100
"27",7,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"Female",7.6923076923
"28",8,"Allegheny General Hospital (PAAG)","PAAG","TX1","Heart",15212,"Male",92.307692308
"29",9,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"Female",46.875
"30",10,"Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","Heart",60611,"Male",53.125
"31",11,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"Female",50
"32",12,"Arkansas Children's Hospital (ARCH)","ARCH","TX1","Heart",72202,"Male",50
"33",13,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"Female",13.636363636
"34",14,"Aurora St. Luke's Medical Center (WISL)","WISL","TX1","Heart",53215,"Male",86.363636364
"35",15,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"Female",33.333333333
"36",16,"Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","Heart",85719,"Male",66.666666667
"37",17,"Baptist Medical Center (ARBH)","ARBH","TX1","Heart",NA,"Female",16.666666667
"38",18,"Baptist Medical Center (ARBH)","ARBH","TX1","Heart",NA,"Male",83.333333333
"39",19,"Baptist Memorial Hospital (TNBM)","TNBM","TX1","Heart",NA,"Female",32
"40",20,"Baptist Memorial Hospital (TNBM)","TNBM","TX1","Heart",NA,"Male",68
"41",21,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"Female",36.111111111
"42",22,"Barnes-Jewish Hospital (MOBH)","MOBH","TX1","Heart",63110,"Male",63.888888889
"43",23,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"Female",24.324324324
"44",24,"Baylor University Medical Center (TXTX)","TXTX","TX1","Heart",75246,"Male",75.675675676
"45",25,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"Female",47.058823529
"46",26,"Boston Children's Hospital (MACH)","MACH","TX1","Heart",2115,"Male",52.941176471
"47",27,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"Female",26.470588235
"48",28,"Brigham and Women's Hospital (MAPB)","MAPB","TX1","Heart",2115,"Male",73.529411765
"49",29,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"Female",15.384615385
"50",30,"California Pacific Medical Center (CAPM)","CAPM","TX1","Heart",94114,"Male",84.615384615
"51",31,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"Female",50
"52",32,"Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","Heart",63104,"Male",50
"53",33,"Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","Heart",NA,"Female",0
"54",34,"Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","Heart",NA,"Male",100
"55",35,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"Female",27.586206897
"56",36,"Carolinas Medical Center (NCCM)","NCCM","TX1","Heart",28203,"Male",72.413793103
"57",37,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"Female",26.168224299
"58",38,"Cedars-Sinai Medical Center (CACS)","CACS","TX1","Heart",90211,"Male",73.831775701
"59",39,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"Female",10.344827586
"60",40,"CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","Heart",77030,"Male",89.655172414
"61",41,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"Female",66.666666667
"62",42,"Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","Heart",30322,"Male",33.333333333
"63",43,"Children's Hospital & Medical Center (NECH)","NECH","TX1","Heart",NA,"Female",100
"64",44,"Children's Hospital & Medical Center (NECH)","NECH","TX1","Heart",NA,"Male",0
"65",45,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"Female",50
"66",46,"Children's Hospital Colorado (COCH)","COCH","TX1","Heart",80045,"Male",50
"67",47,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"Female",37.5
"68",48,"Children's Hospital Medical Center (OHCM)","OHCM","TX1","Heart",45229,"Male",62.5
"69",49,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"Female",50
"70",50,"Children's Hospital of Michigan (MICH)","MICH","TX1","Heart",48201,"Male",50
"71",51,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"Female",50
"72",52,"Children's Hospital of Philadelphia (PACP)","PACP","TX1","Heart",19104,"Male",50
"73",53,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"Female",41.666666667
"74",54,"Children's Hospital of Wisconsin (WICH)","WICH","TX1","Heart",53226,"Male",58.333333333
"75",55,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"Female",57.142857143
"76",56,"Children's Medical Center of Dallas (TXCM)","TXCM","TX1","Heart",75235,"Male",42.857142857
"77",57,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Heart",64108,"Female",71.428571429
"78",58,"Children's Mercy Hospital (MOCM)","MOCM","TX1","Heart",64108,"Male",28.571428571
"79",59,"Children's Minnesota (MNCM)","MNCM","TX1","Heart",NA,"Female",22.222222222
"80",60,"Children's Minnesota (MNCM)","MNCM","TX1","Heart",NA,"Male",77.777777778
"81",61,"Children's National Medical Center (DCCH)","DCCH","TX1","Heart",20010,"Female",75
"82",62,"Children's National Medical Center (DCCH)","DCCH","TX1","Heart",20010,"Male",25
"83",63,"Children's of Alabama (ALCH)","ALCH","TX1","Heart",35233,"Female",75
"84",64,"Children's of Alabama (ALCH)","ALCH","TX1","Heart",35233,"Male",25
"85",65,"Childrens Hospital Los Angeles (CACL)","CACL","TX1","Heart",90027,"Female",83.333333333
"86",66,"Childrens Hospital Los Angeles (CACL)","CACL","TX1","Heart",90027,"Male",16.666666667
"87",67,"Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","Heart",33331,"Female",6.6666666667
"88",68,"Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","Heart",33331,"Male",93.333333333
"89",69,"Duke University Hospital (NCDU)","NCDU","TX1","Heart",27710,"Female",22.448979592
"90",70,"Duke University Hospital (NCDU)","NCDU","TX1","Heart",27710,"Male",77.551020408
