"","entire_name","ctr_cd","ctr_ty","org","zipcode","blood_type_category","blood_type_category_percent"
"1","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","HR",55407,"blood_type_ab_allc2",0
"2","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","HR",55407,"blood_type_a_allc2",50
"3","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","HR",55407,"blood_type_b_allc2",0
"4","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","HR",55407,"blood_type_o_allc2",50
"5","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","HR",55407,"blood_type_unknown_allc2",0
"6","Advocate Christ Medical Center (ILCH)","ILCH","TX1","HR",60453,"blood_type_ab_allc2",1.8518518519
"7","Advocate Christ Medical Center (ILCH)","ILCH","TX1","HR",60453,"blood_type_a_allc2",33.333333333
"8","Advocate Christ Medical Center (ILCH)","ILCH","TX1","HR",60453,"blood_type_b_allc2",14.814814815
"9","Advocate Christ Medical Center (ILCH)","ILCH","TX1","HR",60453,"blood_type_o_allc2",50
"10","Advocate Christ Medical Center (ILCH)","ILCH","TX1","HR",60453,"blood_type_unknown_allc2",0
"11","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","HR",19803,"blood_type_ab_allc2",0
"12","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","HR",19803,"blood_type_a_allc2",0
"13","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","HR",19803,"blood_type_b_allc2",0
"14","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","HR",19803,"blood_type_o_allc2",100
"15","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","HR",19803,"blood_type_unknown_allc2",0
"16","Allegheny General Hospital (PAAG)","PAAG","TX1","HR",15212,"blood_type_ab_allc2",3.8461538462
"17","Allegheny General Hospital (PAAG)","PAAG","TX1","HR",15212,"blood_type_a_allc2",26.923076923
"18","Allegheny General Hospital (PAAG)","PAAG","TX1","HR",15212,"blood_type_b_allc2",7.6923076923
"19","Allegheny General Hospital (PAAG)","PAAG","TX1","HR",15212,"blood_type_o_allc2",61.538461538
"20","Allegheny General Hospital (PAAG)","PAAG","TX1","HR",15212,"blood_type_unknown_allc2",0
"21","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","HR",60611,"blood_type_ab_allc2",3.125
"22","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","HR",60611,"blood_type_a_allc2",31.25
"23","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","HR",60611,"blood_type_b_allc2",25
"24","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","HR",60611,"blood_type_o_allc2",40.625
"25","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","HR",60611,"blood_type_unknown_allc2",0
