"","entire_name","ctr_cd","ctr_ty","org","zipcode","race_category","race_category_percent"
"1","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","HR",55407,"asian_allc2",12.5
"2","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","HR",55407,"african_american_allc2",12.5
"3","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","HR",55407,"hispanic_latino_allc2",12.5
"4","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","HR",55407,"white_allc2",62.5
"5","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","HR",55407,"race_other_allc2",0
"6","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","HR",55407,"race_unknown_allc2",0
"7","Advocate Christ Medical Center (ILCH)","ILCH","TX1","HR",60453,"asian_allc2",1.8518518519
"8","Advocate Christ Medical Center (ILCH)","ILCH","TX1","HR",60453,"african_american_allc2",42.592592593
"9","Advocate Christ Medical Center (ILCH)","ILCH","TX1","HR",60453,"hispanic_latino_allc2",14.814814815
"10","Advocate Christ Medical Center (ILCH)","ILCH","TX1","HR",60453,"white_allc2",40.740740741
"11","Advocate Christ Medical Center (ILCH)","ILCH","TX1","HR",60453,"race_other_allc2",0
"12","Advocate Christ Medical Center (ILCH)","ILCH","TX1","HR",60453,"race_unknown_allc2",0
"13","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","HR",19803,"asian_allc2",0
"14","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","HR",19803,"african_american_allc2",0
"15","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","HR",19803,"hispanic_latino_allc2",0
"16","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","HR",19803,"white_allc2",100
"17","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","HR",19803,"race_other_allc2",0
"18","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","HR",19803,"race_unknown_allc2",0
"19","Allegheny General Hospital (PAAG)","PAAG","TX1","HR",15212,"asian_allc2",0
"20","Allegheny General Hospital (PAAG)","PAAG","TX1","HR",15212,"african_american_allc2",3.8461538462
"21","Allegheny General Hospital (PAAG)","PAAG","TX1","HR",15212,"hispanic_latino_allc2",0
"22","Allegheny General Hospital (PAAG)","PAAG","TX1","HR",15212,"white_allc2",96.153846154
"23","Allegheny General Hospital (PAAG)","PAAG","TX1","HR",15212,"race_other_allc2",0
"24","Allegheny General Hospital (PAAG)","PAAG","TX1","HR",15212,"race_unknown_allc2",0
"25","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","HR",60611,"asian_allc2",3.125
"26","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","HR",60611,"african_american_allc2",12.5
"27","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","HR",60611,"hispanic_latino_allc2",21.875
"28","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","HR",60611,"white_allc2",59.375
"29","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","HR",60611,"race_other_allc2",3.125
"30","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","HR",60611,"race_unknown_allc2",0
"31","Arkansas Children's Hospital (ARCH)","ARCH","TX1","HR",72202,"asian_allc2",0
"32","Arkansas Children's Hospital (ARCH)","ARCH","TX1","HR",72202,"african_american_allc2",25
"33","Arkansas Children's Hospital (ARCH)","ARCH","TX1","HR",72202,"hispanic_latino_allc2",0
"34","Arkansas Children's Hospital (ARCH)","ARCH","TX1","HR",72202,"white_allc2",75
"35","Arkansas Children's Hospital (ARCH)","ARCH","TX1","HR",72202,"race_other_allc2",0
"36","Arkansas Children's Hospital (ARCH)","ARCH","TX1","HR",72202,"race_unknown_allc2",0
"37","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","HR",53215,"asian_allc2",2.2727272727
"38","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","HR",53215,"african_american_allc2",20.454545455
"39","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","HR",53215,"hispanic_latino_allc2",4.5454545455
"40","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","HR",53215,"white_allc2",72.727272727
"41","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","HR",53215,"race_other_allc2",0
"42","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","HR",53215,"race_unknown_allc2",0
"43","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","HR",85719,"asian_allc2",0
"44","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","HR",85719,"african_american_allc2",33.333333333
"45","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","HR",85719,"hispanic_latino_allc2",0
"46","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","HR",85719,"white_allc2",66.666666667
"47","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","HR",85719,"race_other_allc2",0
"48","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","HR",85719,"race_unknown_allc2",0
"49","Baptist Medical Center (ARBH)","ARBH","TX1","HR",NA,"asian_allc2",0
"50","Baptist Medical Center (ARBH)","ARBH","TX1","HR",NA,"african_american_allc2",43.333333333
"51","Baptist Medical Center (ARBH)","ARBH","TX1","HR",NA,"hispanic_latino_allc2",0
"52","Baptist Medical Center (ARBH)","ARBH","TX1","HR",NA,"white_allc2",56.666666667
"53","Baptist Medical Center (ARBH)","ARBH","TX1","HR",NA,"race_other_allc2",0
"54","Baptist Medical Center (ARBH)","ARBH","TX1","HR",NA,"race_unknown_allc2",0
"55","Baptist Memorial Hospital (TNBM)","TNBM","TX1","HR",NA,"asian_allc2",0
"56","Baptist Memorial Hospital (TNBM)","TNBM","TX1","HR",NA,"african_american_allc2",64
"57","Baptist Memorial Hospital (TNBM)","TNBM","TX1","HR",NA,"hispanic_latino_allc2",0
"58","Baptist Memorial Hospital (TNBM)","TNBM","TX1","HR",NA,"white_allc2",36
"59","Baptist Memorial Hospital (TNBM)","TNBM","TX1","HR",NA,"race_other_allc2",0
"60","Baptist Memorial Hospital (TNBM)","TNBM","TX1","HR",NA,"race_unknown_allc2",0
"61","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","HR",63110,"asian_allc2",0
"62","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","HR",63110,"african_american_allc2",38.888888889
"63","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","HR",63110,"hispanic_latino_allc2",0
"64","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","HR",63110,"white_allc2",61.111111111
"65","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","HR",63110,"race_other_allc2",0
"66","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","HR",63110,"race_unknown_allc2",0
"67","Baylor University Medical Center (TXTX)","TXTX","TX1","HR",75246,"asian_allc2",2.7027027027
"68","Baylor University Medical Center (TXTX)","TXTX","TX1","HR",75246,"african_american_allc2",16.216216216
"69","Baylor University Medical Center (TXTX)","TXTX","TX1","HR",75246,"hispanic_latino_allc2",13.513513514
"70","Baylor University Medical Center (TXTX)","TXTX","TX1","HR",75246,"white_allc2",67.567567568
"71","Baylor University Medical Center (TXTX)","TXTX","TX1","HR",75246,"race_other_allc2",0
"72","Baylor University Medical Center (TXTX)","TXTX","TX1","HR",75246,"race_unknown_allc2",0
"73","Boston Children's Hospital (MACH)","MACH","TX1","HR",2115,"asian_allc2",5.8823529412
"74","Boston Children's Hospital (MACH)","MACH","TX1","HR",2115,"african_american_allc2",5.8823529412
"75","Boston Children's Hospital (MACH)","MACH","TX1","HR",2115,"hispanic_latino_allc2",23.529411765
"76","Boston Children's Hospital (MACH)","MACH","TX1","HR",2115,"white_allc2",64.705882353
"77","Boston Children's Hospital (MACH)","MACH","TX1","HR",2115,"race_other_allc2",0
"78","Boston Children's Hospital (MACH)","MACH","TX1","HR",2115,"race_unknown_allc2",0
"79","Brigham and Women's Hospital (MAPB)","MAPB","TX1","HR",2115,"asian_allc2",2.9411764706
"80","Brigham and Women's Hospital (MAPB)","MAPB","TX1","HR",2115,"african_american_allc2",20.588235294
"81","Brigham and Women's Hospital (MAPB)","MAPB","TX1","HR",2115,"hispanic_latino_allc2",2.9411764706
"82","Brigham and Women's Hospital (MAPB)","MAPB","TX1","HR",2115,"white_allc2",73.529411765
"83","Brigham and Women's Hospital (MAPB)","MAPB","TX1","HR",2115,"race_other_allc2",0
"84","Brigham and Women's Hospital (MAPB)","MAPB","TX1","HR",2115,"race_unknown_allc2",0
"85","California Pacific Medical Center (CAPM)","CAPM","TX1","HR",94114,"asian_allc2",0
"86","California Pacific Medical Center (CAPM)","CAPM","TX1","HR",94114,"african_american_allc2",15.384615385
"87","California Pacific Medical Center (CAPM)","CAPM","TX1","HR",94114,"hispanic_latino_allc2",38.461538462
"88","California Pacific Medical Center (CAPM)","CAPM","TX1","HR",94114,"white_allc2",46.153846154
"89","California Pacific Medical Center (CAPM)","CAPM","TX1","HR",94114,"race_other_allc2",0
"90","California Pacific Medical Center (CAPM)","CAPM","TX1","HR",94114,"race_unknown_allc2",0
"91","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","HR",63104,"asian_allc2",0
"92","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","HR",63104,"african_american_allc2",100
"93","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","HR",63104,"hispanic_latino_allc2",0
"94","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","HR",63104,"white_allc2",0
"95","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","HR",63104,"race_other_allc2",0
"96","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","HR",63104,"race_unknown_allc2",0
"97","Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","HR",NA,"asian_allc2",0
"98","Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","HR",NA,"african_american_allc2",0
"99","Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","HR",NA,"hispanic_latino_allc2",100
"100","Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","HR",NA,"white_allc2",0
"101","Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","HR",NA,"race_other_allc2",0
"102","Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","HR",NA,"race_unknown_allc2",0
"103","Carolinas Medical Center (NCCM)","NCCM","TX1","HR",28203,"asian_allc2",0
"104","Carolinas Medical Center (NCCM)","NCCM","TX1","HR",28203,"african_american_allc2",55.172413793
"105","Carolinas Medical Center (NCCM)","NCCM","TX1","HR",28203,"hispanic_latino_allc2",0
"106","Carolinas Medical Center (NCCM)","NCCM","TX1","HR",28203,"white_allc2",44.827586207
"107","Carolinas Medical Center (NCCM)","NCCM","TX1","HR",28203,"race_other_allc2",0
"108","Carolinas Medical Center (NCCM)","NCCM","TX1","HR",28203,"race_unknown_allc2",0
"109","Cedars-Sinai Medical Center (CACS)","CACS","TX1","HR",90211,"asian_allc2",4.6728971963
"110","Cedars-Sinai Medical Center (CACS)","CACS","TX1","HR",90211,"african_american_allc2",19.626168224
"111","Cedars-Sinai Medical Center (CACS)","CACS","TX1","HR",90211,"hispanic_latino_allc2",23.364485981
"112","Cedars-Sinai Medical Center (CACS)","CACS","TX1","HR",90211,"white_allc2",52.336448598
"113","Cedars-Sinai Medical Center (CACS)","CACS","TX1","HR",90211,"race_other_allc2",0
"114","Cedars-Sinai Medical Center (CACS)","CACS","TX1","HR",90211,"race_unknown_allc2",0
"115","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","HR",77030,"asian_allc2",0
"116","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","HR",77030,"african_american_allc2",37.931034483
"117","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","HR",77030,"hispanic_latino_allc2",37.931034483
"118","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","HR",77030,"white_allc2",24.137931034
"119","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","HR",77030,"race_other_allc2",0
"120","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","HR",77030,"race_unknown_allc2",0
"121","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","HR",30322,"asian_allc2",0
"122","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","HR",30322,"african_american_allc2",83.333333333
"123","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","HR",30322,"hispanic_latino_allc2",16.666666667
"124","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","HR",30322,"white_allc2",0
"125","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","HR",30322,"race_other_allc2",0
"126","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","HR",30322,"race_unknown_allc2",0
"127","Children's Hospital & Medical Center (NECH)","NECH","TX1","HR",NA,"asian_allc2",0
"128","Children's Hospital & Medical Center (NECH)","NECH","TX1","HR",NA,"african_american_allc2",0
"129","Children's Hospital & Medical Center (NECH)","NECH","TX1","HR",NA,"hispanic_latino_allc2",0
"130","Children's Hospital & Medical Center (NECH)","NECH","TX1","HR",NA,"white_allc2",100
"131","Children's Hospital & Medical Center (NECH)","NECH","TX1","HR",NA,"race_other_allc2",0
"132","Children's Hospital & Medical Center (NECH)","NECH","TX1","HR",NA,"race_unknown_allc2",0
"133","Children's Hospital Colorado (COCH)","COCH","TX1","HR",80045,"asian_allc2",0
"134","Children's Hospital Colorado (COCH)","COCH","TX1","HR",80045,"african_american_allc2",0
"135","Children's Hospital Colorado (COCH)","COCH","TX1","HR",80045,"hispanic_latino_allc2",50
"136","Children's Hospital Colorado (COCH)","COCH","TX1","HR",80045,"white_allc2",50
"137","Children's Hospital Colorado (COCH)","COCH","TX1","HR",80045,"race_other_allc2",0
"138","Children's Hospital Colorado (COCH)","COCH","TX1","HR",80045,"race_unknown_allc2",0
"139","Children's Hospital Medical Center (OHCM)","OHCM","TX1","HR",45229,"asian_allc2",0
"140","Children's Hospital Medical Center (OHCM)","OHCM","TX1","HR",45229,"african_american_allc2",12.5
"141","Children's Hospital Medical Center (OHCM)","OHCM","TX1","HR",45229,"hispanic_latino_allc2",0
"142","Children's Hospital Medical Center (OHCM)","OHCM","TX1","HR",45229,"white_allc2",87.5
"143","Children's Hospital Medical Center (OHCM)","OHCM","TX1","HR",45229,"race_other_allc2",0
"144","Children's Hospital Medical Center (OHCM)","OHCM","TX1","HR",45229,"race_unknown_allc2",0
"145","Children's Hospital of Michigan (MICH)","MICH","TX1","HR",48201,"asian_allc2",0
"146","Children's Hospital of Michigan (MICH)","MICH","TX1","HR",48201,"african_american_allc2",0
"147","Children's Hospital of Michigan (MICH)","MICH","TX1","HR",48201,"hispanic_latino_allc2",0
"148","Children's Hospital of Michigan (MICH)","MICH","TX1","HR",48201,"white_allc2",100
"149","Children's Hospital of Michigan (MICH)","MICH","TX1","HR",48201,"race_other_allc2",0
"150","Children's Hospital of Michigan (MICH)","MICH","TX1","HR",48201,"race_unknown_allc2",0
"151","Children's Hospital of Philadelphia (PACP)","PACP","TX1","HR",19104,"asian_allc2",0
"152","Children's Hospital of Philadelphia (PACP)","PACP","TX1","HR",19104,"african_american_allc2",0
"153","Children's Hospital of Philadelphia (PACP)","PACP","TX1","HR",19104,"hispanic_latino_allc2",0
"154","Children's Hospital of Philadelphia (PACP)","PACP","TX1","HR",19104,"white_allc2",90
"155","Children's Hospital of Philadelphia (PACP)","PACP","TX1","HR",19104,"race_other_allc2",10
"156","Children's Hospital of Philadelphia (PACP)","PACP","TX1","HR",19104,"race_unknown_allc2",0
"157","Children's Hospital of Wisconsin (WICH)","WICH","TX1","HR",53226,"asian_allc2",8.3333333333
"158","Children's Hospital of Wisconsin (WICH)","WICH","TX1","HR",53226,"african_american_allc2",16.666666667
"159","Children's Hospital of Wisconsin (WICH)","WICH","TX1","HR",53226,"hispanic_latino_allc2",0
"160","Children's Hospital of Wisconsin (WICH)","WICH","TX1","HR",53226,"white_allc2",75
"161","Children's Hospital of Wisconsin (WICH)","WICH","TX1","HR",53226,"race_other_allc2",0
"162","Children's Hospital of Wisconsin (WICH)","WICH","TX1","HR",53226,"race_unknown_allc2",0
"163","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","HR",75235,"asian_allc2",0
"164","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","HR",75235,"african_american_allc2",28.571428571
"165","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","HR",75235,"hispanic_latino_allc2",21.428571429
"166","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","HR",75235,"white_allc2",50
"167","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","HR",75235,"race_other_allc2",0
"168","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","HR",75235,"race_unknown_allc2",0
"169","Children's Mercy Hospital (MOCM)","MOCM","TX1","HR",64108,"asian_allc2",0
"170","Children's Mercy Hospital (MOCM)","MOCM","TX1","HR",64108,"african_american_allc2",14.285714286
"171","Children's Mercy Hospital (MOCM)","MOCM","TX1","HR",64108,"hispanic_latino_allc2",14.285714286
"172","Children's Mercy Hospital (MOCM)","MOCM","TX1","HR",64108,"white_allc2",57.142857143
"173","Children's Mercy Hospital (MOCM)","MOCM","TX1","HR",64108,"race_other_allc2",14.285714286
"174","Children's Mercy Hospital (MOCM)","MOCM","TX1","HR",64108,"race_unknown_allc2",0
"175","Children's Minnesota (MNCM)","MNCM","TX1","HR",NA,"asian_allc2",0
"176","Children's Minnesota (MNCM)","MNCM","TX1","HR",NA,"african_american_allc2",0
"177","Children's Minnesota (MNCM)","MNCM","TX1","HR",NA,"hispanic_latino_allc2",22.222222222
"178","Children's Minnesota (MNCM)","MNCM","TX1","HR",NA,"white_allc2",77.777777778
"179","Children's Minnesota (MNCM)","MNCM","TX1","HR",NA,"race_other_allc2",0
"180","Children's Minnesota (MNCM)","MNCM","TX1","HR",NA,"race_unknown_allc2",0
"181","Children's National Medical Center (DCCH)","DCCH","TX1","HR",20010,"asian_allc2",25
"182","Children's National Medical Center (DCCH)","DCCH","TX1","HR",20010,"african_american_allc2",0
"183","Children's National Medical Center (DCCH)","DCCH","TX1","HR",20010,"hispanic_latino_allc2",25
"184","Children's National Medical Center (DCCH)","DCCH","TX1","HR",20010,"white_allc2",50
"185","Children's National Medical Center (DCCH)","DCCH","TX1","HR",20010,"race_other_allc2",0
"186","Children's National Medical Center (DCCH)","DCCH","TX1","HR",20010,"race_unknown_allc2",0
"187","Children's of Alabama (ALCH)","ALCH","TX1","HR",35233,"asian_allc2",0
"188","Children's of Alabama (ALCH)","ALCH","TX1","HR",35233,"african_american_allc2",50
"189","Children's of Alabama (ALCH)","ALCH","TX1","HR",35233,"hispanic_latino_allc2",0
"190","Children's of Alabama (ALCH)","ALCH","TX1","HR",35233,"white_allc2",50
"191","Children's of Alabama (ALCH)","ALCH","TX1","HR",35233,"race_other_allc2",0
"192","Children's of Alabama (ALCH)","ALCH","TX1","HR",35233,"race_unknown_allc2",0
"193","Childrens Hospital Los Angeles (CACL)","CACL","TX1","HR",90027,"asian_allc2",0
"194","Childrens Hospital Los Angeles (CACL)","CACL","TX1","HR",90027,"african_american_allc2",16.666666667
"195","Childrens Hospital Los Angeles (CACL)","CACL","TX1","HR",90027,"hispanic_latino_allc2",66.666666667
"196","Childrens Hospital Los Angeles (CACL)","CACL","TX1","HR",90027,"white_allc2",16.666666667
"197","Childrens Hospital Los Angeles (CACL)","CACL","TX1","HR",90027,"race_other_allc2",0
"198","Childrens Hospital Los Angeles (CACL)","CACL","TX1","HR",90027,"race_unknown_allc2",0
"199","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","HR",33331,"asian_allc2",0
"200","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","HR",33331,"african_american_allc2",20
"201","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","HR",33331,"hispanic_latino_allc2",20
"202","Cleveland Clinic Florida Weston (FLCC)","FLCC","TX1","HR",33331,"white_allc2",60
