"","entire_name","ctr_cd","ctr_ty","org","zipcode","gender_category","gender_category_percent"
"1","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","HR",55407,"female_allc2",0
"2","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","HR",55407,"male_allc2",100
"3","Advocate Christ Medical Center (ILCH)","ILCH","TX1","HR",60453,"female_allc2",20.37037037
"4","Advocate Christ Medical Center (ILCH)","ILCH","TX1","HR",60453,"male_allc2",79.62962963
"5","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","HR",19803,"female_allc2",0
"6","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","HR",19803,"male_allc2",100
"7","Allegheny General Hospital (PAAG)","PAAG","TX1","HR",15212,"female_allc2",7.6923076923
"8","Allegheny General Hospital (PAAG)","PAAG","TX1","HR",15212,"male_allc2",92.307692308
"9","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","HR",60611,"female_allc2",46.875
"10","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","HR",60611,"male_allc2",53.125
"11","Arkansas Children's Hospital (ARCH)","ARCH","TX1","HR",72202,"female_allc2",50
"12","Arkansas Children's Hospital (ARCH)","ARCH","TX1","HR",72202,"male_allc2",50
"13","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","HR",53215,"female_allc2",13.636363636
"14","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","HR",53215,"male_allc2",86.363636364
"15","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","HR",85719,"female_allc2",33.333333333
"16","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","HR",85719,"male_allc2",66.666666667
"17","Baptist Medical Center (ARBH)","ARBH","TX1","HR",NA,"female_allc2",16.666666667
"18","Baptist Medical Center (ARBH)","ARBH","TX1","HR",NA,"male_allc2",83.333333333
"19","Baptist Memorial Hospital (TNBM)","TNBM","TX1","HR",NA,"female_allc2",32
"20","Baptist Memorial Hospital (TNBM)","TNBM","TX1","HR",NA,"male_allc2",68
"21","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","HR",63110,"female_allc2",36.111111111
"22","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","HR",63110,"male_allc2",63.888888889
"23","Baylor University Medical Center (TXTX)","TXTX","TX1","HR",75246,"female_allc2",24.324324324
"24","Baylor University Medical Center (TXTX)","TXTX","TX1","HR",75246,"male_allc2",75.675675676
"25","Boston Children's Hospital (MACH)","MACH","TX1","HR",2115,"female_allc2",47.058823529
"26","Boston Children's Hospital (MACH)","MACH","TX1","HR",2115,"male_allc2",52.941176471
"27","Brigham and Women's Hospital (MAPB)","MAPB","TX1","HR",2115,"female_allc2",26.470588235
"28","Brigham and Women's Hospital (MAPB)","MAPB","TX1","HR",2115,"male_allc2",73.529411765
"29","California Pacific Medical Center (CAPM)","CAPM","TX1","HR",94114,"female_allc2",15.384615385
"30","California Pacific Medical Center (CAPM)","CAPM","TX1","HR",94114,"male_allc2",84.615384615
"31","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","HR",63104,"female_allc2",50
"32","Cardinal Glennon Children's Hospital (MOCG)","MOCG","TX1","HR",63104,"male_allc2",50
"33","Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","HR",NA,"female_allc2",0
"34","Cardiovascular Center of Puerto Rico and the Caribbean (PRCC)","PRCC","TX1","HR",NA,"male_allc2",100
"35","Carolinas Medical Center (NCCM)","NCCM","TX1","HR",28203,"female_allc2",27.586206897
"36","Carolinas Medical Center (NCCM)","NCCM","TX1","HR",28203,"male_allc2",72.413793103
"37","Cedars-Sinai Medical Center (CACS)","CACS","TX1","HR",90211,"female_allc2",26.168224299
"38","Cedars-Sinai Medical Center (CACS)","CACS","TX1","HR",90211,"male_allc2",73.831775701
"39","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","HR",77030,"female_allc2",10.344827586
"40","CHI St. Luke's Health Baylor College of Medicine Medical Center (TXHI)","TXHI","TX1","HR",77030,"male_allc2",89.655172414
"41","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","HR",30322,"female_allc2",66.666666667
"42","Children's Healthcare of Atlanta at Egleston (GAEH)","GAEH","TX1","HR",30322,"male_allc2",33.333333333
"43","Children's Hospital & Medical Center (NECH)","NECH","TX1","HR",NA,"female_allc2",100
"44","Children's Hospital & Medical Center (NECH)","NECH","TX1","HR",NA,"male_allc2",0
"45","Children's Hospital Colorado (COCH)","COCH","TX1","HR",80045,"female_allc2",50
"46","Children's Hospital Colorado (COCH)","COCH","TX1","HR",80045,"male_allc2",50
"47","Children's Hospital Medical Center (OHCM)","OHCM","TX1","HR",45229,"female_allc2",37.5
"48","Children's Hospital Medical Center (OHCM)","OHCM","TX1","HR",45229,"male_allc2",62.5
"49","Children's Hospital of Michigan (MICH)","MICH","TX1","HR",48201,"female_allc2",50
"50","Children's Hospital of Michigan (MICH)","MICH","TX1","HR",48201,"male_allc2",50
"51","Children's Hospital of Philadelphia (PACP)","PACP","TX1","HR",19104,"female_allc2",50
"52","Children's Hospital of Philadelphia (PACP)","PACP","TX1","HR",19104,"male_allc2",50
"53","Children's Hospital of Wisconsin (WICH)","WICH","TX1","HR",53226,"female_allc2",41.666666667
"54","Children's Hospital of Wisconsin (WICH)","WICH","TX1","HR",53226,"male_allc2",58.333333333
"55","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","HR",75235,"female_allc2",57.142857143
"56","Children's Medical Center of Dallas (TXCM)","TXCM","TX1","HR",75235,"male_allc2",42.857142857
