"","entire_name","ctr_cd","ctr_ty","org","zipcode","blood_type_category","blood_type_category_percent"
"1","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","KI",55407,"blood_type_ab_allc2",3.6585365854
"2","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","KI",55407,"blood_type_a_allc2",26.829268293
"3","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","KI",55407,"blood_type_b_allc2",13.414634146
"4","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","KI",55407,"blood_type_o_allc2",56.097560976
"5","Abbott Northwestern Hospital (MNAN)","MNAN","TX1","KI",55407,"blood_type_unknown_allc2",0
"6","Advocate Christ Medical Center (ILCH)","ILCH","TX1","KI",60453,"blood_type_ab_allc2",2.9661016949
"7","Advocate Christ Medical Center (ILCH)","ILCH","TX1","KI",60453,"blood_type_a_allc2",27.118644068
"8","Advocate Christ Medical Center (ILCH)","ILCH","TX1","KI",60453,"blood_type_b_allc2",16.101694915
"9","Advocate Christ Medical Center (ILCH)","ILCH","TX1","KI",60453,"blood_type_o_allc2",53.813559322
"10","Advocate Christ Medical Center (ILCH)","ILCH","TX1","KI",60453,"blood_type_unknown_allc2",0
"11","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KI",12208,"blood_type_ab_allc2",5.7291666667
"12","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KI",12208,"blood_type_a_allc2",35.416666667
"13","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KI",12208,"blood_type_b_allc2",12.5
"14","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KI",12208,"blood_type_o_allc2",46.354166667
"15","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KI",12208,"blood_type_unknown_allc2",0
"16","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KI",19141,"blood_type_ab_allc2",5.4205607477
"17","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KI",19141,"blood_type_a_allc2",22.803738318
"18","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KI",19141,"blood_type_b_allc2",21.121495327
"19","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KI",19141,"blood_type_o_allc2",50.654205607
"20","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KI",19141,"blood_type_unknown_allc2",0
"21","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","KI",19803,"blood_type_ab_allc2",0
"22","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","KI",19803,"blood_type_a_allc2",33.333333333
"23","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","KI",19803,"blood_type_b_allc2",16.666666667
"24","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","KI",19803,"blood_type_o_allc2",50
"25","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","KI",19803,"blood_type_unknown_allc2",0
"26","Allegheny General Hospital (PAAG)","PAAG","TX1","KI",15212,"blood_type_ab_allc2",2.3255813953
"27","Allegheny General Hospital (PAAG)","PAAG","TX1","KI",15212,"blood_type_a_allc2",29.235880399
"28","Allegheny General Hospital (PAAG)","PAAG","TX1","KI",15212,"blood_type_b_allc2",14.617940199
"29","Allegheny General Hospital (PAAG)","PAAG","TX1","KI",15212,"blood_type_o_allc2",53.820598007
"30","Allegheny General Hospital (PAAG)","PAAG","TX1","KI",15212,"blood_type_unknown_allc2",0
"31","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","KI",60611,"blood_type_ab_allc2",0
"32","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","KI",60611,"blood_type_a_allc2",30.952380952
"33","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","KI",60611,"blood_type_b_allc2",7.1428571429
"34","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","KI",60611,"blood_type_o_allc2",61.904761905
"35","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","KI",60611,"blood_type_unknown_allc2",0
"36","Arkansas Children's Hospital (ARCH)","ARCH","TX1","KI",72202,"blood_type_ab_allc2",0
"37","Arkansas Children's Hospital (ARCH)","ARCH","TX1","KI",72202,"blood_type_a_allc2",50
"38","Arkansas Children's Hospital (ARCH)","ARCH","TX1","KI",72202,"blood_type_b_allc2",25
"39","Arkansas Children's Hospital (ARCH)","ARCH","TX1","KI",72202,"blood_type_o_allc2",25
"40","Arkansas Children's Hospital (ARCH)","ARCH","TX1","KI",72202,"blood_type_unknown_allc2",0
"41","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KI",30912,"blood_type_ab_allc2",3.015681544
"42","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KI",30912,"blood_type_a_allc2",26.296743064
"43","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KI",30912,"blood_type_b_allc2",22.316043426
"44","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KI",30912,"blood_type_o_allc2",48.371531966
"45","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KI",30912,"blood_type_unknown_allc2",0
"46","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KI",53215,"blood_type_ab_allc2",3.2608695652
"47","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KI",53215,"blood_type_a_allc2",27.717391304
"48","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KI",53215,"blood_type_b_allc2",16.304347826
"49","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KI",53215,"blood_type_o_allc2",52.717391304
"50","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KI",53215,"blood_type_unknown_allc2",0
"51","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KI",919,"blood_type_ab_allc2",0.6230529595
"52","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KI",919,"blood_type_a_allc2",35.514018692
"53","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KI",919,"blood_type_b_allc2",5.9190031153
"54","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KI",919,"blood_type_o_allc2",57.943925234
"55","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KI",919,"blood_type_unknown_allc2",0
"56","Avera McKennan Hospital (SDMK)","SDMK","TX1","KI",57105,"blood_type_ab_allc2",1.7467248908
"57","Avera McKennan Hospital (SDMK)","SDMK","TX1","KI",57105,"blood_type_a_allc2",33.187772926
"58","Avera McKennan Hospital (SDMK)","SDMK","TX1","KI",57105,"blood_type_b_allc2",11.35371179
"59","Avera McKennan Hospital (SDMK)","SDMK","TX1","KI",57105,"blood_type_o_allc2",53.711790393
"60","Avera McKennan Hospital (SDMK)","SDMK","TX1","KI",57105,"blood_type_unknown_allc2",0
"61","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KI",85719,"blood_type_ab_allc2",0.8130081301
"62","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KI",85719,"blood_type_a_allc2",23.577235772
"63","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KI",85719,"blood_type_b_allc2",11.382113821
"64","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KI",85719,"blood_type_o_allc2",64.227642276
"65","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","KI",85719,"blood_type_unknown_allc2",0
"66","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","KI",85006,"blood_type_ab_allc2",1.2
