"","entire_name","ctr_cd","ctr_ty","org","zipcode","blood_type_category","blood_type_category_percent"
"1","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KP",12208,"blood_type_ab_allc2",0
"2","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KP",12208,"blood_type_a_allc2",42.857142857
"3","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KP",12208,"blood_type_b_allc2",0
"4","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KP",12208,"blood_type_o_allc2",57.142857143
"5","Albany Medical Center Hospital (NYAM)","NYAM","TX1","KP",12208,"blood_type_unknown_allc2",0
"6","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KP",19141,"blood_type_ab_allc2",0
"7","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KP",19141,"blood_type_a_allc2",13.333333333
"8","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KP",19141,"blood_type_b_allc2",20
"9","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KP",19141,"blood_type_o_allc2",66.666666667
"10","Albert Einstein Medical Center (PAAE)","PAAE","TX1","KP",19141,"blood_type_unknown_allc2",0
"11","Allegheny General Hospital (PAAG)","PAAG","TX1","KP",15212,"blood_type_ab_allc2",0
"12","Allegheny General Hospital (PAAG)","PAAG","TX1","KP",15212,"blood_type_a_allc2",50
"13","Allegheny General Hospital (PAAG)","PAAG","TX1","KP",15212,"blood_type_b_allc2",50
"14","Allegheny General Hospital (PAAG)","PAAG","TX1","KP",15212,"blood_type_o_allc2",0
"15","Allegheny General Hospital (PAAG)","PAAG","TX1","KP",15212,"blood_type_unknown_allc2",0
"16","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KP",30912,"blood_type_ab_allc2",0
"17","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KP",30912,"blood_type_a_allc2",18.181818182
"18","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KP",30912,"blood_type_b_allc2",18.181818182
"19","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KP",30912,"blood_type_o_allc2",63.636363636
"20","AU Medical Center, Inc. (GAMC)","GAMC","TX1","KP",30912,"blood_type_unknown_allc2",0
"21","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KP",53215,"blood_type_ab_allc2",16.666666667
"22","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KP",53215,"blood_type_a_allc2",33.333333333
"23","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KP",53215,"blood_type_b_allc2",0
"24","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KP",53215,"blood_type_o_allc2",50
"25","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","KP",53215,"blood_type_unknown_allc2",0
"26","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KP",919,"blood_type_ab_allc2",0
"27","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KP",919,"blood_type_a_allc2",50
"28","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KP",919,"blood_type_b_allc2",12.5
"29","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KP",919,"blood_type_o_allc2",37.5
"30","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","KP",919,"blood_type_unknown_allc2",0
"31","Avera McKennan Hospital (SDMK)","SDMK","TX1","KP",57105,"blood_type_ab_allc2",0
