"","entire_name","ctr_cd","ctr_ty","release_date","org","newlistings_center_time1","newlistings_center_time2","newlistings_center_all","newlistings_regional","newlistings_usa","endlistings_center_time1","endlistings_center_time2","endlistings_center_all","endlistings_regional","endlistings_usa","deteriorated_center_time1","deteriorated_center_time2","deteriorated_center_all","deteriorated_regional","deteriorated_usa","died_center_time1","died_center_time2","died_center_all","died_regional","died_usa","other_center_time1","other_center_time2","other_center_all","other_regional","other_usa","recovered_center_time1","recovered_center_time2","recovered_center_all","recovered_regional","recovered_usa","transfer_center_time1","transfer_center_time2","transfer_center_all","transfer_regional","transfer_usa","deceased_donor_center_time1","deceased_donor_center_time2","deceased_donor_center_all","deceased_donor_regional","deceased_donor_usa","living_donor_center_time1","living_donor_center_time2","living_donor_center_all","living_donor_regional","living_donor_usa","transplant_other_center_time1","transplant_other_center_time2","transplant_other_center_all","transplant_other_regional","transplant_other_center_usa","start_waitlist_center_time1","start_waitlist_center_time2","start_waitlist_center_all","start_waitlist_regional","start_waitlist_usa","newlistings_percent_mortality","newlistings_percent_deteriorated","newlistings_percent_transfer","newlistings_percent_living_donor","newlistings_percent_deceased_donor","newlistings_percent_recovered","living_deceased_graft_ratio","zipcode","lat","lng","center_type_na","release_date_na","organ_na","age_2_11_allc2","age_2_11_newc2","age_12_17_allc2","age_12_17_newc2","age_2_allc2","age_2_newc2","age_18_34_allc2","age_18_34_newc2","age_35_49_allc2","age_35_49_newc2","age_50_64_allc2","age_50_64_newc2","age_65_69_allc2","age_65_69_newc2","age_70_allc2","age_70_newc2","all_allc2","all_newc2","blood_type_ab_allc2","blood_type_ab_newc2","blood_type_a_allc2","blood_type_a_newc2","blood_type_b_allc2","blood_type_b_newc2","blood_type_o_allc2","blood_type_o_newc2","blood_type_unknown_allc2","blood_type_unknown_newc2","female_allc2","female_newc2","male_allc2","male_newc2","gender_unknown_allc2","gender_unknown_newc2","cardiomyopathy_allc2","cardiomyopathy_newc2","congenital_heart_disease_allc2","congenital_heart_disease_newc2","coronary_artery_disease_allc2","coronary_artery_disease_newc2","primary_disease_missing_allc2","primary_disease_missing_newc2","primary_disease_other_allc2","primary_disease_other_newc2","retransplant_graft_failure_allc2","retransplant_graft_failure_newc2","valvular_heart_disease_allc2","valvular_heart_disease_newc2","functional_bowel_problem_allc2","functional_bowel_problem_newc2","primary_disease_missing_allc2_2","primary_disease_missing_newc2_2","primary_disease_other_allc2_2","primary_disease_other_newc2_2","retransplant_graft_failure_allc2_2","retransplant_graft_failure_newc2_2","short_gut_syndrome_allc2","short_gut_syndrome_newc2","diabetes_allc2","diabetes_newc2","glomerular_diseases_allc2","glomerular_diseases_newc2","hypertensive_nephrosclerosis_allc2","hypertensive_nephrosclerosis_newc2","primary_disease_missing_allc2_3","primary_disease_missing_newc2_3","neoplasms_allc2","neoplasms_newc2","primary_disease_other_allc2_3","primary_disease_other_newc2_3","polycystic_kidneys_allc2","polycystic_kidneys_newc2","renovascular_vascular_diseases_allc2","renovascular_vascular_diseases_newc2","retransplant_graft_failure_allc2_3","retransplant_graft_failure_newc2_3","tubular_and_interstitial_diseases_allc2","tubular_and_interstitial_diseases_newc2","acute_hepatic_necrosis_allc2","acute_hepatic_necrosis_newc2","biliary_atresia_allc2","biliary_atresia_newc2","cholestatic_liver_disease_cirrhosis_allc2","cholestatic_liver_disease_cirrhosis_newc2","malignant_neoplasms_allc2","malignant_neoplasms_newc2","metabolic_diseases_allc2","metabolic_diseases_newc2","primary_disease_missing_allc2_4","primary_disease_missing_newc2_4","non_cholestatic_cirrhosis_allc2","non_cholestatic_cirrhosis_newc2","primary_disease_other_allc2_4","primary_disease_other_newc2_4","congenital_disease_allc2","congenital_disease_newc2","cystic_fibrosis_allc2","cystic_fibrosis_newc2","emphysema_copd_allc2","emphysema_copd_newc2","idiopathic_pulmonary_fibrosis_allc2","idiopathic_pulmonary_fibrosis_newc2","primary_disease_missing_allc2_5","primary_disease_missing_newc2_5","primary_disease_other_allc2_5","primary_disease_other_newc2_5","idiopathic_pulmonary_arterial_hypertension_allc2","idiopathic_pulmonary_arterial_hypertension_newc2","retransplant_graft_failure_allc2_4","retransplant_graft_failure_newc2_4","meld_11_14_allc2","meld_11_14_newc2","meld_15_20_allc2","meld_15_20_newc2","meld_21_30_allc2","meld_21_30_newc2","meld_31_40_allc2","meld_31_40_newc2","meld_6_10_allc2","meld_6_10_newc2","on_waitlist_allc2","on_waitlist_newc2","peld_11_14_allc2","peld_11_14_newc2","peld_15_20_allc2","peld_15_20_newc2","peld_21_30_allc2","peld_21_30_newc2","peld_31_allc2","peld_31_newc2","peld_10_allc2","peld_10_newc2","pra_10_79_allc2","pra_10_79_newc2","pra_80_allc2","pra_80_newc2","pra_0_9_allc2","pra_0_9_newc2","pra_unknown_allc2","pra_unknown_newc2","previous_tx_no_allc2","previous_tx_no_newc2","previous_tx_unknown_allc2","previous_tx_unknown_newc2","previous_tx_yes_allc2","previous_tx_yes_newc2","diabetes_onset_20_years_allc2","diabetes_onset_20_years_newc2","diabetes_onset_20_25_allc2","diabetes_onset_20_25_newc2","diabetes_onset_25_30_allc2","diabetes_onset_25_30_newc2","diabetes_onset_30_allc2","diabetes_onset_30_newc2","diabetes_onset_unknown_allc2","diabetes_onset_unknown_newc2","asian_allc2","asian_newc2","african_american_allc2","african_american_newc2","hispanic_latino_allc2","hispanic_latino_newc2","race_other_allc2","race_other_newc2","race_unknown_allc2","race_unknown_newc2","white_allc2","white_newc2","status_1a_allc2","status_1a_newc2","status_1b_allc2","status_1b_newc2","old_status_1_allc2","old_status_1_newc2","status_2a_allc2","status_2a_newc2","status_2b_allc2","status_2b_newc2","status_2_allc2","status_2_newc2","status_3_allc2","status_3_newc2","temporarily_inactive_allc2","temporarily_inactive_newc2","congenital_familial_metabolic_allc2","congenital_familial_metabolic_newc2"
"1","Albany Medical Center Hospital (NYAM)","NYAM","TX1",44046.7916666667,"KP",2,3,60,74.050632911,88.955582233,5,7,140,94.936708861,104.86194478,0,0,0,4.4303797468,5.3421368547,1,0,0,5.0632911392,4.6218487395,0,0,0,6.9620253165,9.1836734694,0,0,0,0.6329113924,0.5402160864,0,0,0,1.8987341772,1.2004801921,3,1,20,48.101265823,54.801920768,0,0,0,8.8607594937,3.6014405762,0,0,0,3.164556962,4.8019207683,7,5,100,100,100,0,0,0,0,33.3333333333333,0,0,12208,42.65,-73.81,"TX1","44046.791666666664","KP","0","0","0","0","0","0","28.571428571","33.333333333","71.428571429","66.666666667","0","0","0","0","0","0","100","100","0","0","42.857142857","0","0","0","57.142857143","100","0","0","14.285714286","0","85.714285714","100","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7","3","-","-","-","-","-","-","-","-","-","-","0","0","0","0","100","100","0","0","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","14.285714286","33.333333333","0","0","0","0","0","0","85.714285714","66.666666667","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2","Albert Einstein Medical Center (PAAE)","PAAE","TX1",44046.7916666667,"KP",10,10,52.631578947,120.20725389,88.955582233,19,15,78.947368421,114.50777202,104.86194478,0,0,0,5.6994818653,5.3421368547,0,1,5.2631578947,4.1450777202,4.6218487395,0,2,10.526315789,10.880829016,9.1836734694,0,1,5.2631578947,0.518134715,0.5402160864,0,0,0,0.518134715,1.2004801921,4,7,36.842105263,71.502590674,54.801920768,0,2,10.526315789,6.7357512953,3.6014405762,2,1,5.2631578947,5.6994818653,4.8019207683,15,19,100,100,100,10,0,0,19.99999999924,70.00000000019,10,0.285714285702653,19141,40.04,-75.15,"TX1","44046.791666666664","KP","0","0","0","0","0","0","40","30","40","50","20","20","0","0","0","0","100","100","0","0","13.333333333","10","20","10","66.666666667","80","0","0","33.333333333","30","66.666666667","70","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","15","10","-","-","-","-","-","-","-","-","-","-","13.333333333","10","0","0","86.666666667","90","0","0","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","10","66.666666667","60","13.333333333","10","6.6666666667","10","0","0","13.333333333","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"3","Allegheny General Hospital (PAAG)","PAAG","TX1",44046.7916666667,"KP",4,3,60,120.20725389,88.955582233,5,2,40,114.50777202,104.86194478,0,0,0,5.6994818653,5.3421368547,1,0,0,4.1450777202,4.6218487395,1,0,0,10.880829016,9.1836734694,0,0,0,0.518134715,0.5402160864,0,0,0,0.518134715,1.2004801921,1,5,100,71.502590674,54.801920768,0,0,0,6.7357512953,3.6014405762,2,1,20,5.6994818653,4.8019207683,6,5,100,100,100,0,0,0,0,166.666666666667,0,0,15212,40.47,-80.01,"TX1","44046.791666666664","KP","0","0","0","0","0","0","50","33.333333333","50","66.666666667","0","0","0","0","0","0","100","100","0","0","50","0","50","0","0","100","0","0","0","0","100","100","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","3","-","-","-","-","-","-","-","-","-","-","0","0","0","0","100","100","0","0","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","100","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"4","AU Medical Center, Inc. (GAMC)","GAMC","TX1",44046.7916666667,"KP",2,4,20,102.73224044,88.955582233,20,11,55,95.081967213,104.86194478,2,2,10,8.1967213115,5.3421368547,1,0,0,7.1038251366,4.6218487395,5,3,15,11.475409836,9.1836734694,1,0,0,0,0.5402160864,0,2,10,2.1857923497,1.2004801921,4,5,25,74.316939891,54.801920768,0,0,0,0.5464480874,3.6014405762,4,1,5,3.825136612,4.8019207683,35,20,100,100,100,0,50,50,0,125,0,0,30912,33.469,-81.989,"TX1","44046.791666666664","KP","0","0","0","0","0","0","18.181818182","25","81.818181818","75","0","0","0","0","0","0","100","100","0","0","18.181818182","50","18.181818182","25","63.636363636","25","0","0","81.818181818","50","18.181818182","50","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","11","4","-","-","-","-","-","-","-","-","-","-","18.181818182","25","0","0","81.818181818","75","0","0","90.909090909","100","0","0","9.0909090909","0","-","-","-","-","-","-","-","-","-","-","0","0","54.545454545","100","0","0","0","0","0","0","45.454545455","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"5","Aurora St. Luke's Medical Center (WISL)","WISL","TX1",44046.7916666667,"KP",4,6,150,73.244147157,88.955582233,4,6,150,101.6722408,104.86194478,0,0,0,4.6822742475,5.3421368547,0,0,0,4.347826087,4.6218487395,1,0,0,7.0234113712,9.1836734694,0,0,0,0.3344481605,0.5402160864,0,0,0,0.6688963211,1.2004801921,3,1,25,44.816053512,54.801920768,0,1,25,5.016722408,3.6014405762,0,2,50,4.6822742475,4.8019207683,4,4,100,100,100,0,0,0,16.6666666666667,16.6666666666667,0,1,53215,43.01,-87.94,"TX1","44046.791666666664","KP","0","0","0","0","0","0","16.666666667","16.666666667","33.333333333","16.666666667","50","66.666666667","0","0","0","0","100","100","16.666666667","16.666666667","33.333333333","33.333333333","0","0","50","50","0","0","33.333333333","50","66.666666667","50","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6","6","-","-","-","-","-","-","-","-","-","-","0","16.666666667","0","0","100","83.333333333","0","0","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","16.666666667","16.666666667","0","0","16.666666667","16.666666667","0","0","66.666666667","66.666666667","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"6","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1",44046.7916666667,"KP",18,15,214.28571429,102.73224044,88.955582233,7,8,114.28571429,95.081967213,104.86194478,2,0,0,8.1967213115,5.3421368547,2,1,14.285714286,7.1038251366,4.6218487395,3,1,14.285714286,11.475409836,9.1836734694,0,0,0,0,0.5402160864,0,0,0,2.1857923497,1.2004801921,15,11,157.14285714,74.316939891,54.801920768,0,1,14.285714286,0.5464480874,3.6014405762,0,0,0,3.825136612,4.8019207683,11,7,100,100,100,6.66666666666667,0,0,6.66666666666667,73.3333333305333,0,0.090909090912562,919,NA,NA,"TX1","44046.791666666664","KP","0","0","0","0","0","0","12.5","26.666666667","87.5","66.666666667","0","6.6666666667","0","0","0","0","100","100","0","0","50","40","12.5","0","37.5","60","0","0","25","13.333333333","75","86.666666667","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8","15","-","-","-","-","-","-","-","-","-","-","12.5","20","12.5","6.6666666667","75","73.333333333","0","0","87.5","93.333333333","0","0","12.5","6.6666666667","-","-","-","-","-","-","-","-","-","-","0","0","0","0","100","100","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"7","Avera McKennan Hospital (SDMK)","SDMK","TX1",44046.7916666667,"KP",5,5,55.555555556,73.244147157,88.955582233,9,7,77.777777778,101.6722408,104.86194478,0,0,0,4.6822742475,5.3421368547,2,0,0,4.347826087,4.6218487395,0,2,22.222222222,7.0234113712,9.1836734694,0,0,0,0.3344481605,0.5402160864,0,0,0,0.6688963211,1.2004801921,1,2,22.222222222,44.816053512,54.801920768,0,1,11.111111111,5.016722408,3.6014405762,0,2,22.222222222,4.6822742475,4.8019207683,7,9,100,100,100,0,0,0,19.99999999964,39.99999999928,0,0.5,57105,43.52,-96.73,"TX1","44046.791666666664","KP","0","0","0","0","0","0","0","0","28.571428571","20","71.428571429","80","0","0","0","0","100","100","0","0","42.857142857","60","0","0","57.142857143","40","0","0","14.285714286","20","85.714285714","80","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7","5","-","-","-","-","-","-","-","-","-","-","0","0","0","0","100","100","0","0","85.714285714","100","0","0","14.285714286","0","-","-","-","-","-","-","-","-","-","-","14.285714286","20","0","0","0","0","28.571428571","40","0","0","57.142857143","40","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1",44046.7916666667,"KP",4,2,100,60.948905109,88.955582233,2,1,50,95.255474453,104.86194478,0,0,0,5.4744525547,5.3421368547,0,0,0,4.7445255474,4.6218487395,0,0,0,9.8540145985,9.1836734694,0,0,0,0.3649635036,0.5402160864,0,0,0,1.4598540146,1.2004801921,4,3,150,41.605839416,54.801920768,0,0,0,0.3649635036,3.6014405762,0,0,0,1.8248175182,4.8019207683,2,2,100,100,100,0,0,0,0,150,0,0,85719,32.25,-110.95,"TX1","44046.791666666664","KP","0","0","0","0","0","0","0","0","100","100","0","0","0","0","0","0","100","100","0","0","0","0","0","0","100","100","0","0","100","50","0","50","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","2","-","-","-","-","-","-","-","-","-","-","0","0","100","50","0","50","0","0","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","100","100","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1",44046.7916666667,"KP",5,5,83.333333333,60.948905109,88.955582233,6,4,66.666666667,95.255474453,104.86194478,0,1,16.666666667,5.4744525547,5.3421368547,0,1,16.666666667,4.7445255474,4.6218487395,1,1,16.666666667,9.8540145985,9.1836734694,0,0,0,0.3649635036,0.5402160864,1,0,0,1.4598540146,1.2004801921,7,4,66.666666667,41.605839416,54.801920768,1,0,0,0.3649635036,3.6014405762,0,0,0,1.8248175182,4.8019207683,11,6,100,100,100,20.00000000048,20.00000000048,0,0,80.00000000072,0,0,85006,33.47,-112.05,"TX1","44046.791666666664","KP","0","0","0","0","0","0","50","40","50","60","0","0","0","0","0","0","100","100","0","0","0","20","0","20","100","60","0","0","50","20","50","80","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","5","-","-","-","-","-","-","-","-","-","-","25","40","25","20","50","40","0","0","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","20","25","20","50","60","0","0","0","0","25","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"10","Barnes-Jewish Hospital (MOBH)","MOBH","TX1",44046.7916666667,"KP",10,17,170,113.1147541,88.955582233,10,14,140,91.803278689,104.86194478,0,1,10,1.6393442623,5.3421368547,0,1,10,6.5573770492,4.6218487395,1,1,10,9.8360655738,9.1836734694,0,0,0,0,0.5402160864,0,0,0,3.2786885246,1.2004801921,10,9,90,85.245901639,54.801920768,0,0,0,8.1967213115,3.6014405762,0,1,10,6.5573770492,4.8019207683,11,10,100,100,100,5.88235294117647,5.88235294117647,0,0,52.9411764705882,0,0,63110,38.63,-90.27,"TX1","44046.791666666664","KP","0","0","0","0","0","0","21.428571429","29.411764706","35.714285714","41.176470588","42.857142857","29.411764706","0","0","0","0","100","100","0","0","50","52.941176471","7.1428571429","11.764705882","42.857142857","35.294117647","0","0","28.571428571","29.411764706","71.428571429","70.588235294","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","14","17","-","-","-","-","-","-","-","-","-","-","14.285714286","23.529411765","7.1428571429","11.764705882","78.571428571","64.705882353","0","0","100","100","0","0","0","0","-","-","-","-","-","-","-","-","-","-","0","5.8823529412","21.428571429","17.647058824","0","5.8823529412","0","0","0","0","78.571428571","70.588235294","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
