"","entire_name","ctr_cd","ctr_ty","org","zipcode","race_category","race_category_percent"
"1","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"asian_allc2",0
"2","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"african_american_allc2",8.1081081081
"3","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"hispanic_latino_allc2",8.1081081081
"4","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"white_allc2",83.783783784
"5","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"race_other_allc2",0
"6","Albert Einstein Medical Center (PAAE)","PAAE","TX1","LI",19141,"race_unknown_allc2",0
"7","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"asian_allc2",14.285714286
"8","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"african_american_allc2",0
"9","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"hispanic_latino_allc2",14.285714286
"10","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"white_allc2",42.857142857
"11","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"race_other_allc2",28.571428571
"12","Alfred I DuPont Hospital for Children (DEAI)","DEAI","TX1","LI",19803,"race_unknown_allc2",0
"13","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"asian_allc2",0
"14","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"african_american_allc2",2.7027027027
"15","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"hispanic_latino_allc2",0
"16","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"white_allc2",97.297297297
"17","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"race_other_allc2",0
"18","Allegheny General Hospital (PAAG)","PAAG","TX1","LI",15212,"race_unknown_allc2",0
"19","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"asian_allc2",0
"20","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"african_american_allc2",66.666666667
"21","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"hispanic_latino_allc2",33.333333333
"22","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"white_allc2",0
"23","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"race_other_allc2",0
"24","Ann & Robert H. Lurie Children's Hospital of Chicago (ILCM)","ILCM","TX1","LI",60611,"race_unknown_allc2",0
"25","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"asian_allc2",0
"26","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"african_american_allc2",9.4339622642
"27","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"hispanic_latino_allc2",11.320754717
"28","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"white_allc2",79.245283019
"29","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"race_other_allc2",0
"30","Aurora St. Luke's Medical Center (WISL)","WISL","TX1","LI",53215,"race_unknown_allc2",0
"31","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"asian_allc2",0
"32","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"african_american_allc2",0
"33","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"hispanic_latino_allc2",100
"34","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"white_allc2",0
"35","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"race_other_allc2",0
"36","Auxilio Mutuo Hospital (PRSJ)","PRSJ","TX1","LI",919,"race_unknown_allc2",0
"37","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"asian_allc2",2.380952381
"38","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"african_american_allc2",0
"39","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"hispanic_latino_allc2",4.7619047619
"40","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"white_allc2",66.666666667
"41","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"race_other_allc2",26.19047619
"42","Avera McKennan Hospital (SDMK)","SDMK","TX1","LI",57105,"race_unknown_allc2",0
"43","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"asian_allc2",0
"44","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"african_american_allc2",0
"45","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"hispanic_latino_allc2",54.545454545
"46","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"white_allc2",45.454545455
"47","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"race_other_allc2",0
"48","Banner University Medical Center-Tucson (AZUA)","AZUA","TX1","LI",85719,"race_unknown_allc2",0
"49","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"asian_allc2",0
"50","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"african_american_allc2",0
"51","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"hispanic_latino_allc2",34.482758621
"52","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"white_allc2",37.931034483
"53","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"race_other_allc2",27.586206897
"54","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","LI",85006,"race_unknown_allc2",0
"55","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","LI",63110,"asian_allc2",0
