"","entire_name","ctr_cd","ctr_ty","org","zipcode","gender_category","gender_category_percent"
"1","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"female_allc2",33.333333333
"2","Albany Medical Center Hospital (NYAM)","NYAM","TX1","PA",12208,"male_allc2",66.666666667
"3","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"female_allc2",71.428571429
"4","Allegheny General Hospital (PAAG)","PAAG","TX1","PA",15212,"male_allc2",28.571428571
"5","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"female_allc2",50
"6","AU Medical Center, Inc. (GAMC)","GAMC","TX1","PA",30912,"male_allc2",50
"7","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"female_allc2",50
"8","Banner-University Medical Center Phoenix (AZGS)","AZGS","TX1","PA",85006,"male_allc2",50
"9","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"female_allc2",100
"10","Barnes-Jewish Hospital (MOBH)","MOBH","TX1","PA",63110,"male_allc2",0
"11","Baylor University Medical Center (TXTX)","TXTX","TX1","PA",75246,"female_allc2",0
"12","Baylor University Medical Center (TXTX)","TXTX","TX1","PA",75246,"male_allc2",100
"13","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","PA",2215,"female_allc2",44.444444444
"14","Beth Israel Deaconess Medical Center (MABI)","MABI","TX1","PA",2215,"male_allc2",55.555555556
"15","Boston Children's Hospital (MACH)","MACH","TX1","PA",2115,"female_allc2",100
"16","Boston Children's Hospital (MACH)","MACH","TX1","PA",2115,"male_allc2",0
"17","Children's Hospital Medical Center (OHCM)","OHCM","TX1","PA",45229,"female_allc2",25
"18","Children's Hospital Medical Center (OHCM)","OHCM","TX1","PA",45229,"male_allc2",75
"19","Duke University Hospital (NCDU)","NCDU","TX1","PA",27710,"female_allc2",33.333333333
"20","Duke University Hospital (NCDU)","NCDU","TX1","PA",27710,"male_allc2",66.666666667
"21","Georgetown University Medical Center (DCGU)","DCGU","TX1","PA",20007,"female_allc2",50
"22","Georgetown University Medical Center (DCGU)","DCGU","TX1","PA",20007,"male_allc2",50
"23","Hackensack University Medical Center (NJHK)","NJHK","TX1","PA",7601,"female_allc2",33.333333333
"24","Hackensack University Medical Center (NJHK)","NJHK","TX1","PA",7601,"male_allc2",66.666666667
"25","Henry Ford Hospital (MIHF)","MIHF","TX1","PA",48202,"female_allc2",66.666666667
"26","Henry Ford Hospital (MIHF)","MIHF","TX1","PA",48202,"male_allc2",33.333333333
"27","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","PA",19104,"female_allc2",69.230769231
"28","Hospital of the University of Pennsylvania (PAUP)","PAUP","TX1","PA",19104,"male_allc2",30.769230769
"29","Houston Methodist Hospital (TXMH)","TXMH","TX1","PA",77030,"female_allc2",47.058823529
"30","Houston Methodist Hospital (TXMH)","TXMH","TX1","PA",77030,"male_allc2",52.941176471
"31","Indiana University Health (INIM)","INIM","TX1","PA",46202,"female_allc2",58.333333333
"32","Indiana University Health (INIM)","INIM","TX1","PA",46202,"male_allc2",41.666666667
"33","Inova Fairfax Hospital (VAFH)","VAFH","TX1","PA",22042,"female_allc2",0
"34","Inova Fairfax Hospital (VAFH)","VAFH","TX1","PA",22042,"male_allc2",100
"35","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","PA",33136,"female_allc2",83.333333333
"36","Jackson Memorial Hospital University of Miami School of Medicine (FLJM)","FLJM","TX1","PA",33136,"male_allc2",16.666666667
"37","Jewish Hospital (KYJH)","KYJH","TX1","PA",40202,"female_allc2",50
"38","Jewish Hospital (KYJH)","KYJH","TX1","PA",40202,"male_allc2",50
"39","Johns Hopkins Hospital (MDJH)","MDJH","TX1","PA",21287,"female_allc2",75
"40","Johns Hopkins Hospital (MDJH)","MDJH","TX1","PA",21287,"male_allc2",25
"41","Lehigh Valley Hospital (PALV)","PALV","TX1","PA",18105,"female_allc2",60
"42","Lehigh Valley Hospital (PALV)","PALV","TX1","PA",18105,"male_allc2",40
"43","Loyola University Medical Center (ILLU)","ILLU","TX1","PA",60153,"female_allc2",100
"44","Loyola University Medical Center (ILLU)","ILLU","TX1","PA",60153,"male_allc2",0
"45","Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","PA",94304,"female_allc2",50
"46","Lucile Salter Packard Children's Hospital at Stanford (CAPC)","CAPC","TX1","PA",94304,"male_allc2",50
"47","Massachusetts General Hospital (MAMG)","MAMG","TX1","PA",2114,"female_allc2",41.666666667
"48","Massachusetts General Hospital (MAMG)","MAMG","TX1","PA",2114,"male_allc2",58.333333333
"49","Mayo Clinic Florida (FLSL)","FLSL","TX1","PA",32224,"female_allc2",83.333333333
"50","Mayo Clinic Florida (FLSL)","FLSL","TX1","PA",32224,"male_allc2",16.666666667
"51","Mayo Clinic Hospital (AZMC)","AZMC","TX1","PA",85054,"female_allc2",100
"52","Mayo Clinic Hospital (AZMC)","AZMC","TX1","PA",85054,"male_allc2",0
"53","Medical University of South Carolina (SCMU)","SCMU","TX1","PA",29425,"female_allc2",50
"54","Medical University of South Carolina (SCMU)","SCMU","TX1","PA",29425,"male_allc2",50
"55","Methodist Specialty and Transplant Hospital (TXHS)","TXHS","TX1","PA",78229,"female_allc2",40
"56","Methodist Specialty and Transplant Hospital (TXHS)","TXHS","TX1","PA",78229,"male_allc2",60
"57","Montefiore Medical Center (NYMA)","NYMA","TX1","PA",10467,"female_allc2",50
"58","Montefiore Medical Center (NYMA)","NYMA","TX1","PA",10467,"male_allc2",50
"59","Mount Sinai Medical Center (NYMS)","NYMS","TX1","PA",10029,"female_allc2",50
"60","Mount Sinai Medical Center (NYMS)","NYMS","TX1","PA",10029,"male_allc2",50
"61","New York University Medical Center (NYUC)","NYUC","TX1","PA",10016,"female_allc2",0
"62","New York University Medical Center (NYUC)","NYUC","TX1","PA",10016,"male_allc2",100
